unix,low,high,open,close,volume,date,pair
1608051600,87.7,90.4,90.4,88.347,4289.548,2020-12-15T17:00:00Z,AAVE-USD
1608055200,85.62,88.407,88.01,86,3802.529,2020-12-15T18:00:00Z,AAVE-USD
1608058800,84.575,89.5,86.105,85.952,2835.124,2020-12-15T19:00:00Z,AAVE-USD
1608062400,84.828,85.952,85.952,85.599,798.67,2020-12-15T20:00:00Z,AAVE-USD
1608066000,84.744,85.893,85.599,85.208,442.464,2020-12-15T21:00:00Z,AAVE-USD
1608069600,85.056,88.724,85.161,87.427,7557.963,2020-12-15T22:00:00Z,AAVE-USD
1608073200,86.079,88.724,87.419,87.514,6552.876,2020-12-15T23:00:00Z,AAVE-USD
1608076800,84.416,88.471,87.748,85.332,5020.093,2020-12-16T00:00:00Z,AAVE-USD
1608080400,83.534,87.5,85.007,84.639,4335.539,2020-12-16T01:00:00Z,AAVE-USD
1608084000,83.634,87.5,84.638,84.088,8073.729,2020-12-16T02:00:00Z,AAVE-USD
1608087600,80.705,85.287,84.114,82.703,6744.907,2020-12-16T03:00:00Z,AAVE-USD
1608091200,81.663,83.9,82.633,82.855,4308.081,2020-12-16T04:00:00Z,AAVE-USD
1608094800,82.458,85.3,82.85,82.917,3955.945,2020-12-16T05:00:00Z,AAVE-USD
1608098400,82.501,85.35,82.925,83.811,3884.357,2020-12-16T06:00:00Z,AAVE-USD
1608102000,81.748,84.787,84.084,82.565,2892.235,2020-12-16T07:00:00Z,AAVE-USD
1608105600,81.129,83.132,82.466,82.466,2006.599,2020-12-16T08:00:00Z,AAVE-USD
1608109200,81.297,84.237,82.052,82.422,3067.324,2020-12-16T09:00:00Z,AAVE-USD
1608112800,82.201,85.75,82.201,83.434,4443.347,2020-12-16T10:00:00Z,AAVE-USD
1608116400,81.341,83.576,83.576,82.243,2207,2020-12-16T11:00:00Z,AAVE-USD
1608120000,81.514,84.416,82.246,82.045,2143.526,2020-12-16T12:00:00Z,AAVE-USD
1608123600,81,83.744,82.088,83.701,2147.313,2020-12-16T13:00:00Z,AAVE-USD
1608127200,83.381,87.419,83.691,85.7,5632.999,2020-12-16T14:00:00Z,AAVE-USD
1608130800,85,88.931,85.672,88.295,4400.841,2020-12-16T15:00:00Z,AAVE-USD
1608134400,86.793,90,88.119,87.679,6197.52,2020-12-16T16:00:00Z,AAVE-USD
1608138000,86.206,88.642,87.873,87.341,2633.627,2020-12-16T17:00:00Z,AAVE-USD
1608141600,85.906,89.9,87.341,86.924,4456.876,2020-12-16T18:00:00Z,AAVE-USD
1608145200,86.523,88.717,86.977,88.067,3275.273,2020-12-16T19:00:00Z,AAVE-USD
