unix,low,high,open,close,volume,date,pair
1566777600,0.5378,0.5789,0.5378,0.5504,91312,2019-08-26T00:00:00Z,ALGO-USD
1566781200,0.5486,0.5531,0.5504,0.5531,6775,2019-08-26T01:00:00Z,ALGO-USD
1566784800,0.5475,0.5531,0.5531,0.5475,2459,2019-08-26T02:00:00Z,ALGO-USD
1566788400,0.5431,0.5478,0.5462,0.5468,5932,2019-08-26T03:00:00Z,ALGO-USD
1566792000,0.548,0.5567,0.5489,0.5548,7711,2019-08-26T04:00:00Z,ALGO-USD
1566795600,0.556,0.5599,0.556,0.5572,12519,2019-08-26T05:00:00Z,ALGO-USD
1566802800,0.5429,0.5544,0.5544,0.5463,4322,2019-08-26T07:00:00Z,ALGO-USD
1566806400,0.5436,0.5467,0.5436,0.5465,2254,2019-08-26T08:00:00Z,ALGO-USD
1566810000,0.5465,0.5466,0.5466,0.5465,1974,2019-08-26T09:00:00Z,ALGO-USD
1566813600,0.54,0.5465,0.5465,0.5453,3156,2019-08-26T10:00:00Z,ALGO-USD
1566817200,0.5394,0.5479,0.5479,0.54,4052,2019-08-26T11:00:00Z,ALGO-USD
1566820800,0.5321,0.5394,0.5394,0.5339,26459,2019-08-26T12:00:00Z,ALGO-USD
1566824400,0.5316,0.5406,0.5339,0.5316,8253,2019-08-26T13:00:00Z,ALGO-USD
1566828000,0.5333,0.5429,0.5333,0.5379,14514,2019-08-26T14:00:00Z,ALGO-USD
1566831600,0.5358,0.5391,0.5365,0.5358,5513,2019-08-26T15:00:00Z,ALGO-USD
1566835200,0.5298,0.5379,0.536,0.5298,14989,2019-08-26T16:00:00Z,ALGO-USD
1566838800,0.5271,0.5324,0.53,0.5273,43289,2019-08-26T17:00:00Z,ALGO-USD
1566842400,0.5263,0.5292,0.5276,0.5281,15622,2019-08-26T18:00:00Z,ALGO-USD
1566846000,0.5281,0.5341,0.5288,0.5341,44254,2019-08-26T19:00:00Z,ALGO-USD
1566849600,0.5275,0.5305,0.5287,0.5291,5686,2019-08-26T20:00:00Z,ALGO-USD
1566853200,0.526,0.532,0.5264,0.532,4741,2019-08-26T21:00:00Z,ALGO-USD
1566856800,0.5228,0.531,0.531,0.5245,10799,2019-08-26T22:00:00Z,ALGO-USD
1566860400,0.5201,0.5305,0.5245,0.5209,27588,2019-08-26T23:00:00Z,ALGO-USD
1566864000,0.52,0.5264,0.5201,0.5236,19061,2019-08-27T00:00:00Z,ALGO-USD
1566867600,0.5212,0.5237,0.5237,0.5212,3150,2019-08-27T01:00:00Z,ALGO-USD
1566871200,0.5157,0.5203,0.5203,0.5157,40289,2019-08-27T02:00:00Z,ALGO-USD
1566874800,0.51,0.5156,0.5156,0.5148,30804,2019-08-27T03:00:00Z,ALGO-USD
1566878400,0.5162,0.5185,0.5166,0.5162,1038,2019-08-27T04:00:00Z,ALGO-USD
1566882000,0.5201,0.5249,0.5201,0.5226,20041,2019-08-27T05:00:00Z,ALGO-USD
1566885600,0.5168,0.5227,0.5211,0.5227,51349,2019-08-27T06:00:00Z,ALGO-USD
1566889200,0.5196,0.5197,0.5197,0.5196,54,2019-08-27T07:00:00Z,ALGO-USD
1566892800,0.5237,0.5249,0.5237,0.5249,1979,2019-08-27T08:00:00Z,ALGO-USD
1566896400,0.5269,0.5305,0.527,0.5305,2180,2019-08-27T09:00:00Z,ALGO-USD
1566900000,0.5271,0.5304,0.529,0.5304,9538,2019-08-27T10:00:00Z,ALGO-USD
1566903600,0.5302,0.5395,0.5302,0.5303,51488,2019-08-27T11:00:00Z,ALGO-USD
1566907200,0.53,0.537,0.5302,0.537,5049,2019-08-27T12:00:00Z,ALGO-USD
1566910800,0.54,0.547,0.54,0.5448,27578,2019-08-27T13:00:00Z,ALGO-USD
1566914400,0.5422,0.5455,0.5422,0.5422,3606,2019-08-27T14:00:00Z,ALGO-USD
1566918000,0.5385,0.5422,0.5422,0.5385,12138,2019-08-27T15:00:00Z,ALGO-USD
1566921600,0.5294,0.5385,0.5385,0.5294,23716,2019-08-27T16:00:00Z,ALGO-USD
1566925200,0.5284,0.5294,0.5294,0.5286,7134,2019-08-27T17:00:00Z,ALGO-USD
1566928800,0.5246,0.5332,0.5286,0.53,20113,2019-08-27T18:00:00Z,ALGO-USD
1566932400,0.5289,0.534,0.5289,0.534,16698,2019-08-27T19:00:00Z,ALGO-USD
1566936000,0.5285,0.5306,0.5302,0.5298,1387,2019-08-27T20:00:00Z,ALGO-USD
1566943200,0.5218,0.5291,0.5291,0.5219,23183,2019-08-27T22:00:00Z,ALGO-USD
1566946800,0.5185,0.522,0.5218,0.5203,9187,2019-08-27T23:00:00Z,ALGO-USD
1566950400,0.527,0.5286,0.527,0.5286,51,2019-08-28T00:00:00Z,ALGO-USD
1566954000,0.5209,0.5295,0.5284,0.5209,8578,2019-08-28T01:00:00Z,ALGO-USD
1566957600,0.5208,0.5245,0.5208,0.5245,918,2019-08-28T02:00:00Z,ALGO-USD
1566961200,0.5143,0.5245,0.5245,0.5156,5597,2019-08-28T03:00:00Z,ALGO-USD
1566964800,0.5118,0.5148,0.5132,0.5118,6116,2019-08-28T04:00:00Z,ALGO-USD
1566968400,0.51,0.5215,0.5114,0.5215,18829,2019-08-28T05:00:00Z,ALGO-USD
1566972000,0.5211,0.5212,0.5212,0.5211,13238,2019-08-28T06:00:00Z,ALGO-USD
1566979200,0.5156,0.5192,0.5192,0.518,2794,2019-08-28T08:00:00Z,ALGO-USD
1566990000,0.5181,0.5292,0.5181,0.5292,4715,2019-08-28T11:00:00Z,ALGO-USD
1566993600,0.5185,0.5279,0.5279,0.5185,4913,2019-08-28T12:00:00Z,ALGO-USD
1566997200,0.5205,0.5208,0.5208,0.5205,1963,2019-08-28T13:00:00Z,ALGO-USD
1567000800,0.5249,0.5289,0.5249,0.5275,2549,2019-08-28T14:00:00Z,ALGO-USD
1567004400,0.5213,0.5247,0.5247,0.5233,27789,2019-08-28T15:00:00Z,ALGO-USD
1567008000,0.5203,0.5234,0.5234,0.5234,4541,2019-08-28T16:00:00Z,ALGO-USD
1567011600,0.5236,0.5355,0.5258,0.5236,10904,2019-08-28T17:00:00Z,ALGO-USD
1567015200,0.473,0.5236,0.5236,0.4814,358073,2019-08-28T18:00:00Z,ALGO-USD
1567018800,0.4802,0.486,0.4802,0.4827,5428,2019-08-28T19:00:00Z,ALGO-USD
1567022400,0.481,0.4838,0.4822,0.481,16472,2019-08-28T20:00:00Z,ALGO-USD
1567026000,0.4225,0.4784,0.4784,0.4544,287792,2019-08-28T21:00:00Z,ALGO-USD
1567029600,0.4517,0.4634,0.4544,0.4634,142859,2019-08-28T22:00:00Z,ALGO-USD
1567033200,0.4292,0.4758,0.456,0.4358,288122,2019-08-28T23:00:00Z,ALGO-USD
1567036800,0.4282,0.4427,0.436,0.4427,104884,2019-08-29T00:00:00Z,ALGO-USD
1567040400,0.435,0.4463,0.4413,0.435,57237,2019-08-29T01:00:00Z,ALGO-USD
1567044000,0.4356,0.449,0.4356,0.4385,54603,2019-08-29T02:00:00Z,ALGO-USD
1567047600,0.4311,0.4387,0.4387,0.4366,21164,2019-08-29T03:00:00Z,ALGO-USD
1567051200,0.428,0.4395,0.4395,0.4329,30645,2019-08-29T04:00:00Z,ALGO-USD
1567054800,0.4332,0.4371,0.4353,0.4342,20011,2019-08-29T05:00:00Z,ALGO-USD
1567058400,0.4303,0.4335,0.4315,0.4309,8167,2019-08-29T06:00:00Z,ALGO-USD
1567062000,0.415,0.433,0.431,0.42,37824,2019-08-29T07:00:00Z,ALGO-USD
1567065600,0.4236,0.4322,0.4236,0.4322,14774,2019-08-29T08:00:00Z,ALGO-USD
1567069200,0.4297,0.4309,0.4309,0.4308,4871,2019-08-29T09:00:00Z,ALGO-USD
1567072800,0.43,0.4334,0.4334,0.43,677,2019-08-29T10:00:00Z,ALGO-USD
1567076400,0.432,0.4328,0.4326,0.4325,5966,2019-08-29T11:00:00Z,ALGO-USD
1567080000,0.4279,0.4336,0.4305,0.4306,31851,2019-08-29T12:00:00Z,ALGO-USD
1567083600,0.4284,0.4301,0.4292,0.429,152,2019-08-29T13:00:00Z,ALGO-USD
1567087200,0.422,0.4289,0.4289,0.422,282,2019-08-29T14:00:00Z,ALGO-USD
1567090800,0.4244,0.4304,0.4256,0.4282,55318,2019-08-29T15:00:00Z,ALGO-USD
1567094400,0.4236,0.4282,0.4266,0.4259,17107,2019-08-29T16:00:00Z,ALGO-USD
1567098000,0.4235,0.4271,0.425,0.4271,35198,2019-08-29T17:00:00Z,ALGO-USD
1567101600,0.425,0.4283,0.4273,0.425,37324,2019-08-29T18:00:00Z,ALGO-USD
1567105200,0.4172,0.4263,0.4251,0.4214,26237,2019-08-29T19:00:00Z,ALGO-USD
1567112400,0.415,0.422,0.4215,0.415,8335,2019-08-29T21:00:00Z,ALGO-USD
1567116000,0.3981,0.415,0.415,0.4001,70982,2019-08-29T22:00:00Z,ALGO-USD
1567119600,0.3901,0.4014,0.4002,0.4014,69867,2019-08-29T23:00:00Z,ALGO-USD
1567123200,0.3977,0.4079,0.4013,0.4075,21144,2019-08-30T00:00:00Z,ALGO-USD
1567126800,0.4011,0.4093,0.4075,0.4011,18398,2019-08-30T01:00:00Z,ALGO-USD
1567130400,0.4011,0.4091,0.4011,0.4059,46085,2019-08-30T02:00:00Z,ALGO-USD
1567134000,0.4056,0.4076,0.406,0.4073,17620,2019-08-30T03:00:00Z,ALGO-USD
1567137600,0.4011,0.405,0.405,0.4037,7656,2019-08-30T04:00:00Z,ALGO-USD
1567141200,0.4012,0.4016,0.4012,0.4016,464,2019-08-30T05:00:00Z,ALGO-USD
1567144800,0.4,0.4011,0.4011,0.4,10710,2019-08-30T06:00:00Z,ALGO-USD
1567148400,0.3971,0.4,0.4,0.3994,5589,2019-08-30T07:00:00Z,ALGO-USD
1567152000,0.4032,0.4078,0.4032,0.4077,46570,2019-08-30T08:00:00Z,ALGO-USD
1567155600,0.4064,0.4182,0.4066,0.4182,72499,2019-08-30T09:00:00Z,ALGO-USD
1567159200,0.4113,0.4164,0.4164,0.4139,1081,2019-08-30T10:00:00Z,ALGO-USD
1567162800,0.4104,0.4204,0.412,0.4163,17745,2019-08-30T11:00:00Z,ALGO-USD
1567166400,0.418,0.4205,0.418,0.4205,559,2019-08-30T12:00:00Z,ALGO-USD
1567170000,0.4175,0.4205,0.4205,0.4185,12829,2019-08-30T13:00:00Z,ALGO-USD
1567173600,0.4134,0.4174,0.4174,0.4134,2859,2019-08-30T14:00:00Z,ALGO-USD
1567177200,0.4101,0.4169,0.4133,0.4169,2055,2019-08-30T15:00:00Z,ALGO-USD
1567180800,0.4175,0.422,0.4198,0.4201,18353,2019-08-30T16:00:00Z,ALGO-USD
1567184400,0.417,0.4221,0.4217,0.417,13251,2019-08-30T17:00:00Z,ALGO-USD
