unix,low,high,open,close,volume,date,pair
1579478400,4.48,4.525,4.514,4.486,2897.9,2020-01-20T00:00:00Z,ATOM-USD
1579482000,4.46,4.513,4.481,4.474,1185.1,2020-01-20T01:00:00Z,ATOM-USD
1579485600,4.461,4.52,4.461,4.515,5630.3,2020-01-20T02:00:00Z,ATOM-USD
1579489200,4.501,4.642,4.515,4.606,20473.3,2020-01-20T03:00:00Z,ATOM-USD
1579492800,4.52,4.637,4.615,4.549,7467.3,2020-01-20T04:00:00Z,ATOM-USD
1579496400,4.5,4.567,4.556,4.519,9100.4,2020-01-20T05:00:00Z,ATOM-USD
1579500000,4.5,4.542,4.511,4.542,3128.5,2020-01-20T06:00:00Z,ATOM-USD
1579503600,4.5,4.561,4.543,4.506,8186.6,2020-01-20T07:00:00Z,ATOM-USD
1579507200,4.447,4.518,4.514,4.451,4851.5,2020-01-20T08:00:00Z,ATOM-USD
1579510800,4.451,4.486,4.451,4.469,680.9,2020-01-20T09:00:00Z,ATOM-USD
1579514400,4.443,4.488,4.474,4.476,1696,2020-01-20T10:00:00Z,ATOM-USD
1579518000,4.429,4.48,4.478,4.445,2953.1,2020-01-20T11:00:00Z,ATOM-USD
1579521600,4.42,4.474,4.445,4.466,1952.4,2020-01-20T12:00:00Z,ATOM-USD
1579525200,4.401,4.527,4.466,4.488,3663.7,2020-01-20T13:00:00Z,ATOM-USD
1579528800,4.488,4.575,4.488,4.549,7818.9,2020-01-20T14:00:00Z,ATOM-USD
1579532400,4.526,4.579,4.548,4.548,5145.4,2020-01-20T15:00:00Z,ATOM-USD
1579536000,4.53,4.573,4.548,4.543,2381.2,2020-01-20T16:00:00Z,ATOM-USD
1579539600,4.536,4.594,4.543,4.589,11399.6,2020-01-20T17:00:00Z,ATOM-USD
1579543200,4.55,4.676,4.589,4.574,24581.5,2020-01-20T18:00:00Z,ATOM-USD
1579546800,4.544,4.589,4.582,4.579,6809.9,2020-01-20T19:00:00Z,ATOM-USD
1579550400,4.544,4.587,4.576,4.547,2479.8,2020-01-20T20:00:00Z,ATOM-USD
1579554000,4.549,4.64,4.554,4.64,23664.9,2020-01-20T21:00:00Z,ATOM-USD
1579557600,4.52,4.644,4.637,4.538,18984.3,2020-01-20T22:00:00Z,ATOM-USD
1579561200,4.473,4.538,4.538,4.501,24543.2,2020-01-20T23:00:00Z,ATOM-USD
1579564800,4.455,4.506,4.5,4.473,6090.4,2020-01-21T00:00:00Z,ATOM-USD
1579568400,4.465,4.612,4.469,4.538,4378,2020-01-21T01:00:00Z,ATOM-USD
1579572000,4.519,4.579,4.524,4.566,6017.4,2020-01-21T02:00:00Z,ATOM-USD
1579575600,4.55,4.624,4.567,4.577,11030.7,2020-01-21T03:00:00Z,ATOM-USD
1579579200,4.55,4.583,4.583,4.566,2585.5,2020-01-21T04:00:00Z,ATOM-USD
1579582800,4.539,4.57,4.564,4.55,4154.9,2020-01-21T05:00:00Z,ATOM-USD
1579586400,4.534,4.553,4.547,4.543,640.9,2020-01-21T06:00:00Z,ATOM-USD
1579590000,4.53,4.548,4.542,4.531,9814.1,2020-01-21T07:00:00Z,ATOM-USD
1579593600,4.512,4.548,4.531,4.54,716.6,2020-01-21T08:00:00Z,ATOM-USD
1579597200,4.529,4.563,4.548,4.563,804.1,2020-01-21T09:00:00Z,ATOM-USD
1579600800,4.545,4.572,4.567,4.552,1737.3,2020-01-21T10:00:00Z,ATOM-USD
1579604400,4.544,4.59,4.564,4.544,3106.2,2020-01-21T11:00:00Z,ATOM-USD
1579608000,4.534,4.57,4.555,4.563,1606,2020-01-21T12:00:00Z,ATOM-USD
1579611600,4.531,4.562,4.549,4.551,745.4,2020-01-21T13:00:00Z,ATOM-USD
1579615200,4.523,4.554,4.553,4.543,5699.5,2020-01-21T14:00:00Z,ATOM-USD
1579618800,4.529,4.604,4.537,4.591,6903.8,2020-01-21T15:00:00Z,ATOM-USD
1579622400,4.553,4.625,4.591,4.603,17581.8,2020-01-21T16:00:00Z,ATOM-USD
1579626000,4.59,4.73,4.59,4.702,49984,2020-01-21T17:00:00Z,ATOM-USD
1579629600,4.689,4.752,4.702,4.708,40614.6,2020-01-21T18:00:00Z,ATOM-USD
1579633200,4.544,4.71,4.708,4.568,24542,2020-01-21T19:00:00Z,ATOM-USD
1579636800,4.568,4.719,4.568,4.716,20165.6,2020-01-21T20:00:00Z,ATOM-USD
1579640400,4.634,4.725,4.707,4.67,10848.3,2020-01-21T21:00:00Z,ATOM-USD
1579644000,4.594,4.671,4.67,4.629,8609.4,2020-01-21T22:00:00Z,ATOM-USD
1579647600,4.627,4.657,4.644,4.645,1294.8,2020-01-21T23:00:00Z,ATOM-USD
1579651200,4.618,4.679,4.631,4.678,2703.5,2020-01-22T00:00:00Z,ATOM-USD
1579654800,4.644,4.683,4.679,4.657,2314.1,2020-01-22T01:00:00Z,ATOM-USD
1579658400,4.59,4.66,4.659,4.604,16957.8,2020-01-22T02:00:00Z,ATOM-USD
1579662000,4.59,4.611,4.596,4.609,4939,2020-01-22T03:00:00Z,ATOM-USD
1579665600,4.6,4.63,4.609,4.629,2040.5,2020-01-22T04:00:00Z,ATOM-USD
1579669200,4.601,4.642,4.629,4.634,6620.4,2020-01-22T05:00:00Z,ATOM-USD
1579672800,4.619,4.667,4.635,4.656,9380.4,2020-01-22T06:00:00Z,ATOM-USD
1579676400,4.634,4.681,4.653,4.634,2557.7,2020-01-22T07:00:00Z,ATOM-USD
1579680000,4.596,4.644,4.64,4.611,4468.8,2020-01-22T08:00:00Z,ATOM-USD
1579683600,4.599,4.644,4.613,4.627,968.6,2020-01-22T09:00:00Z,ATOM-USD
1579687200,4.601,4.641,4.631,4.601,1446.7,2020-01-22T10:00:00Z,ATOM-USD
1579690800,4.596,4.619,4.61,4.601,1172.9,2020-01-22T11:00:00Z,ATOM-USD
1579694400,4.578,4.61,4.609,4.582,5986.3,2020-01-22T12:00:00Z,ATOM-USD
