unix,low,high,open,close,volume,date,pair
1597161600,12.5,14.95,13.6349,12.948,164707.66,2020-08-11T16:00:00Z,BAND-USD
1597165200,12.7117,13.3043,12.948,13.1876,53460.66,2020-08-11T17:00:00Z,BAND-USD
1597168800,12.5,13.2098,13.2098,12.5524,43208.87,2020-08-11T18:00:00Z,BAND-USD
1597172400,12,12.6999,12.55,12.0361,49138.35,2020-08-11T19:00:00Z,BAND-USD
1597176000,11.481,12.4093,12.0361,11.786,53056.7,2020-08-11T20:00:00Z,BAND-USD
1597179600,11.6021,12.66,11.786,12.3735,26375.24,2020-08-11T21:00:00Z,BAND-USD
1597183200,11.839,12.4452,12.3713,12.2833,21816.95,2020-08-11T22:00:00Z,BAND-USD
1597186800,12.141,12.6902,12.2833,12.5301,20602.78,2020-08-11T23:00:00Z,BAND-USD
1597190400,11.8447,12.6466,12.5378,11.9624,31051.62,2020-08-12T00:00:00Z,BAND-USD
1597194000,11.9501,12.3916,11.9624,12.2449,29157.75,2020-08-12T01:00:00Z,BAND-USD
1597197600,11.75,12.29,12.2272,11.9505,17170.02,2020-08-12T02:00:00Z,BAND-USD
1597201200,11.867,12.1995,11.9798,12.0177,14703.83,2020-08-12T03:00:00Z,BAND-USD
1597204800,11.7,12.2099,12.0178,11.75,15198.42,2020-08-12T04:00:00Z,BAND-USD
1597208400,11.5255,12.1,11.75,11.65,17054.58,2020-08-12T05:00:00Z,BAND-USD
1597212000,11.5,12.93,11.6405,12.8158,35666.52,2020-08-12T06:00:00Z,BAND-USD
1597215600,12.5,13.99,12.833,13.43,49530.59,2020-08-12T07:00:00Z,BAND-USD
1597219200,13.3872,14.1232,13.4299,13.64,25937.41,2020-08-12T08:00:00Z,BAND-USD
1597222800,13.158,14.75,13.64,13.6719,32759.31,2020-08-12T09:00:00Z,BAND-USD
1597226400,13.2644,13.7007,13.6652,13.6365,14001.29,2020-08-12T10:00:00Z,BAND-USD
1597230000,13.6239,14.73,13.6344,14.1867,32117.87,2020-08-12T11:00:00Z,BAND-USD
1597233600,14.0372,14.6,14.2159,14.3926,26830.78,2020-08-12T12:00:00Z,BAND-USD
1597237200,14.2909,15.5,14.3554,14.9,77824.66,2020-08-12T13:00:00Z,BAND-USD
1597240800,14.75,15.5,14.9,15.2606,89313.85,2020-08-12T14:00:00Z,BAND-USD
1597244400,14.5,15.278,15.2606,14.6627,53038.09,2020-08-12T15:00:00Z,BAND-USD
1597248000,14.5,15.06,14.65,14.9657,34870.78,2020-08-12T16:00:00Z,BAND-USD
1597251600,14.6185,15.06,14.9811,14.94,21199.6,2020-08-12T17:00:00Z,BAND-USD
1597255200,14.05,15.06,14.94,14.3643,40132.73,2020-08-12T18:00:00Z,BAND-USD
1597258800,13.7264,14.6454,14.3643,13.9023,28588.31,2020-08-12T19:00:00Z,BAND-USD
1597262400,13.6065,14.2664,13.9099,14.1008,17935.58,2020-08-12T20:00:00Z,BAND-USD
1597266000,14.0183,14.4899,14.1059,14.2673,20290.96,2020-08-12T21:00:00Z,BAND-USD
