unix,low,high,open,close,volume,date,pair
1513731600,3100,9500,3100,9500,3057.52139142,2017-12-20T01:00:00Z,BCH-USD
1513796400,3300.03,4329.52,4329.51,3440.15,28539.01899902,2017-12-20T19:00:00Z,BCH-USD
1513800000,3161.69,3600,3445.01,3552.13,11467.89049142,2017-12-20T20:00:00Z,BCH-USD
1513803600,3552.01,4200,3560,4049.25,16721.59059445,2017-12-20T21:00:00Z,BCH-USD
1513807200,3715.48,4490,4049.25,3825.93,24874.10592881,2017-12-20T22:00:00Z,BCH-USD
1513810800,3607.49,3849.93,3825.95,3746.84,7338.34296341,2017-12-20T23:00:00Z,BCH-USD
1513814400,3512.57,3754.15,3745.89,3573.52,5414.90443428,2017-12-21T00:00:00Z,BCH-USD
1513818000,3405,3650,3573.52,3644.99,4379.24688429,2017-12-21T01:00:00Z,BCH-USD
1513821600,3493.9,3661.94,3644.99,3493.95,3190.18592746,2017-12-21T02:00:00Z,BCH-USD
1513825200,3450,3585.84,3493.95,3450.02,2798.76885795,2017-12-21T03:00:00Z,BCH-USD
1513828800,3401,3486.59,3450.02,3411,2897.08734615,2017-12-21T04:00:00Z,BCH-USD
1513832400,3406.01,3558.96,3411,3470,2120.43338228,2017-12-21T05:00:00Z,BCH-USD
1513836000,3402,3476.07,3468.01,3437.38,1182.87661153,2017-12-21T06:00:00Z,BCH-USD
1513839600,3306,3437.38,3437.38,3326.3,1927.20246484,2017-12-21T07:00:00Z,BCH-USD
1513843200,3254,3495.98,3320.01,3427.23,1818.95579751,2017-12-21T08:00:00Z,BCH-USD
1513846800,3409.42,3497.37,3427.25,3444.86,340.97902723,2017-12-21T09:00:00Z,BCH-USD
1513850400,3430,3650,3430.25,3581.08,1304.30579347,2017-12-21T10:00:00Z,BCH-USD
1513854000,3523,3600,3581.08,3530,493.30656909,2017-12-21T11:00:00Z,BCH-USD
1513857600,3480.09,3554.94,3530,3554.94,503.23778708,2017-12-21T12:00:00Z,BCH-USD
1513861200,3366,3554.94,3554.9,3383.09,953.26258761,2017-12-21T13:00:00Z,BCH-USD
1513864800,3255,3444.86,3378.09,3255,1678.89614926,2017-12-21T14:00:00Z,BCH-USD
1513868400,2910,3293.59,3255,2952.04,7821.98488105,2017-12-21T15:00:00Z,BCH-USD
1513872000,2950,3190,2952.04,3135.03,4714.71059716,2017-12-21T16:00:00Z,BCH-USD
1513875600,2910,3141.63,3135,3032.37,3002.74746809,2017-12-21T17:00:00Z,BCH-USD
1513879200,2987.58,3185,3032.38,3160.97,6528.579204,2017-12-21T18:00:00Z,BCH-USD
1513882800,3051,3195.97,3160.94,3142.32,4932.20403831,2017-12-21T19:00:00Z,BCH-USD
1513886400,3077.5,3184.49,3142.33,3097.97,3540.89573834,2017-12-21T20:00:00Z,BCH-USD
1513890000,3046.01,3257,3096.99,3218.58,4994.35986575,2017-12-21T21:00:00Z,BCH-USD
1513893600,3151,3360,3218.59,3188.23,5222.93574674,2017-12-21T22:00:00Z,BCH-USD
1513897200,3133.3,3252.65,3188.24,3162.53,3099.383672,2017-12-21T23:00:00Z,BCH-USD
1513900800,3060,3231.44,3162.53,3099.31,1676.59833618,2017-12-22T00:00:00Z,BCH-USD
1513904400,2683.5,3135,3089.88,2797.82,6410.5374382,2017-12-22T01:00:00Z,BCH-USD
1513908000,2500,2892.03,2796,2600,5642.54777075,2017-12-22T02:00:00Z,BCH-USD
1513911600,2121.45,2699.01,2600,2467.58,12148.19814312,2017-12-22T03:00:00Z,BCH-USD
1513915200,2433.89,2899,2493.68,2736,9205.63896437,2017-12-22T04:00:00Z,BCH-USD
1513918800,2601,2879.99,2736,2604.75,3487.13401712,2017-12-22T05:00:00Z,BCH-USD
1513922400,2422.36,2720.26,2622.96,2422.36,3483.20444434,2017-12-22T06:00:00Z,BCH-USD
1513926000,2140.01,2600,2425.02,2459.38,4444.76789668,2017-12-22T07:00:00Z,BCH-USD
1513929600,2260.66,2449.98,2449.98,2423.93,3016.77910124,2017-12-22T08:00:00Z,BCH-USD
1513933200,2410.87,2630,2413.81,2536.76,2316.73978001,2017-12-22T09:00:00Z,BCH-USD
1513936800,2501,2639.99,2536.76,2515.83,1324.09540942,2017-12-22T10:00:00Z,BCH-USD
1513940400,2396.07,2515.82,2515.82,2450.18,1145.53721626,2017-12-22T11:00:00Z,BCH-USD
1513944000,2335,2477.91,2465.45,2346.46,1032.12336852,2017-12-22T12:00:00Z,BCH-USD
1513947600,2029,2373.73,2353.37,2029.12,4256.76258461,2017-12-22T13:00:00Z,BCH-USD
1513951200,1550,2073.76,2030,2009.95,9705.97503795,2017-12-22T14:00:00Z,BCH-USD
1513954800,1963.16,2600,2009.99,2360,9096.90340793,2017-12-22T15:00:00Z,BCH-USD
1513958400,2133,2450,2394,2359.01,5550.85723477,2017-12-22T16:00:00Z,BCH-USD
1513962000,2334.03,2597,2377.95,2501,2091.34476595,2017-12-22T17:00:00Z,BCH-USD
1513965600,2360,2724.02,2500.98,2700,3417.76349412,2017-12-22T18:00:00Z,BCH-USD
1513969200,2552.73,2790,2700.03,2666.04,4243.16812468,2017-12-22T19:00:00Z,BCH-USD
1513972800,2650,2933,2650,2928.01,3967.31117414,2017-12-22T20:00:00Z,BCH-USD
1513976400,2800.01,2950,2932.99,2895,3816.64427711,2017-12-22T21:00:00Z,BCH-USD
1513980000,2850,3096.99,2895,3070,3181.96868562,2017-12-22T22:00:00Z,BCH-USD
1513983600,2650.01,3070,3070,2719.99,3892.45117618,2017-12-22T23:00:00Z,BCH-USD
1513987200,2653,2824.97,2700.08,2709.97,2261.06049632,2017-12-23T00:00:00Z,BCH-USD
1513990800,2652.03,2729,2709.94,2683,1704.00836666,2017-12-23T01:00:00Z,BCH-USD
1513994400,2668.22,2729,2683,2726.97,1472.94562201,2017-12-23T02:00:00Z,BCH-USD
1513998000,2705,2899.98,2718.2,2879.98,2657.04891075,2017-12-23T03:00:00Z,BCH-USD
1514001600,2800.24,2899.98,2879.97,2815.11,1948.17542774,2017-12-23T04:00:00Z,BCH-USD
1514005200,2650,2839.54,2815.71,2675.63,2018.66365192,2017-12-23T05:00:00Z,BCH-USD
1514008800,2555,2723.01,2675.62,2682.97,1493.00554753,2017-12-23T06:00:00Z,BCH-USD
1514012400,2681.94,2855,2681.94,2796.35,1781.65556133,2017-12-23T07:00:00Z,BCH-USD
1514016000,2795.02,2967.5,2796.36,2893.41,1315.36377824,2017-12-23T08:00:00Z,BCH-USD
1514019600,2783.5,2893.93,2893.41,2872.66,683.85101575,2017-12-23T09:00:00Z,BCH-USD
1514023200,2830.99,2920,2872.67,2911.16,554.0117643,2017-12-23T10:00:00Z,BCH-USD
1514026800,2904.31,2980,2911.15,2980,928.88607518,2017-12-23T11:00:00Z,BCH-USD
1514030400,2930,3020,2980,3014.87,1626.62482901,2017-12-23T12:00:00Z,BCH-USD
1514034000,3014.87,3275.98,3014.87,3275.97,3916.40310285,2017-12-23T13:00:00Z,BCH-USD
1514037600,3200.01,3398.88,3275.98,3371,3688.31986155,2017-12-23T14:00:00Z,BCH-USD
1514041200,3150,3499.77,3371.01,3286.02,14157.59067805,2017-12-23T15:00:00Z,BCH-USD
1514044800,3170,3490,3286.02,3425.78,16650.65011068,2017-12-23T16:00:00Z,BCH-USD
1514048400,3240,3459.5,3425.77,3333.01,3587.55203077,2017-12-23T17:00:00Z,BCH-USD
1514052000,3225,3333.01,3333.01,3257.4,1404.38607382,2017-12-23T18:00:00Z,BCH-USD
1514055600,3230.22,3300,3257.4,3298.87,1278.29112137,2017-12-23T19:00:00Z,BCH-USD
1514059200,3289.36,3398,3298.87,3299.99,2389.52020503,2017-12-23T20:00:00Z,BCH-USD
1514062800,3299.98,3344.9,3299.99,3314.89,986.00212137,2017-12-23T21:00:00Z,BCH-USD
1514066400,3210.02,3348.77,3314.89,3252.01,1421.45826007,2017-12-23T22:00:00Z,BCH-USD
1514070000,3054.22,3279.85,3250,3160,2383.94173275,2017-12-23T23:00:00Z,BCH-USD
1514073600,3000,3164.99,3161.79,3059,2378.25933876,2017-12-24T00:00:00Z,BCH-USD
1514077200,3000,3149.99,3068,3024.01,1362.43795417,2017-12-24T01:00:00Z,BCH-USD
1514080800,2669,3024.01,3024.01,2670.68,3436.17994009,2017-12-24T02:00:00Z,BCH-USD
1514084400,2669.57,3120,2670.68,2991.01,4328.50537463,2017-12-24T03:00:00Z,BCH-USD
1514088000,2820.01,2991.01,2991.01,2886,1968.33592846,2017-12-24T04:00:00Z,BCH-USD
1514091600,2881.01,2963,2886,2953,1039.62845307,2017-12-24T05:00:00Z,BCH-USD
1514095200,2943,3089,2953,3070,1276.39390476,2017-12-24T06:00:00Z,BCH-USD
1514098800,2955.22,3150,3070,2983.81,929.75745892,2017-12-24T07:00:00Z,BCH-USD
1514102400,2960.67,3062.02,2980.01,3045,272.27473119,2017-12-24T08:00:00Z,BCH-USD
1514106000,2886,3065,3044.51,2887.98,423.7043944,2017-12-24T09:00:00Z,BCH-USD
1514109600,2805.01,2950,2904.51,2871.05,708.17146571,2017-12-24T10:00:00Z,BCH-USD
1514113200,2711,2890.14,2853.99,2871.5,1170.85748939,2017-12-24T11:00:00Z,BCH-USD
1514116800,2700,2867,2866.99,2803.08,1135.24868657,2017-12-24T12:00:00Z,BCH-USD
1514120400,2752.01,2952,2800.05,2861.68,1208.32663837,2017-12-24T13:00:00Z,BCH-USD
1514124000,2850,2944.85,2907.7,2936.58,1183.26236602,2017-12-24T14:00:00Z,BCH-USD
1514127600,2761.01,2937,2936.59,2823.5,1267.49142559,2017-12-24T15:00:00Z,BCH-USD
1514131200,2794.04,2910,2823.42,2856.07,994.67512731,2017-12-24T16:00:00Z,BCH-USD
1514134800,2752.01,2890,2871.39,2816.58,956.93332143,2017-12-24T17:00:00Z,BCH-USD
1514138400,2751,2832,2814.9,2800,977.21578096,2017-12-24T18:00:00Z,BCH-USD
1514142000,2717.77,2820,2800.01,2774.9,1163.14573754,2017-12-24T19:00:00Z,BCH-USD
1514145600,2770,2850,2774.85,2850,1051.12944206,2017-12-24T20:00:00Z,BCH-USD
1514149200,2805.71,2850,2850,2811.13,464.40164447,2017-12-24T21:00:00Z,BCH-USD
1514152800,2788.6,2890,2811.12,2886,559.94697474,2017-12-24T22:00:00Z,BCH-USD
1514156400,2857.69,2923.05,2886,2919.01,1415.5902532,2017-12-24T23:00:00Z,BCH-USD
1514160000,2876.92,2927.75,2919.99,2904.85,947.69816455,2017-12-25T00:00:00Z,BCH-USD
1514163600,2830,2908,2902.02,2860.98,751.09392396,2017-12-25T01:00:00Z,BCH-USD
1514167200,2775.84,2865.2,2860.01,2799.39,908.57931084,2017-12-25T02:00:00Z,BCH-USD
1514170800,2799.01,2879.96,2799.38,2804.01,509.38418139,2017-12-25T03:00:00Z,BCH-USD
1514174400,2761,2887,2804,2866.7,1222.66096322,2017-12-25T04:00:00Z,BCH-USD
1514178000,2840.31,2873.38,2866.4,2855.44,465.74884852,2017-12-25T05:00:00Z,BCH-USD
1514181600,2820.29,2898.88,2851.83,2845,509.122713,2017-12-25T06:00:00Z,BCH-USD
1514185200,2836.01,2865,2840.46,2850.05,200.98884864,2017-12-25T07:00:00Z,BCH-USD
1514188800,2830.5,2905.89,2850.07,2905.89,410.74122855,2017-12-25T08:00:00Z,BCH-USD
1514192400,2859.06,2927.75,2905.89,2894.34,468.41976852,2017-12-25T09:00:00Z,BCH-USD
1514196000,2894.33,2927.75,2894.34,2911.09,247.20272793,2017-12-25T10:00:00Z,BCH-USD
1514199600,2901.36,2927.75,2907.55,2916,209.37447494,2017-12-25T11:00:00Z,BCH-USD
1514203200,2905,2950,2918.11,2926,1003.60195095,2017-12-25T12:00:00Z,BCH-USD
1514206800,2835,2968.16,2925.99,2835,778.92101506,2017-12-25T13:00:00Z,BCH-USD
1514210400,2800.01,2858.82,2835,2817.01,1086.02090232,2017-12-25T14:00:00Z,BCH-USD
1514214000,2815,2859.16,2817.01,2858.93,282.52477908,2017-12-25T15:00:00Z,BCH-USD
1514217600,2858.93,2898.89,2858.94,2875.94,425.44434213,2017-12-25T16:00:00Z,BCH-USD
1514221200,2810,2885,2875.94,2839.53,442.60903894,2017-12-25T17:00:00Z,BCH-USD
1514224800,2835,2880,2839.53,2864,428.40010236,2017-12-25T18:00:00Z,BCH-USD
1514228400,2844.01,2870,2860.09,2858.82,344.07049079,2017-12-25T19:00:00Z,BCH-USD
1514232000,2822.29,2858.97,2858.81,2828.03,428.64523328,2017-12-25T20:00:00Z,BCH-USD
