unix,low,high,open,close,volume,date,pair
1608508800,1.2934,1.3297,1.3077,1.2992,214203.416198,2020-12-21T00:00:00Z,BNT-USD
1608512400,1.297,1.3579,1.2996,1.3113,181553.916839,2020-12-21T01:00:00Z,BNT-USD
1608516000,1.3,1.3475,1.3146,1.3359,172277.727616,2020-12-21T02:00:00Z,BNT-USD
1608519600,1.31,1.36,1.3359,1.3253,299765.875161,2020-12-21T03:00:00Z,BNT-USD
1608523200,1.2963,1.35,1.3255,1.31,260023.722672,2020-12-21T04:00:00Z,BNT-USD
1608526800,1.2999,1.3263,1.3173,1.3225,116428.181318,2020-12-21T05:00:00Z,BNT-USD
1608530400,1.298,1.3236,1.3202,1.3152,65646.011593,2020-12-21T06:00:00Z,BNT-USD
1608534000,1.314,1.3589,1.3178,1.3316,124487.683026,2020-12-21T07:00:00Z,BNT-USD
1608537600,1.3039,1.3339,1.3313,1.31,60309.802202,2020-12-21T08:00:00Z,BNT-USD
1608541200,1.2821,1.3114,1.3087,1.2834,85498.044039,2020-12-21T09:00:00Z,BNT-USD
1608544800,1.23,1.2912,1.2879,1.2387,152921.264438,2020-12-21T10:00:00Z,BNT-USD
1608548400,1.232,1.2621,1.2384,1.244,154027.958817,2020-12-21T11:00:00Z,BNT-USD
1608552000,1.2156,1.2577,1.2427,1.2249,114542.323278,2020-12-21T12:00:00Z,BNT-USD
1608555600,1.2202,1.2519,1.2213,1.2211,76624.55832,2020-12-21T13:00:00Z,BNT-USD
1608559200,1.21,1.2458,1.223,1.2428,49160.862944,2020-12-21T14:00:00Z,BNT-USD
1608562800,1.204,1.2606,1.2432,1.246,143387.915894,2020-12-21T15:00:00Z,BNT-USD
1608566400,1.2197,1.35,1.2459,1.2607,419374.033178,2020-12-21T16:00:00Z,BNT-USD
1608570000,1.2156,1.3,1.2571,1.2311,249349.910188,2020-12-21T17:00:00Z,BNT-USD
1608573600,1.2196,1.2644,1.2311,1.2373,238802.486014,2020-12-21T18:00:00Z,BNT-USD
1608577200,1.2253,1.2568,1.2396,1.2351,132590.449405,2020-12-21T19:00:00Z,BNT-USD
1608580800,1.2291,1.247,1.2364,1.2346,84045.594763,2020-12-21T20:00:00Z,BNT-USD
1608584400,1.2281,1.25,1.2361,1.2376,239989.457686,2020-12-21T21:00:00Z,BNT-USD
1608588000,1.2323,1.2719,1.2386,1.2622,108138.383261,2020-12-21T22:00:00Z,BNT-USD
1608591600,1.2306,1.2764,1.26,1.2306,226044.093494,2020-12-21T23:00:00Z,BNT-USD
1608595200,1.2224,1.2722,1.2335,1.2324,176426.695915,2020-12-22T00:00:00Z,BNT-USD
1608598800,1.219,1.2549,1.2304,1.2232,133695.587655,2020-12-22T01:00:00Z,BNT-USD
1608602400,1.219,1.2596,1.2261,1.2413,112664.762592,2020-12-22T02:00:00Z,BNT-USD
1608606000,1.2256,1.2551,1.2406,1.2459,114253.566306,2020-12-22T03:00:00Z,BNT-USD
1608609600,1.2354,1.2566,1.252,1.2387,74530.616289,2020-12-22T04:00:00Z,BNT-USD
1608613200,1.2244,1.2602,1.2392,1.2385,122054.520565,2020-12-22T05:00:00Z,BNT-USD
1608616800,1.2119,1.2435,1.2389,1.221,110180.360663,2020-12-22T06:00:00Z,BNT-USD
1608620400,1.2024,1.2285,1.2169,1.2162,89513.754871,2020-12-22T07:00:00Z,BNT-USD
1608624000,1.192,1.2213,1.2132,1.2037,156053.934326,2020-12-22T08:00:00Z,BNT-USD
1608627600,1.1971,1.2294,1.2037,1.2261,87228.364803,2020-12-22T09:00:00Z,BNT-USD
1608631200,1.2048,1.23,1.2293,1.2125,83898.968157,2020-12-22T10:00:00Z,BNT-USD
1608634800,1.2134,1.2535,1.2152,1.2295,68587.19473,2020-12-22T11:00:00Z,BNT-USD
1608638400,1.2276,1.2686,1.2283,1.244,214028.628798,2020-12-22T12:00:00Z,BNT-USD
1608642000,1.2386,1.27,1.2411,1.2698,129827.813149,2020-12-22T13:00:00Z,BNT-USD
1608645600,1.2437,1.3022,1.27,1.2531,305939.554818,2020-12-22T14:00:00Z,BNT-USD
1608649200,1.2433,1.2903,1.2502,1.2595,146706.806946,2020-12-22T15:00:00Z,BNT-USD
1608652800,1.2464,1.2759,1.261,1.2747,101666.044789,2020-12-22T16:00:00Z,BNT-USD
1608656400,1.25,1.2999,1.2743,1.2747,226430.274877,2020-12-22T17:00:00Z,BNT-USD
1608660000,1.2644,1.2921,1.2747,1.2735,99081.7469,2020-12-22T18:00:00Z,BNT-USD
1608663600,1.2541,1.5,1.2707,1.4522,657454.581582,2020-12-22T19:00:00Z,BNT-USD
1608667200,1.306,1.7149,1.4427,1.3269,3152499.000067,2020-12-22T20:00:00Z,BNT-USD
1608670800,1.3,1.365,1.3269,1.3102,506386.720387,2020-12-22T21:00:00Z,BNT-USD
1608674400,1.27,1.3434,1.3101,1.3291,275473.6243,2020-12-22T22:00:00Z,BNT-USD
1608678000,1.3078,1.4281,1.3292,1.3493,922569.749312,2020-12-22T23:00:00Z,BNT-USD
1608681600,1.3164,1.376,1.3493,1.3463,479598.801362,2020-12-23T00:00:00Z,BNT-USD
1608685200,1.3056,1.3587,1.352,1.3107,313351.401538,2020-12-23T01:00:00Z,BNT-USD
1608688800,1.3019,1.3474,1.3144,1.3211,266719.932159,2020-12-23T02:00:00Z,BNT-USD
1608692400,1.29,1.3561,1.3188,1.3356,600110.702868,2020-12-23T03:00:00Z,BNT-USD
1608696000,1.2851,1.3469,1.3319,1.2921,358990.809832,2020-12-23T04:00:00Z,BNT-USD
1608699600,1.25,1.3349,1.2967,1.2658,297624.001694,2020-12-23T05:00:00Z,BNT-USD
