unix,low,high,open,close,volume,date,pair
1598976000,3.78,4.38,3.78,4.2275,636412.77,2020-09-01T16:00:00Z,CGLD-USD
1598979600,4.05,4.2715,4.2377,4.1266,168392.27,2020-09-01T17:00:00Z,CGLD-USD
1598983200,4.074,4.38,4.15,4.27,219920.23,2020-09-01T18:00:00Z,CGLD-USD
1598986800,4.14,4.32,4.27,4.2517,130548.53,2020-09-01T19:00:00Z,CGLD-USD
1598990400,4.112,4.2517,4.2517,4.1205,58681.2,2020-09-01T20:00:00Z,CGLD-USD
1598994000,4.0799,4.265,4.1205,4.1221,66233.1,2020-09-01T21:00:00Z,CGLD-USD
1598997600,4.03,4.1521,4.1519,4.101,55970.71,2020-09-01T22:00:00Z,CGLD-USD
1599001200,4.0501,4.1469,4.101,4.085,45484.55,2020-09-01T23:00:00Z,CGLD-USD
1599004800,3.9,4.185,4.085,3.9833,181359.44,2020-09-02T00:00:00Z,CGLD-USD
1599008400,3.9101,4.05,3.9899,3.9934,50944.93,2020-09-02T01:00:00Z,CGLD-USD
1599012000,3.95,4.1142,3.9935,4.09,42302.91,2020-09-02T02:00:00Z,CGLD-USD
1599015600,4.001,4.1,4.0901,4.028,23820.44,2020-09-02T03:00:00Z,CGLD-USD
1599019200,4.0345,4.1,4.0359,4.0788,31378.2,2020-09-02T04:00:00Z,CGLD-USD
1599022800,4.044,4.1145,4.063,4.092,6213.32,2020-09-02T05:00:00Z,CGLD-USD
1599026400,4.07,4.105,4.092,4.0741,8188.39,2020-09-02T06:00:00Z,CGLD-USD
1599030000,4.0325,4.0781,4.0741,4.0561,12687.85,2020-09-02T07:00:00Z,CGLD-USD
1599033600,4.0351,4.0839,4.0565,4.077,16083.3,2020-09-02T08:00:00Z,CGLD-USD
1599037200,3.999,4.0587,4.0587,3.999,8180.89,2020-09-02T09:00:00Z,CGLD-USD
1599040800,3.965,4,3.998,3.965,13370.09,2020-09-02T10:00:00Z,CGLD-USD
1599044400,3.75,3.965,3.965,3.8533,49375.43,2020-09-02T11:00:00Z,CGLD-USD
1599048000,3.8459,3.9761,3.8533,3.893,33196.9,2020-09-02T12:00:00Z,CGLD-USD
1599051600,3.7966,3.9089,3.893,3.8089,13610.54,2020-09-02T13:00:00Z,CGLD-USD
1599055200,3.6942,3.8189,3.8079,3.6999,17668.84,2020-09-02T14:00:00Z,CGLD-USD
1599058800,3.6997,3.801,3.6999,3.76,32205.55,2020-09-02T15:00:00Z,CGLD-USD
1599062400,3.715,3.7912,3.748,3.78,17201.34,2020-09-02T16:00:00Z,CGLD-USD
1599066000,3.7511,4.05,3.774,3.9781,61766.28,2020-09-02T17:00:00Z,CGLD-USD
1599069600,3.9029,4.15,3.979,3.9029,107735.03,2020-09-02T18:00:00Z,CGLD-USD
1599073200,3.78,4,3.9032,3.8409,49812.96,2020-09-02T19:00:00Z,CGLD-USD
1599076800,3.7678,3.861,3.8409,3.775,27472.87,2020-09-02T20:00:00Z,CGLD-USD
1599080400,3.7671,3.8716,3.7791,3.8578,20428.64,2020-09-02T21:00:00Z,CGLD-USD
1599084000,3.834,3.94,3.864,3.9049,20760.8,2020-09-02T22:00:00Z,CGLD-USD
1599087600,3.848,3.9016,3.9016,3.8511,6363.32,2020-09-02T23:00:00Z,CGLD-USD
1599091200,3.807,3.866,3.8563,3.8582,21211.84,2020-09-03T00:00:00Z,CGLD-USD
1599094800,3.854,3.927,3.8622,3.8984,7078.05,2020-09-03T01:00:00Z,CGLD-USD
1599098400,3.825,3.96,3.9021,3.8572,32413.64,2020-09-03T02:00:00Z,CGLD-USD
1599102000,3.7603,3.8572,3.8572,3.77,22593.5,2020-09-03T03:00:00Z,CGLD-USD
1599105600,3.7631,3.823,3.786,3.7721,8901.97,2020-09-03T04:00:00Z,CGLD-USD
1599109200,3.76,3.795,3.7723,3.776,16994.73,2020-09-03T05:00:00Z,CGLD-USD
1599112800,3.757,3.819,3.776,3.773,10795.11,2020-09-03T06:00:00Z,CGLD-USD
1599116400,3.7675,3.829,3.7729,3.78,3027.19,2020-09-03T07:00:00Z,CGLD-USD
1599120000,3.7837,3.908,3.792,3.82,7936.55,2020-09-03T08:00:00Z,CGLD-USD
1599123600,3.7966,3.828,3.82,3.8167,1570.7,2020-09-03T09:00:00Z,CGLD-USD
1599127200,3.8054,3.835,3.8257,3.8148,1205.63,2020-09-03T10:00:00Z,CGLD-USD
1599130800,3.7647,3.83,3.8056,3.7647,11957.3,2020-09-03T11:00:00Z,CGLD-USD
1599134400,3.61,3.7794,3.7793,3.62,66090.17,2020-09-03T12:00:00Z,CGLD-USD
1599138000,3.61,3.752,3.62,3.6671,51616.87,2020-09-03T13:00:00Z,CGLD-USD
1599141600,3.6461,3.6865,3.6671,3.6596,9954.24,2020-09-03T14:00:00Z,CGLD-USD
1599145200,3.4,3.6683,3.66,3.5419,62075.96,2020-09-03T15:00:00Z,CGLD-USD
1599148800,3.4167,3.538,3.5338,3.4547,47095.48,2020-09-03T16:00:00Z,CGLD-USD
1599152400,3.439,3.7,3.4554,3.5106,95948.11,2020-09-03T17:00:00Z,CGLD-USD
1599156000,3.513,4.8,3.513,4.4976,1161589.14,2020-09-03T18:00:00Z,CGLD-USD
1599159600,4.051,4.68,4.4976,4.124,847898.09,2020-09-03T19:00:00Z,CGLD-USD
1599163200,3.7501,4.2999,4.12,4.0639,434089.44,2020-09-03T20:00:00Z,CGLD-USD
1599166800,3.965,4.5455,4.0639,4.2429,495724.86,2020-09-03T21:00:00Z,CGLD-USD
1599170400,4.1317,4.49,4.2203,4.405,409384.31,2020-09-03T22:00:00Z,CGLD-USD
1599174000,3.85,4.46,4.404,4.196,519898.86,2020-09-03T23:00:00Z,CGLD-USD
1599177600,3.9,4.2447,4.196,3.9207,262796.45,2020-09-04T00:00:00Z,CGLD-USD
1599181200,3.894,4.082,3.9209,4.065,163770.72,2020-09-04T01:00:00Z,CGLD-USD
1599184800,3.89,4.1592,4.0748,3.9955,156374.99,2020-09-04T02:00:00Z,CGLD-USD
1599188400,3.9579,4.161,3.9867,4.161,122571.4,2020-09-04T03:00:00Z,CGLD-USD
1599192000,4.105,4.302,4.1315,4.2841,192091.74,2020-09-04T04:00:00Z,CGLD-USD
1599195600,4.27,4.59,4.27,4.3972,319298.11,2020-09-04T05:00:00Z,CGLD-USD
1599199200,4.075,4.4508,4.4508,4.2919,194271.29,2020-09-04T06:00:00Z,CGLD-USD
1599202800,4.104,4.3453,4.2919,4.219,96672.93,2020-09-04T07:00:00Z,CGLD-USD
1599206400,3.9313,4.391,4.219,4.0048,154900.42,2020-09-04T08:00:00Z,CGLD-USD
1599210000,3.9001,4.1141,3.9841,3.9383,129207.44,2020-09-04T09:00:00Z,CGLD-USD
1599213600,3.85,4.1477,3.9367,4.1477,92500.6,2020-09-04T10:00:00Z,CGLD-USD
1599217200,4.016,4.255,4.1477,4.2299,140232.2,2020-09-04T11:00:00Z,CGLD-USD
1599220800,4.1337,4.38,4.2242,4.3192,178777.05,2020-09-04T12:00:00Z,CGLD-USD
1599224400,4.0052,4.3431,4.319,4.1783,321267.88,2020-09-04T13:00:00Z,CGLD-USD
1599228000,4.0616,4.295,4.1728,4.2393,232039.29,2020-09-04T14:00:00Z,CGLD-USD
1599231600,4.2021,4.5,4.2394,4.269,245921,2020-09-04T15:00:00Z,CGLD-USD
1599235200,4.1942,4.3358,4.264,4.298,126161.5,2020-09-04T16:00:00Z,CGLD-USD
1599238800,4.2744,4.544,4.293,4.467,264130.14,2020-09-04T17:00:00Z,CGLD-USD
1599242400,4.347,4.756,4.467,4.3811,377937.12,2020-09-04T18:00:00Z,CGLD-USD
1599246000,4.2001,4.4748,4.381,4.337,173742.5,2020-09-04T19:00:00Z,CGLD-USD
1599249600,4.23,4.55,4.337,4.322,149872.27,2020-09-04T20:00:00Z,CGLD-USD
1599253200,4.05,4.3479,4.322,4.146,191783.22,2020-09-04T21:00:00Z,CGLD-USD
1599256800,4.0533,4.263,4.1776,4.0932,149915.46,2020-09-04T22:00:00Z,CGLD-USD
1599264000,4.0502,4.2034,4.0932,4.065,42721.63,2020-09-05T00:00:00Z,CGLD-USD
1599267600,4,4.3335,4.0524,4.16,97300.39,2020-09-05T01:00:00Z,CGLD-USD
1599271200,4.11,4.2209,4.1601,4.11,63419.01,2020-09-05T02:00:00Z,CGLD-USD
1599274800,4.0019,4.1729,4.11,4.0732,121731.76,2020-09-05T03:00:00Z,CGLD-USD
1599278400,4.021,4.1248,4.0731,4.0701,46853.9,2020-09-05T04:00:00Z,CGLD-USD
1599282000,4.0175,4.1288,4.0701,4.0175,32480.94,2020-09-05T05:00:00Z,CGLD-USD
1599285600,3.9012,4.0397,4.0245,3.9421,58891.18,2020-09-05T06:00:00Z,CGLD-USD
1599289200,3.8959,3.9909,3.9421,3.8999,58262.79,2020-09-05T07:00:00Z,CGLD-USD
1599292800,3.8956,3.947,3.8999,3.914,25070.71,2020-09-05T08:00:00Z,CGLD-USD
1599296400,3.9093,3.948,3.914,3.9158,25141.01,2020-09-05T09:00:00Z,CGLD-USD
1599300000,3.7528,3.9369,3.9158,3.76,74477.83,2020-09-05T10:00:00Z,CGLD-USD
1599303600,3.6,3.767,3.76,3.619,87058.98,2020-09-05T11:00:00Z,CGLD-USD
1599307200,3.25,3.6579,3.6249,3.3,216846.72,2020-09-05T12:00:00Z,CGLD-USD
1599310800,3.2679,3.8995,3.311,3.8624,193464.37,2020-09-05T13:00:00Z,CGLD-USD
1599314400,3.55,3.8852,3.85,3.7581,116288.78,2020-09-05T14:00:00Z,CGLD-USD
1599318000,3.6045,3.7727,3.7631,3.665,63207.88,2020-09-05T15:00:00Z,CGLD-USD
1599321600,3.46,3.6677,3.6539,3.5399,98421.13,2020-09-05T16:00:00Z,CGLD-USD
1599325200,3.5004,3.648,3.5398,3.521,60619.05,2020-09-05T17:00:00Z,CGLD-USD
1599328800,3.31,3.524,3.5041,3.351,99051.72,2020-09-05T18:00:00Z,CGLD-USD
1599332400,3.077,3.3906,3.351,3.0951,211760.16,2020-09-05T19:00:00Z,CGLD-USD
1599336000,3.091,3.456,3.0999,3.2315,193312.52,2020-09-05T20:00:00Z,CGLD-USD
1599339600,3.1017,3.5,3.2315,3.35,146619.43,2020-09-05T21:00:00Z,CGLD-USD
1599343200,3.222,3.383,3.35,3.2443,39741.97,2020-09-05T22:00:00Z,CGLD-USD
1599346800,3.202,3.384,3.234,3.342,46980.01,2020-09-05T23:00:00Z,CGLD-USD
1599350400,3.247,3.346,3.342,3.2969,49178.88,2020-09-06T00:00:00Z,CGLD-USD
1599354000,3.211,3.35,3.291,3.3311,66419.24,2020-09-06T01:00:00Z,CGLD-USD
1599357600,3.215,3.3379,3.3311,3.276,45205.53,2020-09-06T02:00:00Z,CGLD-USD
1599361200,3.264,3.303,3.264,3.288,15177.94,2020-09-06T03:00:00Z,CGLD-USD
1599364800,3.091,3.3019,3.288,3.115,66104.75,2020-09-06T04:00:00Z,CGLD-USD
1599368400,3.06,3.163,3.115,3.1377,57075.67,2020-09-06T05:00:00Z,CGLD-USD
1599372000,3.067,3.1691,3.132,3.1188,30888.37,2020-09-06T06:00:00Z,CGLD-USD
