unix,low,high,open,close,volume,date,pair
1593129600,226.3,241.49,232.38,241.48,2649.046,2020-06-26T00:00:00Z,COMP-USD
1593133200,241,249.34,241.48,245.47,3116.785,2020-06-26T01:00:00Z,COMP-USD
1593136800,234.02,245.49,245.17,242.38,2088.69,2020-06-26T02:00:00Z,COMP-USD
1593140400,234,257.98,242.42,251.52,3602.051,2020-06-26T03:00:00Z,COMP-USD
1593144000,236.5,254.99,251.27,248.18,2490.411,2020-06-26T04:00:00Z,COMP-USD
1593147600,237.02,247.26,247.09,239.86,1490.146,2020-06-26T05:00:00Z,COMP-USD
1593151200,239.64,256.9,239.99,253.7,1765.662,2020-06-26T06:00:00Z,COMP-USD
1593154800,243.5,253.74,250.39,248.47,1295.213,2020-06-26T07:00:00Z,COMP-USD
1593158400,241.52,249.4,247.5,248.27,789.945,2020-06-26T08:00:00Z,COMP-USD
1593162000,238.2,248.58,247.76,241.42,762.373,2020-06-26T09:00:00Z,COMP-USD
1593165600,238.01,247,241.32,243.32,858.653,2020-06-26T10:00:00Z,COMP-USD
1593169200,241.28,245.72,243.22,243.36,664.797,2020-06-26T11:00:00Z,COMP-USD
1593172800,240.12,251.99,244.03,248.77,1495.103,2020-06-26T12:00:00Z,COMP-USD
1593176400,247.99,262,248.77,254.04,3511.079,2020-06-26T13:00:00Z,COMP-USD
1593180000,245.71,259.98,254.04,250.8,3103.15,2020-06-26T14:00:00Z,COMP-USD
1593183600,246.62,253.29,250.8,249.96,1081.213,2020-06-26T15:00:00Z,COMP-USD
1593187200,249.96,257,249.96,255.04,1915.343,2020-06-26T16:00:00Z,COMP-USD
1593190800,251.52,260,255.93,251.52,2958.682,2020-06-26T17:00:00Z,COMP-USD
1593194400,252.3,259.8,253.42,258.83,1307.767,2020-06-26T18:00:00Z,COMP-USD
1593198000,258.98,272.9,258.98,267.4,5759.592,2020-06-26T19:00:00Z,COMP-USD
1593201600,258.38,269,266.37,263.88,2423.945,2020-06-26T20:00:00Z,COMP-USD
1593205200,260.5,267,263.88,260.5,1257.272,2020-06-26T21:00:00Z,COMP-USD
1593208800,260.88,266,260.88,263.48,1112.309,2020-06-26T22:00:00Z,COMP-USD
1593212400,262,267.93,263.99,262.38,1362.608,2020-06-26T23:00:00Z,COMP-USD
