unix,low,high,open,close,volume,date,pair
1588262400,1.012002,1.019955,1.0151809999999999,1.014,117983.62199,2020-04-30T16:00:00Z,DAI-USD
1588266000,1.011947,1.03,1.014,1.019969,286566.99008,2020-04-30T17:00:00Z,DAI-USD
1588269600,1.011407,1.027999,1.014462,1.014,226387.29116,2020-04-30T18:00:00Z,DAI-USD
1588273200,1.01,1.01886,1.016375,1.01592,65977.8657,2020-04-30T19:00:00Z,DAI-USD
1588276800,1,1.0186,1.01592,1.015943,46906.81683,2020-04-30T20:00:00Z,DAI-USD
1588280400,1.014072,1.019023,1.015942,1.01665,63003.52042,2020-04-30T21:00:00Z,DAI-USD
1588284000,1.011741,1.017,1.01652,1.015165,31560.41982,2020-04-30T22:00:00Z,DAI-USD
1588287600,1.014652,1.019404,1.01583,1.015962,47225.64098,2020-04-30T23:00:00Z,DAI-USD
1588291200,1.013812,1.0275,1.017644,1.013892,49083.57075,2020-05-01T00:00:00Z,DAI-USD
1588294800,1.014055,1.022077,1.014449,1.020062,58773.32257,2020-05-01T01:00:00Z,DAI-USD
1588298400,1.0159,1.024,1.017039,1.017454,74241.85544,2020-05-01T02:00:00Z,DAI-USD
1588302000,1.017127,1.022252,1.017406,1.01758,10714.13529,2020-05-01T03:00:00Z,DAI-USD
1588305600,1.016637,1.022949,1.017581,1.018326,23273.2748,2020-05-01T04:00:00Z,DAI-USD
1588309200,1.016058,1.027496,1.018327,1.021026,56516.53303,2020-05-01T05:00:00Z,DAI-USD
1588312800,1.017132,1.023714,1.021025,1.019103,25522.85898,2020-05-01T06:00:00Z,DAI-USD
1588316400,1.018047,1.027496,1.018072,1.018209,48485.20634,2020-05-01T07:00:00Z,DAI-USD
1588320000,1.017458,1.027496,1.027424,1.018947,44140.51492,2020-05-01T08:00:00Z,DAI-USD
1588323600,1.015206,1.022259,1.018947,1.017819,36273.58989,2020-05-01T09:00:00Z,DAI-USD
1588327200,1.012308,1.027496,1.015658,1.015861,86811.00838,2020-05-01T10:00:00Z,DAI-USD
1588330800,1.015347,1.021409,1.015861,1.018342,51129.86369,2020-05-01T11:00:00Z,DAI-USD
1588334400,1.015023,1.027441,1.021186,1.019048,101557.13587,2020-05-01T12:00:00Z,DAI-USD
1588338000,1.015933,1.025216,1.021937,1.018384,27363.08884,2020-05-01T13:00:00Z,DAI-USD
1588341600,1.016239,1.026884,1.019203,1.0207870000000001,36908.90196,2020-05-01T14:00:00Z,DAI-USD
1588345200,1.018062,1.021305,1.0185,1.020915,18830.62752,2020-05-01T15:00:00Z,DAI-USD
1588348800,1.011001,1.023,1.018303,1.021311,60191.0144,2020-05-01T16:00:00Z,DAI-USD
1588352400,1.018333,1.0244,1.02113,1.022366,39639.79959,2020-05-01T17:00:00Z,DAI-USD
1588356000,1.018004,1.027,1.022365,1.027,29114.1514,2020-05-01T18:00:00Z,DAI-USD
1588359600,1.0175,1.021473,1.018231,1.018843,12433.58178,2020-05-01T19:00:00Z,DAI-USD
1588363200,1.009788,1.019936,1.0175,1.017702,44441.56134,2020-05-01T20:00:00Z,DAI-USD
1588366800,1.005403,1.018332,1.018332,1.015051,45227.92562,2020-05-01T21:00:00Z,DAI-USD
1588370400,1.012814,1.017159,1.015052,1.014162,67069.83699,2020-05-01T22:00:00Z,DAI-USD
1588374000,1.013931,1.016927,1.014162,1.016493,32929.09289,2020-05-01T23:00:00Z,DAI-USD
