unix,low,high,open,close,volume,date,pair
1568736000,93.391,104.22,93.391,99,6805.455,2019-09-17T16:00:00Z,DASH-USD
1568739600,96.002,105,98,96.184,2893.866,2019-09-17T17:00:00Z,DASH-USD
1568743200,94,96.489,96.2,95.327,861.343,2019-09-17T18:00:00Z,DASH-USD
1568746800,95.249,96.413,95.249,96.413,294.791,2019-09-17T19:00:00Z,DASH-USD
1568750400,96.41,96.91,96.41,96.482,203.323,2019-09-17T20:00:00Z,DASH-USD
1568754000,95.387,96.7,96.489,96.598,207.732,2019-09-17T21:00:00Z,DASH-USD
1568757600,95.678,96.349,96.349,95.678,18.503,2019-09-17T22:00:00Z,DASH-USD
1568761200,94.337,95.667,95.667,94.337,66.403,2019-09-17T23:00:00Z,DASH-USD
1568764800,94.201,96.555,94.324,94.25,316.504,2019-09-18T00:00:00Z,DASH-USD
1568768400,94.499,95.282,94.499,95.22,67.17,2019-09-18T01:00:00Z,DASH-USD
1568772000,95.283,95.443,95.283,95.443,2.248,2019-09-18T02:00:00Z,DASH-USD
1568775600,95.21,95.467,95.341,95.467,49.276,2019-09-18T03:00:00Z,DASH-USD
1568779200,95,95.466,95.466,95.207,83.696,2019-09-18T04:00:00Z,DASH-USD
1568782800,95.26,95.408,95.408,95.34,37.108,2019-09-18T05:00:00Z,DASH-USD
1568786400,95.39,95.616,95.4,95.616,5.114,2019-09-18T06:00:00Z,DASH-USD
1568790000,95.714,98,95.714,97.218,223.909,2019-09-18T07:00:00Z,DASH-USD
1568793600,95.374,97.18,97.18,95.374,71.639,2019-09-18T08:00:00Z,DASH-USD
1568797200,95,95.355,95.355,95,82.817,2019-09-18T09:00:00Z,DASH-USD
1568800800,95.161,95.699,95.161,95.699,7,2019-09-18T10:00:00Z,DASH-USD
1568804400,95.04,95.7,95.7,95.04,114.632,2019-09-18T11:00:00Z,DASH-USD
1568808000,94.667,95.5,95,95.25,60.511,2019-09-18T12:00:00Z,DASH-USD
1568811600,95.25,95.886,95.25,95.886,85.719,2019-09-18T13:00:00Z,DASH-USD
1568815200,95.954,97.794,95.954,97.11,214.16,2019-09-18T14:00:00Z,DASH-USD
1568818800,96.551,97.105,97.105,96.81,170.446,2019-09-18T15:00:00Z,DASH-USD
1568822400,96.352,96.81,96.81,96.36,103.177,2019-09-18T16:00:00Z,DASH-USD
1568826000,96.36,97.326,96.36,97.15,326.604,2019-09-18T17:00:00Z,DASH-USD
1568829600,96.5,97.311,97.001,97.004,170.24268657,2019-09-18T18:00:00Z,DASH-USD
1568833200,96.856,97.372,97.001,97.134,129.64914025,2019-09-18T19:00:00Z,DASH-USD
1568836800,96.002,97.065,97.065,96.973,221.34,2019-09-18T20:00:00Z,DASH-USD
1568840400,96.418,98.1,96.971,97.065,878.70400789,2019-09-18T21:00:00Z,DASH-USD
1568844000,97.325,99.501,97.325,98.322,1168.69568623,2019-09-18T22:00:00Z,DASH-USD
1568847600,97.646,98.415,98.415,97.646,24.94395845,2019-09-18T23:00:00Z,DASH-USD
1568851200,96.98,98.998,97.642,97.035,427.37575668,2019-09-19T00:00:00Z,DASH-USD
1568854800,95.564,97.386,97.386,95.564,267.91863618,2019-09-19T01:00:00Z,DASH-USD
1568858400,91.826,95.882,95.864,92.031,3144.37936025,2019-09-19T02:00:00Z,DASH-USD
1568862000,87.816,94.444,94,91,1395.98093401,2019-09-19T03:00:00Z,DASH-USD
1568865600,90.129,91.499,90.7,90.62,105.39339296,2019-09-19T04:00:00Z,DASH-USD
1568869200,90.577,91.5,90.588,91.5,88.04064732,2019-09-19T05:00:00Z,DASH-USD
1568872800,91.412,92.483,91.412,92.415,68.19604673,2019-09-19T06:00:00Z,DASH-USD
1568876400,92.154,92.654,92.372,92.154,24.01134158,2019-09-19T07:00:00Z,DASH-USD
1568880000,91.982,92.46,92.46,91.982,10.67660889,2019-09-19T08:00:00Z,DASH-USD
1568883600,92.236,92.656,92.655,92.236,4.65,2019-09-19T09:00:00Z,DASH-USD
1568887200,92.079,94.313,92.079,94.062,252.58431058,2019-09-19T10:00:00Z,DASH-USD
1568890800,93.913,96.491,93.913,96.491,203.89388426,2019-09-19T11:00:00Z,DASH-USD
1568894400,95.948,97.63,96.491,96.982,337.05777381,2019-09-19T12:00:00Z,DASH-USD
1568898000,96.5,97,96.956,96.5,9.57379161,2019-09-19T13:00:00Z,DASH-USD
1568901600,96.405,96.8,96.41,96.8,75.98,2019-09-19T14:00:00Z,DASH-USD
1568905200,96.686,99.49,96.844,99.49,312.74705788,2019-09-19T15:00:00Z,DASH-USD
1568908800,98.99,104,99.493,103.961,1372.65668588,2019-09-19T16:00:00Z,DASH-USD
1568912400,95.194,104,103.959,102.275,1698.56557038,2019-09-19T17:00:00Z,DASH-USD
1568916000,99.605,103.932,102.229,100,2826.55065629,2019-09-19T18:00:00Z,DASH-USD
1568919600,97.28,100,99.595,100,940.66008243,2019-09-19T19:00:00Z,DASH-USD
1568923200,98.573,101,99.819,99.313,1593.1820291,2019-09-19T20:00:00Z,DASH-USD
1568926800,98.5,99.808,99.313,99.271,560.73616988,2019-09-19T21:00:00Z,DASH-USD
