unix,low,high,open,close,volume,date,pair
1555891200,5.212,5.254,5.235,5.254,1365.9,2019-04-22T00:00:00Z,EOS-USD
1555894800,5.19,5.218,5.218,5.19,1705.9,2019-04-22T01:00:00Z,EOS-USD
1555898400,5.177,5.2,5.2,5.177,517.5,2019-04-22T02:00:00Z,EOS-USD
1555902000,5.136,5.19,5.174,5.136,1170.8,2019-04-22T03:00:00Z,EOS-USD
1555905600,5.15,5.168,5.15,5.157,73.7,2019-04-22T04:00:00Z,EOS-USD
1555909200,5.146,5.186,5.165,5.153,236.1,2019-04-22T05:00:00Z,EOS-USD
1555916400,5.182,5.198,5.187,5.198,84.6,2019-04-22T07:00:00Z,EOS-USD
1555920000,5.2,5.22,5.2,5.22,95.1,2019-04-22T08:00:00Z,EOS-USD
1555923600,5.21,5.237,5.21,5.237,26.8,2019-04-22T09:00:00Z,EOS-USD
1555927200,5.213,5.229,5.213,5.229,494.9,2019-04-22T10:00:00Z,EOS-USD
1555930800,5.227,5.252,5.233,5.227,1051.5,2019-04-22T11:00:00Z,EOS-USD
1555934400,5.23,5.238,5.234,5.234,496.2,2019-04-22T12:00:00Z,EOS-USD
1555938000,5.195,5.228,5.228,5.195,3682.8,2019-04-22T13:00:00Z,EOS-USD
1555941600,5.197,5.235,5.201,5.221,2776.2,2019-04-22T14:00:00Z,EOS-USD
1555945200,5.229,5.321,5.255,5.229,18634.8,2019-04-22T15:00:00Z,EOS-USD
1555948800,5.192,5.22,5.208,5.207,465.6,2019-04-22T16:00:00Z,EOS-USD
1555952400,5.22,5.266,5.22,5.26,4849.6,2019-04-22T17:00:00Z,EOS-USD
1555956000,5.251,5.287,5.261,5.281,1712.8,2019-04-22T18:00:00Z,EOS-USD
1555959600,5.25,5.293,5.277,5.28,2371.4,2019-04-22T19:00:00Z,EOS-USD
1555963200,5.27,5.298,5.28,5.281,399.6,2019-04-22T20:00:00Z,EOS-USD
1555966800,5.27,5.27,5.27,5.27,22,2019-04-22T21:00:00Z,EOS-USD
1555970400,5.275,5.296,5.275,5.278,720.3,2019-04-22T22:00:00Z,EOS-USD
1555974000,5.234,5.283,5.28,5.25,1070.6,2019-04-22T23:00:00Z,EOS-USD
1555977600,5.239,5.261,5.25,5.243,895.7,2019-04-23T00:00:00Z,EOS-USD
1555981200,5.239,5.246,5.243,5.244,267.8,2019-04-23T01:00:00Z,EOS-USD
