unix,low,high,open,close,volume,date,pair
1534118400,13.15,13.33,13.17,13.3,1032.41009944,2018-08-13T00:00:00Z,ETC-USD
1534122000,13.29,13.35,13.3,13.3,180.58297167,2018-08-13T01:00:00Z,ETC-USD
1534125600,13.17,13.3,13.3,13.21,489.93029149,2018-08-13T02:00:00Z,ETC-USD
1534129200,13.2,13.29,13.2,13.29,295.59454513,2018-08-13T03:00:00Z,ETC-USD
1534132800,13.23,13.32,13.3,13.23,1068.68722619,2018-08-13T04:00:00Z,ETC-USD
1534136400,13.21,13.26,13.26,13.21,361.56834523,2018-08-13T05:00:00Z,ETC-USD
1534140000,13.21,13.34,13.21,13.28,455.54629038,2018-08-13T06:00:00Z,ETC-USD
1534143600,13.2,13.28,13.27,13.22,53.50837956,2018-08-13T07:00:00Z,ETC-USD
1534147200,13.27,13.46,13.27,13.4,2821.32307893,2018-08-13T08:00:00Z,ETC-USD
1534150800,13.35,13.45,13.4,13.36,460.45613567,2018-08-13T09:00:00Z,ETC-USD
1534154400,13.38,13.38,13.38,13.38,2.33554612,2018-08-13T10:00:00Z,ETC-USD
1534158000,13.38,13.42,13.42,13.4,563.44826364,2018-08-13T11:00:00Z,ETC-USD
1534161600,13.34,13.39,13.38,13.38,96.56096548,2018-08-13T12:00:00Z,ETC-USD
1534165200,12.5,13.39,13.38,13.25,7460.77559276,2018-08-13T13:00:00Z,ETC-USD
1534168800,13.24,13.28,13.24,13.25,492.02628676,2018-08-13T14:00:00Z,ETC-USD
1534172400,12.75,13.27,13.25,12.82,8683.48584495,2018-08-13T15:00:00Z,ETC-USD
1534176000,12.65,13.15,12.82,12.76,17232.67521348,2018-08-13T16:00:00Z,ETC-USD
1534179600,12.51,12.76,12.76,12.53,10072.72037417,2018-08-13T17:00:00Z,ETC-USD
1534183200,12.5,12.58,12.54,12.58,3686.85056624,2018-08-13T18:00:00Z,ETC-USD
1534186800,12.43,12.59,12.58,12.46,6940.41171735,2018-08-13T19:00:00Z,ETC-USD
1534190400,12.39,12.54,12.46,12.49,34103.30260544,2018-08-13T20:00:00Z,ETC-USD
1534194000,12.43,12.5,12.49,12.44,1624.59869785,2018-08-13T21:00:00Z,ETC-USD
