unix,low,high,open,close,volume,date,pair
1463529600,12.5,14.93,12.5,13,8.00284753,2016-05-18T00:00:00Z,ETH-USD
1463533200,14,14.1,14,14.1,15.46248324,2016-05-18T01:00:00Z,ETH-USD
1463536800,14,14,14,14,0.052,2016-05-18T02:00:00Z,ETH-USD
1463590800,13.6,13.6,13.6,13.6,0.36673023,2016-05-18T17:00:00Z,ETH-USD
1463594400,13.05,13.51,13.27,13.51,166.91076683,2016-05-18T18:00:00Z,ETH-USD
1463598000,13.03,13.51,13.04,13.51,90.1,2016-05-18T19:00:00Z,ETH-USD
1463605200,13.08,13.13,13.08,13.13,2,2016-05-18T21:00:00Z,ETH-USD
1463608800,13.11,13.13,13.11,13.13,7.59784148,2016-05-18T22:00:00Z,ETH-USD
1463612400,13.13,13.18,13.13,13.18,192.02915723,2016-05-18T23:00:00Z,ETH-USD
1463616000,13,13.18,13.18,13.18,2.25644046,2016-05-19T00:00:00Z,ETH-USD
1463644800,14.1,14.27,14.27,14.1,201,2016-05-19T08:00:00Z,ETH-USD
1463673600,14.15,14.19,14.15,14.19,100,2016-05-19T16:00:00Z,ETH-USD
1463677200,14.13,14.18,14.13,14.18,1.79406275,2016-05-19T17:00:00Z,ETH-USD
1463684400,14.05,14.34,14.33,14.34,24.33839295,2016-05-19T19:00:00Z,ETH-USD
1463688000,14.34,14.35,14.34,14.35,20,2016-05-19T20:00:00Z,ETH-USD
1463695200,14.83,14.83,14.83,14.83,0.1,2016-05-19T22:00:00Z,ETH-USD
1463698800,14.89,14.9,14.89,14.9,600.95230907,2016-05-19T23:00:00Z,ETH-USD
1463702400,14.82,14.82,14.82,14.82,16,2016-05-20T00:00:00Z,ETH-USD
1463756400,13.71,13.72,13.72,13.71,200,2016-05-20T15:00:00Z,ETH-USD
1463760000,13.91,13.91,13.91,13.91,10,2016-05-20T16:00:00Z,ETH-USD
1463774400,14.15,14.17,14.15,14.17,28.16661711,2016-05-20T20:00:00Z,ETH-USD
1464012000,13.85,13.86,13.86,13.85,180,2016-05-23T14:00:00Z,ETH-USD
1464040800,13.91,13.91,13.91,13.91,0.06111961,2016-05-23T22:00:00Z,ETH-USD
1464044400,13.61,13.61,13.61,13.61,0.72559233,2016-05-23T23:00:00Z,ETH-USD
1464048000,13.68,13.74,13.68,13.74,1,2016-05-24T00:00:00Z,ETH-USD
1464073200,13.25,13.62,13.62,13.25,1,2016-05-24T07:00:00Z,ETH-USD
1464102000,13.14,13.14,13.14,13.14,10,2016-05-24T15:00:00Z,ETH-USD
1464105600,13.13,13.14,13.14,13.14,46.35650109,2016-05-24T16:00:00Z,ETH-USD
1464109200,12,13.13,13.13,12.62,56.45011479,2016-05-24T17:00:00Z,ETH-USD
1464112800,12.12,12.83,12.83,12.83,70.79525671,2016-05-24T18:00:00Z,ETH-USD
1464116400,12.54,13.15,12.69,12.87,1405.87179713,2016-05-24T19:00:00Z,ETH-USD
1464120000,12.4,13.11,12.57,13.11,359.01769326,2016-05-24T20:00:00Z,ETH-USD
1464123600,13,13.02,13,13,231.69299792,2016-05-24T21:00:00Z,ETH-USD
1464127200,12.8,13.05,12.9,13.05,97.07267462,2016-05-24T22:00:00Z,ETH-USD
1464130800,12.77,13.04,13.04,12.77,473.98226209,2016-05-24T23:00:00Z,ETH-USD
1464134400,12.82,13,13,13,143.53243882,2016-05-25T00:00:00Z,ETH-USD
1464138000,12.88,13.18,13,12.88,2089.97291344,2016-05-25T01:00:00Z,ETH-USD
1464141600,12.92,12.97,12.92,12.95,139.8311631,2016-05-25T02:00:00Z,ETH-USD
1464145200,12.61,13.03,12.95,12.61,111.03106501,2016-05-25T03:00:00Z,ETH-USD
1464148800,12.61,12.96,12.96,12.94,327.8116041,2016-05-25T04:00:00Z,ETH-USD
1464152400,12.65,12.92,12.7,12.65,233.66943996,2016-05-25T05:00:00Z,ETH-USD
1464156000,12.51,12.77,12.75,12.66,261.59494637,2016-05-25T06:00:00Z,ETH-USD
1464159600,12.64,12.66,12.66,12.64,11.93930804,2016-05-25T07:00:00Z,ETH-USD
1464163200,12.6,12.97,12.68,12.95,994.83373734,2016-05-25T08:00:00Z,ETH-USD
1464166800,12.58,12.78,12.78,12.58,1018.3,2016-05-25T09:00:00Z,ETH-USD
1464170400,12.42,12.58,12.58,12.42,384.4,2016-05-25T10:00:00Z,ETH-USD
1464174000,12.38,12.7,12.42,12.38,390.1395,2016-05-25T11:00:00Z,ETH-USD
1464177600,12.4,12.48,12.41,12.48,198.12358247,2016-05-25T12:00:00Z,ETH-USD
1464181200,12.3,12.66,12.66,12.33,198.62624642,2016-05-25T13:00:00Z,ETH-USD
1464184800,11.93,12.32,12.32,12.19,520.58791936,2016-05-25T14:00:00Z,ETH-USD
1464188400,12.29,12.49,12.41,12.29,166.09258811,2016-05-25T15:00:00Z,ETH-USD
1464192000,12.23,12.26,12.25,12.26,81.72107156,2016-05-25T16:00:00Z,ETH-USD
1464195600,12.27,12.46,12.27,12.44,173.73210369,2016-05-25T17:00:00Z,ETH-USD
1464199200,12.45,12.54,12.45,12.49,495.79095811,2016-05-25T18:00:00Z,ETH-USD
1464202800,12.52,12.65,12.54,12.59,430.88079407,2016-05-25T19:00:00Z,ETH-USD
1464206400,12.45,12.89,12.58,12.66,643.24966155,2016-05-25T20:00:00Z,ETH-USD
1464210000,12.59,12.65,12.65,12.59,36.357759540000004,2016-05-25T21:00:00Z,ETH-USD
1464213600,12.59,12.62,12.59,12.62,174.79490432,2016-05-25T22:00:00Z,ETH-USD
1464217200,12.61,12.61,12.61,12.61,470.16788571,2016-05-25T23:00:00Z,ETH-USD
1464220800,12.61,12.65,12.61,12.64,89.54480008,2016-05-26T00:00:00Z,ETH-USD
1464224400,12.62,12.63,12.63,12.62,156.14324918,2016-05-26T01:00:00Z,ETH-USD
1464228000,12.63,12.65,12.63,12.65,140.03688031,2016-05-26T02:00:00Z,ETH-USD
1464231600,12.65,12.95,12.65,12.95,124.74782134,2016-05-26T03:00:00Z,ETH-USD
1464235200,12.95,12.95,12.95,12.95,0.1,2016-05-26T04:00:00Z,ETH-USD
1464238800,12.95,12.95,12.95,12.95,7.76204204,2016-05-26T05:00:00Z,ETH-USD
1464242400,12.6,12.94,12.94,12.6,537.57948673,2016-05-26T06:00:00Z,ETH-USD
1464246000,12.5,12.6,12.55,12.59,151.88124432,2016-05-26T07:00:00Z,ETH-USD
1464260400,12.38,12.44,12.44,12.38,34.535,2016-05-26T11:00:00Z,ETH-USD
1464264000,12.3,12.36,12.36,12.3,45.677882,2016-05-26T12:00:00Z,ETH-USD
1464267600,12.2,12.33,12.33,12.27,175.11363626,2016-05-26T13:00:00Z,ETH-USD
1464271200,12.18,12.25,12.25,12.18,0.125,2016-05-26T14:00:00Z,ETH-USD
1464274800,12.21,12.34,12.21,12.34,61.523,2016-05-26T15:00:00Z,ETH-USD
1464278400,12.16,12.57,12.34,12.55,287.82169894,2016-05-26T16:00:00Z,ETH-USD
1464282000,12.15,12.54,12.54,12.15,262.23458537,2016-05-26T17:00:00Z,ETH-USD
1464285600,12.3,12.49,12.3,12.49,218.00180279,2016-05-26T18:00:00Z,ETH-USD
1464289200,12.39,12.7,12.48,12.44,151.49191408,2016-05-26T19:00:00Z,ETH-USD
1464292800,12.42,12.67,12.42,12.59,107.30676527,2016-05-26T20:00:00Z,ETH-USD
1464296400,12.57,12.77,12.59,12.57,182.5222506,2016-05-26T21:00:00Z,ETH-USD
1464300000,12.45,12.78,12.57,12.47,215.23190118,2016-05-26T22:00:00Z,ETH-USD
1464303600,12.47,12.78,12.47,12.47,40.50999806,2016-05-26T23:00:00Z,ETH-USD
1464307200,12.15,12.47,12.47,12.15,356.10752717,2016-05-27T00:00:00Z,ETH-USD
1464310800,12.11,12.36,12.36,12.11,77.74456374,2016-05-27T01:00:00Z,ETH-USD
1464314400,12.06,12.36,12.11,12.06,274.46634274,2016-05-27T02:00:00Z,ETH-USD
1464318000,12.06,12.1,12.1,12.07,275.28759009,2016-05-27T03:00:00Z,ETH-USD
1464321600,11.25,12.07,12.07,11.49,5093.2069395,2016-05-27T04:00:00Z,ETH-USD
1464325200,11.32,11.69,11.48,11.69,296.05553327,2016-05-27T05:00:00Z,ETH-USD
1464328800,11.43,11.68,11.43,11.67,5.49249946,2016-05-27T06:00:00Z,ETH-USD
1464332400,11.5,11.67,11.5,11.5,0.37984593,2016-05-27T07:00:00Z,ETH-USD
1464336000,11.66,11.66,11.66,11.66,170.11962369,2016-05-27T08:00:00Z,ETH-USD
1464339600,11.35,11.7,11.67,11.35,193.8,2016-05-27T09:00:00Z,ETH-USD
1464343200,11.35,11.51,11.5,11.46,13.83046587,2016-05-27T10:00:00Z,ETH-USD
1464346800,10.71,11.35,11.35,10.81,1220.0451212,2016-05-27T11:00:00Z,ETH-USD
