unix,low,high,open,close,volume,date,pair
1607533200,30.8,34.8899,34.8899,31.258,187552.95,2020-12-09T17:00:00Z,FIL-USD
1607536800,30.2002,31.7488,31.4793,30.4123,43124.677,2020-12-09T18:00:00Z,FIL-USD
1607540400,30.3089,30.9036,30.4123,30.8213,36322.282,2020-12-09T19:00:00Z,FIL-USD
1607544000,30.5199,31.36,30.789,30.6219,39316.951,2020-12-09T20:00:00Z,FIL-USD
1607547600,30.5,30.857,30.6096,30.6452,18893.893,2020-12-09T21:00:00Z,FIL-USD
1607551200,30.3913,30.643,30.6381,30.6093,18316.2,2020-12-09T22:00:00Z,FIL-USD
1607554800,30.45,30.6429,30.6116,30.6047,7422.503,2020-12-09T23:00:00Z,FIL-USD
1607558400,30.5001,30.7929,30.5748,30.7929,8090.949,2020-12-10T00:00:00Z,FIL-USD
1607562000,30.7304,31.468,30.7887,31.0125,39384.603,2020-12-10T01:00:00Z,FIL-USD
1607565600,30.8811,31.4352,31.0125,30.9272,16210.113,2020-12-10T02:00:00Z,FIL-USD
1607569200,30.705,30.9549,30.9549,30.705,9269.978,2020-12-10T03:00:00Z,FIL-USD
1607572800,30.68,30.8714,30.7304,30.8192,6265.894,2020-12-10T04:00:00Z,FIL-USD
1607576400,30.725,30.9372,30.81,30.8619,12591.034,2020-12-10T05:00:00Z,FIL-USD
1607580000,30.703,30.9958,30.8521,30.85,10211.551,2020-12-10T06:00:00Z,FIL-USD
1607583600,30.85,31.1016,30.85,30.9335,17061.122,2020-12-10T07:00:00Z,FIL-USD
1607587200,30.883,31.1392,30.9366,30.9208,7493.748,2020-12-10T08:00:00Z,FIL-USD
1607590800,30.703,30.9362,30.8833,30.724,5926.886,2020-12-10T09:00:00Z,FIL-USD
1607594400,30.33,30.735,30.7121,30.5104,12969.716,2020-12-10T10:00:00Z,FIL-USD
1607598000,30.5001,30.6135,30.593,30.55,5976.411,2020-12-10T11:00:00Z,FIL-USD
1607601600,30.52,30.633,30.578,30.5606,7593.002,2020-12-10T12:00:00Z,FIL-USD
1607605200,30.5,30.6612,30.5584,30.6,13660.089,2020-12-10T13:00:00Z,FIL-USD
1607608800,30.5003,30.6801,30.5772,30.5364,6982.767,2020-12-10T14:00:00Z,FIL-USD
1607612400,30.4108,30.7653,30.5364,30.736,21861.595,2020-12-10T15:00:00Z,FIL-USD
1607616000,30.686,31.3121,30.736,31.0207,23564.631,2020-12-10T16:00:00Z,FIL-USD
1607619600,30.7932,31.409300000000002,31.0207,31.082,44912.609,2020-12-10T17:00:00Z,FIL-USD
1607623200,31.02,38,31.0878,37.8899,240285.988,2020-12-10T18:00:00Z,FIL-USD
1607626800,31.4702,39,37.8899,31.5087,323446.496,2020-12-10T19:00:00Z,FIL-USD
1607630400,30.7,31.574,31.5087,31.0781,89222.2,2020-12-10T20:00:00Z,FIL-USD
1607634000,30.3001,31.0954,31.0087,30.6145,67059.14,2020-12-10T21:00:00Z,FIL-USD
1607637600,30.5986,30.7777,30.6145,30.709,19600.24,2020-12-10T22:00:00Z,FIL-USD
1607641200,30.5,30.9119,30.7777,30.5167,29927.327,2020-12-10T23:00:00Z,FIL-USD
1607644800,29.66,30.6182,30.5223,30.12,90245.027,2020-12-11T00:00:00Z,FIL-USD
1607648400,29.8227,30.3488,30.1172,30.2775,37027.526,2020-12-11T01:00:00Z,FIL-USD
1607652000,29.9641,30.6553,30.2053,30.0484,40240.576,2020-12-11T02:00:00Z,FIL-USD
1607655600,30.0201,30.6,30.1752,30.5213,24646.056,2020-12-11T03:00:00Z,FIL-USD
1607659200,30.3192,30.6667,30.5213,30.595,11268.062,2020-12-11T04:00:00Z,FIL-USD
1607662800,30.1605,30.7498,30.6398,30.3008,23942.213,2020-12-11T05:00:00Z,FIL-USD
1607666400,30.211,30.4,30.3033,30.3414,7567.043,2020-12-11T06:00:00Z,FIL-USD
1607670000,30.0371,30.3497,30.2903,30.2568,9411.962,2020-12-11T07:00:00Z,FIL-USD
1607673600,30.0228,30.3373,30.2568,30.2433,14727.885,2020-12-11T08:00:00Z,FIL-USD
