unix,low,high,open,close,volume,date,pair
1608508800,0.725,0.775,0.749,0.7346,17205701.57,2020-12-21T00:00:00Z,GRT-USD
1608512400,0.7,0.75,0.7346,0.7284,15173879.97,2020-12-21T01:00:00Z,GRT-USD
1608516000,0.702,0.736,0.7282,0.7325,9843386.22,2020-12-21T02:00:00Z,GRT-USD
1608519600,0.71,0.7515,0.7341,0.7117,10147116.77,2020-12-21T03:00:00Z,GRT-USD
1608523200,0.6206,0.7172,0.7114,0.6628,28272512.37,2020-12-21T04:00:00Z,GRT-USD
1608526800,0.6201,0.699,0.661,0.6858,28423426.84,2020-12-21T05:00:00Z,GRT-USD
1608530400,0.6538,0.6868,0.6858,0.6802,9966141.04,2020-12-21T06:00:00Z,GRT-USD
1608534000,0.6802,0.7248,0.6809,0.6884,11340967.85,2020-12-21T07:00:00Z,GRT-USD
1608537600,0.605,0.6883,0.6883,0.6136,19961528.55,2020-12-21T08:00:00Z,GRT-USD
1608541200,0.55,0.641,0.6165,0.5749,24752829.26,2020-12-21T09:00:00Z,GRT-USD
1608544800,0.5011,0.5869,0.5744,0.5477,31473930.93,2020-12-21T10:00:00Z,GRT-USD
1608548400,0.545,0.5969,0.5482,0.558,16814059.4,2020-12-21T11:00:00Z,GRT-USD
1608552000,0.5209,0.5672,0.558,0.541,15497975.29,2020-12-21T12:00:00Z,GRT-USD
1608555600,0.5376,0.6521,0.5424,0.6492,24933030.57,2020-12-21T13:00:00Z,GRT-USD
1608559200,0.5948,0.6683,0.6492,0.639,13938190.1,2020-12-21T14:00:00Z,GRT-USD
1608562800,0.5649,0.6393,0.6389,0.5722,14015074.19,2020-12-21T15:00:00Z,GRT-USD
1608566400,0.5233,0.58,0.5723,0.5647,25953977.44,2020-12-21T16:00:00Z,GRT-USD
1608570000,0.545,0.6,0.5618,0.5825,12529972.57,2020-12-21T17:00:00Z,GRT-USD
1608573600,0.552,0.589,0.5825,0.5783,13145199.48,2020-12-21T18:00:00Z,GRT-USD
1608577200,0.5701,0.6079,0.5778,0.5768,11922487.1,2020-12-21T19:00:00Z,GRT-USD
1608580800,0.5511,0.5837,0.5769,0.5519,10540073.07,2020-12-21T20:00:00Z,GRT-USD
1608584400,0.4824,0.5619,0.5512,0.4975,35083919.75,2020-12-21T21:00:00Z,GRT-USD
1608588000,0.4905,0.5378,0.4983,0.4948,20216993.27,2020-12-21T22:00:00Z,GRT-USD
1608591600,0.45,0.5057,0.49370000000000003,0.4722,43819898.51,2020-12-21T23:00:00Z,GRT-USD
1608595200,0.46,0.5073,0.4722,0.4764,24928607.56,2020-12-22T00:00:00Z,GRT-USD
1608598800,0.4642,0.4974,0.4774,0.4834,15368724.42,2020-12-22T01:00:00Z,GRT-USD
1608602400,0.4804,0.519,0.4834,0.5176,13266972.93,2020-12-22T02:00:00Z,GRT-USD
1608606000,0.5086,0.54,0.5169,0.5167,17645290.87,2020-12-22T03:00:00Z,GRT-USD
1608609600,0.4948,0.544,0.5188,0.5051,15810959.71,2020-12-22T04:00:00Z,GRT-USD
1608613200,0.475,0.5063,0.5052,0.479,14712588.65,2020-12-22T05:00:00Z,GRT-USD
1608616800,0.475,0.5071,0.479,0.487,7884133.99,2020-12-22T06:00:00Z,GRT-USD
1608620400,0.4802,0.5054,0.4865,0.4829,5660361.4,2020-12-22T07:00:00Z,GRT-USD
1608624000,0.43,0.4895,0.4838,0.4364,17575653.88,2020-12-22T08:00:00Z,GRT-USD
1608627600,0.425,0.454,0.4356,0.4319,8770865,2020-12-22T09:00:00Z,GRT-USD
1608631200,0.4317,0.458,0.4319,0.4555,5891118.91,2020-12-22T10:00:00Z,GRT-USD
1608634800,0.4541,0.4833,0.4557,0.4781,10019369.42,2020-12-22T11:00:00Z,GRT-USD
1608638400,0.4734,0.538,0.4775,0.526,14320678.63,2020-12-22T12:00:00Z,GRT-USD
1608642000,0.4925,0.5268,0.5262,0.5167,11608656.26,2020-12-22T13:00:00Z,GRT-USD
1608645600,0.5076,0.535,0.5166,0.5285,9693174.22,2020-12-22T14:00:00Z,GRT-USD
1608649200,0.5201,0.5777,0.5287,0.5545,20764734.6,2020-12-22T15:00:00Z,GRT-USD
1608652800,0.5425,0.593,0.5528,0.5829,19586866.59,2020-12-22T16:00:00Z,GRT-USD
1608656400,0.575,0.625,0.5829,0.6214,25601897.09,2020-12-22T17:00:00Z,GRT-USD
1608660000,0.5567,0.63,0.6214,0.5708,33326863.96,2020-12-22T18:00:00Z,GRT-USD
1608663600,0.5258,0.59,0.5709,0.535,28082642.66,2020-12-22T19:00:00Z,GRT-USD
1608667200,0.5241,0.5685,0.5349,0.5541,17551907.07,2020-12-22T20:00:00Z,GRT-USD
1608670800,0.535,0.562,0.5541,0.5393,10736900.69,2020-12-22T21:00:00Z,GRT-USD
1608674400,0.5026,0.5395,0.5395,0.5316,16827261.57,2020-12-22T22:00:00Z,GRT-USD
1608678000,0.5262,0.562,0.5316,0.5461,15500524.31,2020-12-22T23:00:00Z,GRT-USD
1608681600,0.5349,0.5703,0.5461,0.5634,11925773.9,2020-12-23T00:00:00Z,GRT-USD
1608685200,0.521,0.582,0.5643,0.5323,19487229.05,2020-12-23T01:00:00Z,GRT-USD
1608688800,0.482,0.5378,0.532,0.4989,14802866.93,2020-12-23T02:00:00Z,GRT-USD
1608692400,0.4852,0.5208,0.499,0.5027,12130637.42,2020-12-23T03:00:00Z,GRT-USD
1608696000,0.4811,0.519,0.5012,0.485,9171296.11,2020-12-23T04:00:00Z,GRT-USD
1608699600,0.475,0.505,0.4849,0.4877,10108755.58,2020-12-23T05:00:00Z,GRT-USD
1608703200,0.4505,0.5008,0.4879,0.4589,14006461.28,2020-12-23T06:00:00Z,GRT-USD
1608706800,0.4573,0.535,0.4598,0.5125,17608260.12,2020-12-23T07:00:00Z,GRT-USD
1608710400,0.4867,0.5305,0.5125,0.5179,18394249.67,2020-12-23T08:00:00Z,GRT-USD
1608714000,0.5096,0.5441,0.5179,0.5321,10036426.83,2020-12-23T09:00:00Z,GRT-USD
1608717600,0.4821,0.5321,0.5321,0.4924,7330989.37,2020-12-23T10:00:00Z,GRT-USD
1608721200,0.46,0.5205,0.4921,0.4981,11100173.75,2020-12-23T11:00:00Z,GRT-USD
1608724800,0.4802,0.5199,0.4981,0.5044,7411086.8,2020-12-23T12:00:00Z,GRT-USD
1608728400,0.4816,0.505,0.5047,0.4859,6676496.47,2020-12-23T13:00:00Z,GRT-USD
1608732000,0.47,0.495,0.4859,0.4874,7410366.61,2020-12-23T14:00:00Z,GRT-USD
1608735600,0.4625,0.4894,0.4874,0.4691,5414146.84,2020-12-23T15:00:00Z,GRT-USD
1608739200,0.4645,0.4973,0.4691,0.4854,7999541.68,2020-12-23T16:00:00Z,GRT-USD
1608742800,0.4725,0.4881,0.4847,0.4799,4726842.23,2020-12-23T17:00:00Z,GRT-USD
1608746400,0.468,0.4811,0.4803,0.4757,3485654.22,2020-12-23T18:00:00Z,GRT-USD
1608750000,0.4466,0.4774,0.4757,0.4706,8953063.18,2020-12-23T19:00:00Z,GRT-USD
1608753600,0.4267,0.4868,0.4712,0.4305,16898764.01,2020-12-23T20:00:00Z,GRT-USD
1608757200,0.403,0.4324,0.4306,0.4165,22734719.92,2020-12-23T21:00:00Z,GRT-USD
1608760800,0.335,0.4297,0.4164,0.398,38362196.88,2020-12-23T22:00:00Z,GRT-USD
1608764400,0.3839,0.4466,0.398,0.4111,18053391,2020-12-23T23:00:00Z,GRT-USD
1608768000,0.377,0.4152,0.4112,0.3913,14669898.76,2020-12-24T00:00:00Z,GRT-USD
1608771600,0.3801,0.412,0.3914,0.4034,11192866.65,2020-12-24T01:00:00Z,GRT-USD
1608775200,0.3812,0.4058,0.4037,0.3826,7388843.71,2020-12-24T02:00:00Z,GRT-USD
1608778800,0.355,0.388,0.3822,0.3704,14603228.85,2020-12-24T03:00:00Z,GRT-USD
1608782400,0.36,0.3834,0.3704,0.3678,9672941.91,2020-12-24T04:00:00Z,GRT-USD
1608786000,0.3638,0.4024,0.3678,0.3935,10961791.95,2020-12-24T05:00:00Z,GRT-USD
1608789600,0.3656,0.4,0.3935,0.3756,10358134.59,2020-12-24T06:00:00Z,GRT-USD
1608793200,0.3656,0.4027,0.3762,0.3966,9471393.39,2020-12-24T07:00:00Z,GRT-USD
1608796800,0.389,0.416,0.3971,0.4084,9040303.51,2020-12-24T08:00:00Z,GRT-USD
1608800400,0.3927,0.4128,0.4084,0.401,6220418.92,2020-12-24T09:00:00Z,GRT-USD
1608804000,0.3761,0.4014,0.4013,0.3762,4984143.8,2020-12-24T10:00:00Z,GRT-USD
1608807600,0.3758,0.3982,0.3761,0.3879,3606340.4,2020-12-24T11:00:00Z,GRT-USD
1608811200,0.385,0.4066,0.3877,0.406,4120146.55,2020-12-24T12:00:00Z,GRT-USD
1608814800,0.3989,0.44,0.4051,0.4353,10012084.63,2020-12-24T13:00:00Z,GRT-USD
1608818400,0.4215,0.4567,0.4353,0.439,14996267.8,2020-12-24T14:00:00Z,GRT-USD
