unix,low,high,open,close,volume,date,pair
1582650000,0.5,0.62,0.55,0.56,1385370,2020-02-25T17:00:00Z,KNC-USD
1582653600,0.56,0.6597,0.5602,0.5783,1771058,2020-02-25T18:00:00Z,KNC-USD
1582657200,0.51,0.5898,0.5781,0.5339,961106,2020-02-25T19:00:00Z,KNC-USD
1582660800,0.5301,0.5416,0.5339,0.541,318791,2020-02-25T20:00:00Z,KNC-USD
1582664400,0.5388,0.5954,0.5388,0.5855,1247888,2020-02-25T21:00:00Z,KNC-USD
1582668000,0.5705,0.5881,0.5843,0.576,147201,2020-02-25T22:00:00Z,KNC-USD
1582671600,0.5555,0.5844,0.576,0.5597,153308,2020-02-25T23:00:00Z,KNC-USD
1582675200,0.55,0.5769,0.557,0.5508,144962,2020-02-26T00:00:00Z,KNC-USD
1582678800,0.5268,0.5542,0.552,0.5271,273110,2020-02-26T01:00:00Z,KNC-USD
1582682400,0.504,0.5277,0.5272,0.5092,397960,2020-02-26T02:00:00Z,KNC-USD
1582686000,0.4975,0.5201,0.5104,0.5101,253257,2020-02-26T03:00:00Z,KNC-USD
1582689600,0.5086,0.5187,0.5101,0.5185,56882,2020-02-26T04:00:00Z,KNC-USD
1582693200,0.516,0.5255,0.5163,0.5255,52259,2020-02-26T05:00:00Z,KNC-USD
1582696800,0.527,0.5317,0.5277,0.5313,22480,2020-02-26T06:00:00Z,KNC-USD
1582700400,0.516,0.5315,0.5315,0.5162,78924,2020-02-26T07:00:00Z,KNC-USD
1582704000,0.5125,0.5172,0.514,0.515,11185,2020-02-26T08:00:00Z,KNC-USD
1582707600,0.505,0.5164,0.515,0.5066,37526,2020-02-26T09:00:00Z,KNC-USD
1582711200,0.5054,0.5107,0.507,0.5073,13216,2020-02-26T10:00:00Z,KNC-USD
1582714800,0.4847,0.5074,0.5074,0.4854,137913,2020-02-26T11:00:00Z,KNC-USD
1582718400,0.4692,0.5,0.4865,0.4987,205370,2020-02-26T12:00:00Z,KNC-USD
1582722000,0.4749,0.5061,0.4992,0.4814,245797,2020-02-26T13:00:00Z,KNC-USD
1582725600,0.4662,0.4883,0.4764,0.475,238685,2020-02-26T14:00:00Z,KNC-USD
1582729200,0.4582,0.4767,0.4767,0.4582,86385,2020-02-26T15:00:00Z,KNC-USD
1582732800,0.4329,0.4612,0.4584,0.446,527440,2020-02-26T16:00:00Z,KNC-USD
1582736400,0.4422,0.4538,0.4486,0.4475,124557,2020-02-26T17:00:00Z,KNC-USD
1582740000,0.4438,0.4894,0.4439,0.4865,436876,2020-02-26T18:00:00Z,KNC-USD
1582743600,0.4698,0.4867,0.4842,0.4751,182937,2020-02-26T19:00:00Z,KNC-USD
1582747200,0.4685,0.4819,0.4758,0.475,205736,2020-02-26T20:00:00Z,KNC-USD
1582750800,0.4621,0.4752,0.475,0.4621,29012,2020-02-26T21:00:00Z,KNC-USD
1582754400,0.4618,0.4742,0.4618,0.4707,36332,2020-02-26T22:00:00Z,KNC-USD
1582758000,0.4707,0.4824,0.4707,0.475,19861,2020-02-26T23:00:00Z,KNC-USD
1582761600,0.4551,0.4749,0.4749,0.4551,44754,2020-02-27T00:00:00Z,KNC-USD
1582765200,0.4454,0.4635,0.4549,0.4635,162793,2020-02-27T01:00:00Z,KNC-USD
1582768800,0.4576,0.4635,0.4602,0.458,51372,2020-02-27T02:00:00Z,KNC-USD
1582772400,0.4575,0.467,0.458,0.4656,114623,2020-02-27T03:00:00Z,KNC-USD
1582776000,0.4623,0.4732,0.4628,0.4732,20317,2020-02-27T04:00:00Z,KNC-USD
1582779600,0.4727,0.483,0.4748,0.4789,34142,2020-02-27T05:00:00Z,KNC-USD
1582783200,0.4759,0.4868,0.4806,0.4868,123986,2020-02-27T06:00:00Z,KNC-USD
1582786800,0.487,0.5096,0.487,0.5,352616,2020-02-27T07:00:00Z,KNC-USD
1582790400,0.5,0.5153,0.5001,0.5097,15103,2020-02-27T08:00:00Z,KNC-USD
1582794000,0.5053,0.5178,0.5102,0.5119,58628,2020-02-27T09:00:00Z,KNC-USD
1582797600,0.4955,0.518,0.5119,0.503,244045,2020-02-27T10:00:00Z,KNC-USD
1582801200,0.5034,0.5246,0.5034,0.5217,176177,2020-02-27T11:00:00Z,KNC-USD
1582804800,0.5127,0.5337,0.523,0.5149,104056,2020-02-27T12:00:00Z,KNC-USD
1582808400,0.5129,0.5257,0.5134,0.5256,65146,2020-02-27T13:00:00Z,KNC-USD
1582812000,0.5214,0.5313,0.524,0.5301,93877,2020-02-27T14:00:00Z,KNC-USD
1582815600,0.53,0.5517,0.5301,0.548,432917,2020-02-27T15:00:00Z,KNC-USD
1582819200,0.5469,0.571,0.5469,0.5525,505168,2020-02-27T16:00:00Z,KNC-USD
1582822800,0.5453,0.5549,0.5549,0.55,129008,2020-02-27T17:00:00Z,KNC-USD
1582826400,0.5295,0.594,0.55,0.594,1177687,2020-02-27T18:00:00Z,KNC-USD
1582830000,0.564,0.6334,0.594,0.5743,3678341,2020-02-27T19:00:00Z,KNC-USD
1582833600,0.5742,0.6239,0.5743,0.6101,1636531,2020-02-27T20:00:00Z,KNC-USD
1582837200,0.5814,0.6275,0.6091,0.5966,1602769,2020-02-27T21:00:00Z,KNC-USD
1582840800,0.55,0.5971,0.5966,0.5728,1503353,2020-02-27T22:00:00Z,KNC-USD
1582844400,0.5216,0.5723,0.5707,0.5472,1373907,2020-02-27T23:00:00Z,KNC-USD
1582848000,0.5373,0.5765,0.5441,0.5581,1182890,2020-02-28T00:00:00Z,KNC-USD
1582851600,0.5465,0.5688,0.5581,0.5676,410476,2020-02-28T01:00:00Z,KNC-USD
1582855200,0.5567,0.5738,0.5676,0.567,439760,2020-02-28T02:00:00Z,KNC-USD
1582858800,0.5542,0.574,0.5662,0.559,411113,2020-02-28T03:00:00Z,KNC-USD
1582862400,0.5515,0.57,0.5583,0.5631,180496,2020-02-28T04:00:00Z,KNC-USD
1582866000,0.5516,0.5903,0.5631,0.5807,636905,2020-02-28T05:00:00Z,KNC-USD
1582869600,0.5748,0.5923,0.5797,0.5815,292754,2020-02-28T06:00:00Z,KNC-USD
1582873200,0.533,0.5846,0.5815,0.5358,412966,2020-02-28T07:00:00Z,KNC-USD
1582876800,0.53,0.5626,0.5364,0.53,287196,2020-02-28T08:00:00Z,KNC-USD
1582880400,0.5098,0.5306,0.5288,0.5109,389542,2020-02-28T09:00:00Z,KNC-USD
1582884000,0.5051,0.5209,0.5109,0.5182,136838,2020-02-28T10:00:00Z,KNC-USD
1582887600,0.5129,0.54,0.5183,0.5129,361267,2020-02-28T11:00:00Z,KNC-USD
1582891200,0.4863,0.5184,0.5163,0.5074,483845,2020-02-28T12:00:00Z,KNC-USD
1582894800,0.504,0.5399,0.5065,0.5313,457250,2020-02-28T13:00:00Z,KNC-USD
1582898400,0.5056,0.532,0.5313,0.523,405063,2020-02-28T14:00:00Z,KNC-USD
1582902000,0.5174,0.5273,0.5227,0.5267,373573,2020-02-28T15:00:00Z,KNC-USD
1582905600,0.5206,0.5286,0.525,0.5218,140128,2020-02-28T16:00:00Z,KNC-USD
1582909200,0.5132,0.5242,0.5218,0.522,123498,2020-02-28T17:00:00Z,KNC-USD
1582912800,0.5187,0.5297,0.5207,0.5253,154302,2020-02-28T18:00:00Z,KNC-USD
1582916400,0.515,0.53,0.5256,0.5259,179934,2020-02-28T19:00:00Z,KNC-USD
1582920000,0.5237,0.5341,0.5237,0.53,167007,2020-02-28T20:00:00Z,KNC-USD
1582923600,0.5269,0.5497,0.5279,0.5459,241513,2020-02-28T21:00:00Z,KNC-USD
1582927200,0.5349,0.5465,0.5433,0.545,285911,2020-02-28T22:00:00Z,KNC-USD
