unix,low,high,open,close,volume,date,pair
1562284800,3.41047,3.615,3.46181,3.53006,525496.97,2019-07-05T00:00:00Z,LINK-USD
1562288400,3.49,3.6,3.54,3.56241,348205.36,2019-07-05T01:00:00Z,LINK-USD
1562292000,3.5521,3.6488,3.56241,3.64,318126.5,2019-07-05T02:00:00Z,LINK-USD
1562295600,3.56001,3.70261,3.64,3.62835,250225.17,2019-07-05T03:00:00Z,LINK-USD
1562299200,3.4903,3.62897,3.62828,3.54896,160266.47,2019-07-05T04:00:00Z,LINK-USD
1562302800,3.5023,3.62399,3.54896,3.59999,96033.04,2019-07-05T05:00:00Z,LINK-USD
1562306400,3.50101,3.6,3.59999,3.50101,94571.96,2019-07-05T06:00:00Z,LINK-USD
1562310000,3.47,3.56174,3.50102,3.53051,104720.38,2019-07-05T07:00:00Z,LINK-USD
1562313600,3.49003,3.62394,3.53051,3.55071,92517.23,2019-07-05T08:00:00Z,LINK-USD
1562317200,3.49001,3.57999,3.55163,3.52756,60125.16,2019-07-05T09:00:00Z,LINK-USD
1562320800,3.47,3.56131,3.52773,3.47709,54869.53,2019-07-05T10:00:00Z,LINK-USD
1562324400,3.47001,3.56965,3.48856,3.51588,65955.03,2019-07-05T11:00:00Z,LINK-USD
1562328000,3.5,3.62499,3.5142,3.6161,133068.65,2019-07-05T12:00:00Z,LINK-USD
1562331600,3.57823,3.7,3.61997,3.59741,302874.97,2019-07-05T13:00:00Z,LINK-USD
1562335200,3.59002,3.67,3.60994,3.64397,149648.82,2019-07-05T14:00:00Z,LINK-USD
1562338800,3.56002,3.65524,3.64397,3.58918,156118.89,2019-07-05T15:00:00Z,LINK-USD
1562342400,3.551,3.645,3.59993,3.62285,117479.44,2019-07-05T16:00:00Z,LINK-USD
1562346000,3.6,3.70579,3.63331,3.69489,307096.16,2019-07-05T17:00:00Z,LINK-USD
1562349600,3.63,3.70308,3.69997,3.65338,178021.62,2019-07-05T18:00:00Z,LINK-USD
1562353200,3.64056,3.6901,3.6535,3.66628,147728.73,2019-07-05T19:00:00Z,LINK-USD
1562356800,3.59128,3.68318,3.66628,3.6044,242464.07,2019-07-05T20:00:00Z,LINK-USD
1562360400,3.6,3.6549,3.6048,3.63015,117901.13,2019-07-05T21:00:00Z,LINK-USD
1562364000,3.63001,3.74662,3.63028,3.67093,314687.57,2019-07-05T22:00:00Z,LINK-USD
1562367600,3.6223,3.68498,3.67093,3.64999,192246.65,2019-07-05T23:00:00Z,LINK-USD
1562371200,3.6,3.667,3.63693,3.61009,249950.65,2019-07-06T00:00:00Z,LINK-USD
1562374800,3.6003,3.63996,3.61009,3.60979,88476.06,2019-07-06T01:00:00Z,LINK-USD
1562378400,3.5208,3.61,3.60975,3.56923,224688.12,2019-07-06T02:00:00Z,LINK-USD
1562382000,3.52,3.58892,3.569,3.53401,79880.36,2019-07-06T03:00:00Z,LINK-USD
1562385600,3.5,3.589,3.53826,3.58552,226023.54,2019-07-06T04:00:00Z,LINK-USD
1562389200,3.5401,3.59614,3.58501,3.55303,71749.35,2019-07-06T05:00:00Z,LINK-USD
1562392800,3.54,3.56,3.55999,3.55028,31758.29,2019-07-06T06:00:00Z,LINK-USD
1562396400,3.5255,3.6,3.54003,3.5535,49868.06,2019-07-06T07:00:00Z,LINK-USD
1562400000,3.54001,3.59884,3.55749,3.54316,31349.18,2019-07-06T08:00:00Z,LINK-USD
1562403600,3.53,3.57999,3.54357,3.54607,32268.59,2019-07-06T09:00:00Z,LINK-USD
1562407200,3.53,3.57999,3.54586,3.53906,30728.32,2019-07-06T10:00:00Z,LINK-USD
1562410800,3.5309,3.635,3.53896,3.63499,72212.7,2019-07-06T11:00:00Z,LINK-USD
1562414400,3.56081,3.641,3.62156,3.59787,48127.69,2019-07-06T12:00:00Z,LINK-USD
1562418000,3.554,3.60974,3.598,3.56996,38466.51,2019-07-06T13:00:00Z,LINK-USD
1562421600,3.51,3.57,3.5614,3.51034,170593.38,2019-07-06T14:00:00Z,LINK-USD
1562425200,3.503,3.562,3.51105,3.51403,215516.51,2019-07-06T15:00:00Z,LINK-USD
1562428800,3.5112,3.54996,3.52026,3.52649,130157.06,2019-07-06T16:00:00Z,LINK-USD
1562432400,3.5259,3.56251,3.52806,3.54557,93692.85,2019-07-06T17:00:00Z,LINK-USD
1562436000,3.52,3.55831,3.53435,3.53984,115812.36,2019-07-06T18:00:00Z,LINK-USD
1562439600,3.5025,3.55,3.53028,3.54946,101169.75,2019-07-06T19:00:00Z,LINK-USD
1562443200,3.52101,3.5591,3.54934,3.5591,52069.59,2019-07-06T20:00:00Z,LINK-USD
1562446800,3.5061,3.58,3.5591,3.55799,146264.18,2019-07-06T21:00:00Z,LINK-USD
1562450400,3.501,3.56125,3.55798,3.51275,76043.45,2019-07-06T22:00:00Z,LINK-USD
1562454000,3.4555,3.53123,3.51274,3.48569,169592.17,2019-07-06T23:00:00Z,LINK-USD
1562457600,3.451,3.52987,3.4856,3.49191,79212.51,2019-07-07T00:00:00Z,LINK-USD
1562461200,3.47004,3.53,3.49191,3.49621,57714.92,2019-07-07T01:00:00Z,LINK-USD
1562464800,3.47,3.51526,3.51045,3.48277,57697.3,2019-07-07T02:00:00Z,LINK-USD
1562468400,3.4,3.49264,3.47,3.41553,130583.42,2019-07-07T03:00:00Z,LINK-USD
1562472000,3.33063,3.44,3.41553,3.39295,175183.26,2019-07-07T04:00:00Z,LINK-USD
1562475600,3.39101,3.45218,3.39297,3.42179,92271.79,2019-07-07T05:00:00Z,LINK-USD
1562479200,3.375,3.4482,3.42179,3.39458,88235.73,2019-07-07T06:00:00Z,LINK-USD
1562482800,3.39,3.41999,3.39458,3.391,37811.05,2019-07-07T07:00:00Z,LINK-USD
1562486400,3.35,3.51,3.39631,3.40112,123043.92,2019-07-07T08:00:00Z,LINK-USD
1562490000,3.39279,3.45989,3.40111,3.45989,47270.81,2019-07-07T09:00:00Z,LINK-USD
1562493600,3.34836,3.46799,3.45247,3.3509,62624.04,2019-07-07T10:00:00Z,LINK-USD
1562497200,3.31,3.37436,3.36695,3.33899,162381.77,2019-07-07T11:00:00Z,LINK-USD
1562500800,3.3176,3.46397,3.33899,3.40644,142082.89,2019-07-07T12:00:00Z,LINK-USD
1562504400,3.38357,3.44146,3.41651,3.41707,59972.34,2019-07-07T13:00:00Z,LINK-USD
1562508000,3.38367,3.44,3.41438,3.44,65287.36,2019-07-07T14:00:00Z,LINK-USD
1562511600,3.39303,3.43998,3.39305,3.42,52544.55,2019-07-07T15:00:00Z,LINK-USD
1562515200,3.40102,3.44611,3.42,3.41621,73783.69,2019-07-07T16:00:00Z,LINK-USD
1562518800,3.33,3.41494,3.41494,3.39999,235451.01,2019-07-07T17:00:00Z,LINK-USD
1562522400,3.38,3.42499,3.39994,3.39616,114118.16,2019-07-07T18:00:00Z,LINK-USD
1562526000,3.352,3.43898,3.38613,3.38593,186216.97,2019-07-07T19:00:00Z,LINK-USD
1562529600,3.345,3.39778,3.38526,3.38696,125014.05,2019-07-07T20:00:00Z,LINK-USD
1562533200,3.35,3.3943,3.38696,3.37187,111312.14,2019-07-07T21:00:00Z,LINK-USD
1562536800,3.29,3.37996,3.35742,3.36301,325891.04,2019-07-07T22:00:00Z,LINK-USD
1562540400,3.25331,3.3869,3.37442,3.31098,261030.64,2019-07-07T23:00:00Z,LINK-USD
1562544000,3.27003,3.31774,3.307,3.27003,160663.9,2019-07-08T00:00:00Z,LINK-USD
1562547600,3.27,3.379,3.28857,3.34865,173631.32,2019-07-08T01:00:00Z,LINK-USD
1562551200,3.33007,3.36886,3.34864,3.33802,66213.58,2019-07-08T02:00:00Z,LINK-USD
1562554800,3.32001,3.36888,3.3387,3.33442,54023.62,2019-07-08T03:00:00Z,LINK-USD
1562558400,3.33105,3.36899,3.33441,3.35764,41117.68,2019-07-08T04:00:00Z,LINK-USD
1562562000,3.32188,3.434,3.35247,3.43101,106524.47,2019-07-08T05:00:00Z,LINK-USD
1562565600,3.42497,3.6188,3.43103,3.46584,443503.3,2019-07-08T06:00:00Z,LINK-USD
1562569200,3.43001,3.49997,3.46575,3.45042,51530.64,2019-07-08T07:00:00Z,LINK-USD
1562572800,3.43,3.49092,3.45047,3.43,41026.26,2019-07-08T08:00:00Z,LINK-USD
1562576400,3.37214,3.485,3.46385,3.43885,144063.09,2019-07-08T09:00:00Z,LINK-USD
1562580000,3.41076,3.48499,3.44994,3.43416,70212.65,2019-07-08T10:00:00Z,LINK-USD
1562583600,3.39,3.46018,3.43416,3.39,118052.34,2019-07-08T11:00:00Z,LINK-USD
1562587200,3.34467,3.42499,3.39944,3.36388,113925.98,2019-07-08T12:00:00Z,LINK-USD
1562590800,3.35,3.41,3.37831,3.38352,91816.84,2019-07-08T13:00:00Z,LINK-USD
1562594400,3.34001,3.39765,3.39765,3.35345,126324.11,2019-07-08T14:00:00Z,LINK-USD
1562598000,3.34,3.39,3.35,3.35604,130087.56,2019-07-08T15:00:00Z,LINK-USD
1562601600,3.3311,3.36897,3.36706,3.36874,113522.5,2019-07-08T16:00:00Z,LINK-USD
1562605200,3.33501,3.36899,3.36879,3.34834,59291.9,2019-07-08T17:00:00Z,LINK-USD
1562608800,3.32151,3.37419,3.34772,3.34357,90150.29,2019-07-08T18:00:00Z,LINK-USD
1562612400,3.27724,3.3705,3.35328,3.306,246777.59,2019-07-08T19:00:00Z,LINK-USD
