unix,low,high,open,close,volume,date,pair
1600185600,0.2626,0.2996,0.29,0.2689,2252397.962435,2020-09-15T16:00:00Z,LRC-USD
1600189200,0.2636,0.2723,0.2689,0.2672,491249.661888,2020-09-15T17:00:00Z,LRC-USD
1600192800,0.2651,0.2699,0.2672,0.2673,268810.92358,2020-09-15T18:00:00Z,LRC-USD
1600196400,0.2639,0.2697,0.2676,0.2642,131225.994085,2020-09-15T19:00:00Z,LRC-USD
1600200000,0.2648,0.2699,0.265,0.2679,103792.488529,2020-09-15T20:00:00Z,LRC-USD
1600203600,0.2635,0.2681,0.2678,0.2649,93471.120211,2020-09-15T21:00:00Z,LRC-USD
1600207200,0.249,0.264,0.2639,0.2501,722497.420402,2020-09-15T22:00:00Z,LRC-USD
1600210800,0.25,0.255,0.2502,0.2539,149555.354856,2020-09-15T23:00:00Z,LRC-USD
1600214400,0.2284,0.2539,0.2539,0.2362,584159.777567,2020-09-16T00:00:00Z,LRC-USD
1600218000,0.234,0.2405,0.2363,0.2367,160069.704164,2020-09-16T01:00:00Z,LRC-USD
1600221600,0.2349,0.2403,0.2367,0.237,252618.454559,2020-09-16T02:00:00Z,LRC-USD
1600225200,0.2375,0.241,0.2375,0.2403,200031.51452,2020-09-16T03:00:00Z,LRC-USD
1600228800,0.237,0.2416,0.24,0.2389,279323.238263,2020-09-16T04:00:00Z,LRC-USD
1600232400,0.2323,0.2389,0.2389,0.2336,141907.412018,2020-09-16T05:00:00Z,LRC-USD
1600236000,0.2306,0.2366,0.2336,0.2358,216835.79939,2020-09-16T06:00:00Z,LRC-USD
1600239600,0.235,0.2379,0.2357,0.2375,156668.273156,2020-09-16T07:00:00Z,LRC-USD
1600243200,0.2317,0.241,0.2375,0.2332,220457.988822,2020-09-16T08:00:00Z,LRC-USD
1600246800,0.2321,0.2355,0.2324,0.2332,34301.313812,2020-09-16T09:00:00Z,LRC-USD
1600250400,0.2301,0.2368,0.2332,0.2301,85832.815146,2020-09-16T10:00:00Z,LRC-USD
1600254000,0.2292,0.2314,0.2305,0.231,28016.918216,2020-09-16T11:00:00Z,LRC-USD
1600257600,0.2315,0.235,0.2327,0.2348,47979.15952,2020-09-16T12:00:00Z,LRC-USD
1600261200,0.2331,0.237,0.2354,0.2331,115144.899902,2020-09-16T13:00:00Z,LRC-USD
1600264800,0.2312,0.2342,0.233,0.2318,102090.812289,2020-09-16T14:00:00Z,LRC-USD
1600268400,0.2303,0.2369,0.2317,0.2368,112181.56124,2020-09-16T15:00:00Z,LRC-USD
1600272000,0.2368,0.2467,0.2368,0.2402,458621.284372,2020-09-16T16:00:00Z,LRC-USD
1600275600,0.2374,0.246,0.2401,0.2449,271797.988602,2020-09-16T17:00:00Z,LRC-USD
1600279200,0.244,0.2572,0.2446,0.2554,802058.103262,2020-09-16T18:00:00Z,LRC-USD
1600282800,0.2471,0.2571,0.2562,0.2473,541948.892067,2020-09-16T19:00:00Z,LRC-USD
1600286400,0.2458,0.2567,0.2473,0.2564,174976.996317,2020-09-16T20:00:00Z,LRC-USD
1600290000,0.254,0.2577,0.2564,0.2546,207531.58516,2020-09-16T21:00:00Z,LRC-USD
1600293600,0.2475,0.2537,0.2537,0.248,60650.803799,2020-09-16T22:00:00Z,LRC-USD
1600297200,0.2438,0.2489,0.2487,0.2468,180475.492483,2020-09-16T23:00:00Z,LRC-USD
1600300800,0.2438,0.2515,0.2467,0.2501,113439.697912,2020-09-17T00:00:00Z,LRC-USD
1600304400,0.2465,0.2519,0.2505,0.2466,175824.214523,2020-09-17T01:00:00Z,LRC-USD
1600308000,0.2424,0.2498,0.2465,0.2424,305872.157149,2020-09-17T02:00:00Z,LRC-USD
1600311600,0.2345,0.2432,0.2424,0.2375,410533.055123,2020-09-17T03:00:00Z,LRC-USD
1600315200,0.2365,0.2409,0.2387,0.2409,154822.282063,2020-09-17T04:00:00Z,LRC-USD
1600318800,0.2395,0.2416,0.2409,0.2396,50851.871582,2020-09-17T05:00:00Z,LRC-USD
1600322400,0.235,0.2416,0.2414,0.2353,108528.873848,2020-09-17T06:00:00Z,LRC-USD
1600326000,0.2334,0.2412,0.2353,0.2374,34311.728244,2020-09-17T07:00:00Z,LRC-USD
