unix,low,high,open,close,volume,date,pair
1471579200,3.7,3.7,3.7,3.7,2.69461884,2016-08-19T04:00:00Z,LTC-USD
1471636800,3.7,4,3.7,4,198.8382593,2016-08-19T20:00:00Z,LTC-USD
1471795200,4,4,4,4,0.24925224,2016-08-21T16:00:00Z,LTC-USD
1471878000,3.99,3.99,3.99,3.99,0.49975386,2016-08-22T15:00:00Z,LTC-USD
1471896000,3.99,3.99,3.99,3.99,0.12493846,2016-08-22T20:00:00Z,LTC-USD
1471975200,3.99,4.6,3.99,4.6,225.10445707,2016-08-23T18:00:00Z,LTC-USD
1471978800,3.61,5.49,4.6,4.07,1464.64470342,2016-08-23T19:00:00Z,LTC-USD
1471982400,3.92,4.19,4.19,4.04,925.55081342,2016-08-23T20:00:00Z,LTC-USD
1471986000,3.93,4,3.95,3.96,1674.91450058,2016-08-23T21:00:00Z,LTC-USD
1471989600,3.9,3.96,3.95,3.96,412.47790517,2016-08-23T22:00:00Z,LTC-USD
1471993200,3.87,3.95,3.95,3.95,917.095768,2016-08-23T23:00:00Z,LTC-USD
1471996800,3.61,3.95,3.95,3.89,2735.46994639,2016-08-24T00:00:00Z,LTC-USD
1472000400,3.91,3.92,3.91,3.92,297.77254078,2016-08-24T01:00:00Z,LTC-USD
1472004000,3.83,3.92,3.92,3.91,28.31294007,2016-08-24T02:00:00Z,LTC-USD
1472007600,3.85,3.9,3.9,3.85,15.69943,2016-08-24T03:00:00Z,LTC-USD
1472011200,3.88,3.91,3.88,3.91,503.15549804,2016-08-24T04:00:00Z,LTC-USD
1472014800,3.89,3.92,3.89,3.92,56.18921198,2016-08-24T05:00:00Z,LTC-USD
1472018400,3.87,3.95,3.91,3.94,82.30957048,2016-08-24T06:00:00Z,LTC-USD
1472022000,3.94,3.94,3.94,3.94,2,2016-08-24T07:00:00Z,LTC-USD
1472025600,3.93,3.95,3.95,3.93,4.373889,2016-08-24T08:00:00Z,LTC-USD
1472029200,3.89,3.93,3.93,3.93,225.160282,2016-08-24T09:00:00Z,LTC-USD
1472032800,3.9,3.91,3.91,3.9,0.107097,2016-08-24T10:00:00Z,LTC-USD
1472036400,3.87,3.9,3.9,3.87,54.612844,2016-08-24T11:00:00Z,LTC-USD
1472040000,3.9,3.93,3.9,3.92,144.34897,2016-08-24T12:00:00Z,LTC-USD
1472043600,3.91,3.96,3.91,3.96,6.043371,2016-08-24T13:00:00Z,LTC-USD
1472047200,3.91,3.93,3.93,3.92,135.510951,2016-08-24T14:00:00Z,LTC-USD
1472050800,3.9,3.93,3.92,3.9,67,2016-08-24T15:00:00Z,LTC-USD
1472054400,3.88,3.91,3.9,3.9,65.10858532,2016-08-24T16:00:00Z,LTC-USD
