unix,low,high,open,close,volume,date,pair
1597766400,45,51.5501,51.5501,49.31,17052.894,2020-08-18T16:00:00Z,NMR-USD
1597770000,46.83,49.5409,49.31,47.5,3823.041,2020-08-18T17:00:00Z,NMR-USD
1597773600,45.5555,51.0001,47.5,49.2862,8572.435,2020-08-18T18:00:00Z,NMR-USD
1597777200,49.1661,55,49.1661,53.0003,10632.258,2020-08-18T19:00:00Z,NMR-USD
1597780800,50.0526,53.2196,53.0004,50.08,2741.101,2020-08-18T20:00:00Z,NMR-USD
1597784400,47.21,51.9618,50.0799,47.6261,3854.753,2020-08-18T21:00:00Z,NMR-USD
1597788000,47.6,52,47.6261,48.1217,3319.853,2020-08-18T22:00:00Z,NMR-USD
1597791600,45.5015,48.1055,48.1055,46.0466,2779.29,2020-08-18T23:00:00Z,NMR-USD
1597795200,45.101,47.1741,46.0679,45.6264,2583.888,2020-08-19T00:00:00Z,NMR-USD
1597798800,45.4949,49.7999,45.7382,47.34,2875.186,2020-08-19T01:00:00Z,NMR-USD
1597802400,42.28,47.4641,47.34,44.2265,11914.321,2020-08-19T02:00:00Z,NMR-USD
1597806000,42.5,45.2332,44.2265,42.6,2606.553,2020-08-19T03:00:00Z,NMR-USD
1597809600,39.9235,44.4692,42.6872,40.75,5047.786,2020-08-19T04:00:00Z,NMR-USD
1597813200,40.75,44.167,40.75,42.9469,3649.84,2020-08-19T05:00:00Z,NMR-USD
1597816800,40,43.0694,42.91,41,1034.893,2020-08-19T06:00:00Z,NMR-USD
1597820400,41.3392,44.4773,41.3392,42.9829,714.503,2020-08-19T07:00:00Z,NMR-USD
1597824000,41.9664,47,42.9829,41.9664,1472.94,2020-08-19T08:00:00Z,NMR-USD
1597827600,42.1059,43.1131,42.1059,42.5642,318.713,2020-08-19T09:00:00Z,NMR-USD
1597831200,42.0493,43.1997,42.4534,42.4202,1141.084,2020-08-19T10:00:00Z,NMR-USD
1597834800,42.35,45.6289,42.35,44.4464,934.883,2020-08-19T11:00:00Z,NMR-USD
1597838400,42.0531,45,44.4464,43.4784,1284.813,2020-08-19T12:00:00Z,NMR-USD
1597842000,43.01,44.3156,43.599,43.35,2211.334,2020-08-19T13:00:00Z,NMR-USD
1597845600,43.01,44.95,43.35,43.9525,1939.605,2020-08-19T14:00:00Z,NMR-USD
1597849200,42.2593,43.8739,43.8739,42.2593,1420.972,2020-08-19T15:00:00Z,NMR-USD
1597852800,41.7998,46,42.6626,43.8741,2395.59,2020-08-19T16:00:00Z,NMR-USD
1597856400,43.1067,44.0099,43.7763,43.6326,941.209,2020-08-19T17:00:00Z,NMR-USD
1597860000,40.5961,43.6752,43.6752,42.4403,1512.048,2020-08-19T18:00:00Z,NMR-USD
1597863600,41.9204,43.1421,42.544,42.2523,1160.76,2020-08-19T19:00:00Z,NMR-USD
1597867200,40.5606,42.6549,42.3915,41.2352,1753.001,2020-08-19T20:00:00Z,NMR-USD
1597870800,40.65,42.23,41.2976,41.8615,1916.656,2020-08-19T21:00:00Z,NMR-USD
1597874400,41.3273,41.8967,41.8964,41.8754,1304.798,2020-08-19T22:00:00Z,NMR-USD
1597878000,41.7847,42.3123,41.8754,42.1283,612.668,2020-08-19T23:00:00Z,NMR-USD
1597881600,41.5204,47,42.1493,42.9154,5954.076,2020-08-20T00:00:00Z,NMR-USD
1597885200,42.9,43.875,42.93,42.9,1130.122,2020-08-20T01:00:00Z,NMR-USD
1597888800,41.5092,42.9042,42.9,41.548,1514.373,2020-08-20T02:00:00Z,NMR-USD
1597892400,40.7464,41.7204,41.6963,41.0357,796.084,2020-08-20T03:00:00Z,NMR-USD
1597896000,40.5555,41.55,41.1821,40.8732,1258.249,2020-08-20T04:00:00Z,NMR-USD
1597899600,40.8732,41.485,40.8732,40.9008,777.262,2020-08-20T05:00:00Z,NMR-USD
1597903200,40.4398,44,40.9007,41.711,1584.453,2020-08-20T06:00:00Z,NMR-USD
1597906800,40.2461,41.8158,41.6307,40.6835,2776.352,2020-08-20T07:00:00Z,NMR-USD
1597910400,40.0102,41.7168,40.6834,40.0102,1365.412,2020-08-20T08:00:00Z,NMR-USD
1597914000,40,40.482,40.0102,40.0224,367.461,2020-08-20T09:00:00Z,NMR-USD
1597917600,40.0224,41.5369,40.0224,40.3339,1899.901,2020-08-20T10:00:00Z,NMR-USD
1597921200,40.0435,41.369,40.0855,40.4053,417.672,2020-08-20T11:00:00Z,NMR-USD
1597924800,40.2034,40.4641,40.3863,40.2903,186.645,2020-08-20T12:00:00Z,NMR-USD
1597928400,40,41.027,40.2903,40.6615,1474.604,2020-08-20T13:00:00Z,NMR-USD
1597932000,40,43.0753,40.7933,43,4422.814,2020-08-20T14:00:00Z,NMR-USD
1597935600,43.01,44.2995,43.0657,44.2599,3760.642,2020-08-20T15:00:00Z,NMR-USD
1597939200,44.1775,49,44.1775,48.6531,15533.763,2020-08-20T16:00:00Z,NMR-USD
1597942800,46.5,53,48.6774,47.3599,24816.066,2020-08-20T17:00:00Z,NMR-USD
1597946400,42.7551,48.5326,47.8517,44.8219,23659.744,2020-08-20T18:00:00Z,NMR-USD
1597950000,43.1002,45.5,44.8364,43.5246,10365.059,2020-08-20T19:00:00Z,NMR-USD
1597953600,43.5645,47.325,43.7555,47.2616,9129.33,2020-08-20T20:00:00Z,NMR-USD
1597957200,46.4454,49.9699,46.6913,46.7639,12569.453,2020-08-20T21:00:00Z,NMR-USD
1597960800,46.0346,48.03,46.7639,46.8632,6359.117,2020-08-20T22:00:00Z,NMR-USD
1597964400,45.7845,48.0199,46.8758,46.8809,5396.603,2020-08-20T23:00:00Z,NMR-USD
1597968000,46.4998,47.7784,46.9,46.7636,6264.193,2020-08-21T00:00:00Z,NMR-USD
1597971600,45.5511,46.7638,46.7638,45.806,4654.181,2020-08-21T01:00:00Z,NMR-USD
1597975200,44.6934,45.803,45.711,44.7246,5790.935,2020-08-21T02:00:00Z,NMR-USD
1597978800,42.5,47.099,44.6934,46.6812,9426.751,2020-08-21T03:00:00Z,NMR-USD
1597982400,44.4401,49.5,46.689,46.1509,14435.25,2020-08-21T04:00:00Z,NMR-USD
1597986000,44.75,46.7622,46.1509,46.0194,3773.123,2020-08-21T05:00:00Z,NMR-USD
1597989600,45.054,47.2265,46.1548,45.8545,4221.957,2020-08-21T06:00:00Z,NMR-USD
1597993200,44.75,46.505,45.8545,45.6885,2750.702,2020-08-21T07:00:00Z,NMR-USD
1597996800,44.44,46.1777,45.4684,46.0726,2852.128,2020-08-21T08:00:00Z,NMR-USD
1598000400,45.7475,50.47,46.0728,50.1003,5850.936,2020-08-21T09:00:00Z,NMR-USD
1598004000,46.4822,51.99,50.1003,47.7259,11627.106,2020-08-21T10:00:00Z,NMR-USD
1598007600,44.7655,48.277,47.4878,45.1033,5739.843,2020-08-21T11:00:00Z,NMR-USD
1598011200,44.3026,50,45.1076,46.3826,5672.166,2020-08-21T12:00:00Z,NMR-USD
1598014800,46,47.63,46.3825,46.4656,3955.303,2020-08-21T13:00:00Z,NMR-USD
1598018400,43.1001,46.5169,46.4596,44.0246,7526.817,2020-08-21T14:00:00Z,NMR-USD
1598022000,43.2625,47.63,44.0246,46.9454,5694.524,2020-08-21T15:00:00Z,NMR-USD
1598025600,42.9582,48.4521,46.9997,44.1044,5549.744,2020-08-21T16:00:00Z,NMR-USD
1598029200,42.8788,45.1274,43.6895,44.0087,3494.736,2020-08-21T17:00:00Z,NMR-USD
1598032800,42.7085,44.8465,44.0028,42.7085,3758.577,2020-08-21T18:00:00Z,NMR-USD
1598036400,42.5,44.99,42.8568,44.99,2559.558,2020-08-21T19:00:00Z,NMR-USD
1598040000,42.7822,45,44.99,42.8234,2405.072,2020-08-21T20:00:00Z,NMR-USD
1598043600,42,44.2181,43.0449,42.0021,3725.342,2020-08-21T21:00:00Z,NMR-USD
1598047200,42,44.4486,42.0981,43.5283,2719.387,2020-08-21T22:00:00Z,NMR-USD
1598050800,41.5299,43.527,43.4207,42.0437,2783.476,2020-08-21T23:00:00Z,NMR-USD
1598054400,41,42.3599,42.0606,41.8452,4652.002,2020-08-22T00:00:00Z,NMR-USD
1598058000,41.8162,43.2792,41.8538,42.279,2544.479,2020-08-22T01:00:00Z,NMR-USD
1598061600,42.0635,42.9996,42.206,42.7704,1761.887,2020-08-22T02:00:00Z,NMR-USD
1598065200,40.58,42.77,42.7699,41.5761,2777.433,2020-08-22T03:00:00Z,NMR-USD
1598068800,41.1864,42.8802,41.5281,41.6564,1776.535,2020-08-22T04:00:00Z,NMR-USD
1598072400,41.0363,41.7278,41.6563,41.26,1548.049,2020-08-22T05:00:00Z,NMR-USD
1598076000,41.1322,44.227,41.26,43.4102,4053.476,2020-08-22T06:00:00Z,NMR-USD
1598079600,41.3722,43.4933,43.4933,42.0781,1386.113,2020-08-22T07:00:00Z,NMR-USD
1598083200,41.9737,43.1104,42.075,42.6576,737.271,2020-08-22T08:00:00Z,NMR-USD
1598086800,42.6169,44.12,42.7569,43.283,1219.653,2020-08-22T09:00:00Z,NMR-USD
1598090400,43.1866,44.5109,43.2898,43.413,1316.347,2020-08-22T10:00:00Z,NMR-USD
1598094000,42.8585,43.5431,43.5355,42.9343,797.014,2020-08-22T11:00:00Z,NMR-USD
1598097600,42.9352,44.1074,43.0373,43.906,1140.89,2020-08-22T12:00:00Z,NMR-USD
1598101200,41.9718,44.1044,43.906,42.5383,1113.954,2020-08-22T13:00:00Z,NMR-USD
1598104800,41.8793,42.7,42.5383,42.6501,1150.303,2020-08-22T14:00:00Z,NMR-USD
1598108400,41.9592,42.8297,42.6532,42.3672,1523.358,2020-08-22T15:00:00Z,NMR-USD
1598112000,42.2492,44.5109,42.3672,42.9044,5529.729,2020-08-22T16:00:00Z,NMR-USD
1598115600,41.7272,43.4499,42.997,42.259,3357.014,2020-08-22T17:00:00Z,NMR-USD
1598119200,41.6529,42.7693,42.258,41.6529,1838.941,2020-08-22T18:00:00Z,NMR-USD
1598122800,41.8052,42.88,42.3032,42.7132,926.8,2020-08-22T19:00:00Z,NMR-USD
1598126400,42.2977,43.8091,42.6469,43.1498,1575.867,2020-08-22T20:00:00Z,NMR-USD
1598130000,42.7306,48.12,43.1498,46.05,11710.434,2020-08-22T21:00:00Z,NMR-USD
1598133600,44.0707,46.1111,46.0977,44.8582,7908.241,2020-08-22T22:00:00Z,NMR-USD
1598137200,44.832,52.81,44.832,48.0035,21914.951,2020-08-22T23:00:00Z,NMR-USD
1598140800,44.8638,47.974,47.9327,45.5898,6440.261,2020-08-23T00:00:00Z,NMR-USD
1598144400,43.5,45.5812,45.4724,44.0999,3690.204,2020-08-23T01:00:00Z,NMR-USD
1598148000,40.75,44.3716,44.0999,43.5593,12577.703,2020-08-23T02:00:00Z,NMR-USD
1598151600,43,43.8641,43.6499,43.4654,1122.335,2020-08-23T03:00:00Z,NMR-USD
1598155200,43.356,43.6966,43.5599,43.6163,2007.543,2020-08-23T04:00:00Z,NMR-USD
1598158800,43.1713,43.6846,43.6164,43.5148,1223.591,2020-08-23T05:00:00Z,NMR-USD
1598162400,43.4726,44,43.5254,43.7151,779.63,2020-08-23T06:00:00Z,NMR-USD
1598166000,42.6071,44,43.6974,43.6366,2596.66,2020-08-23T07:00:00Z,NMR-USD
1598169600,43.6,44.45,43.6264,44.45,1147.695,2020-08-23T08:00:00Z,NMR-USD
1598173200,43.3417,47.3,44.4499,44.8594,5845.471,2020-08-23T09:00:00Z,NMR-USD
1598176800,44.5515,45.9746,44.7627,45.2109,1352.02,2020-08-23T10:00:00Z,NMR-USD
1598180400,44.0001,47.65,45.1614,44.0001,4746.88,2020-08-23T11:00:00Z,NMR-USD
1598184000,44.0731,45.0811,44.2009,44.7528,728.37,2020-08-23T12:00:00Z,NMR-USD
1598187600,44.5197,44.9634,44.8714,44.7527,769.453,2020-08-23T13:00:00Z,NMR-USD
1598191200,43.902,45.3553,44.6324,44.5932,2456.723,2020-08-23T14:00:00Z,NMR-USD
1598194800,44.076,45.964,44.7645,45.5549,1491.439,2020-08-23T15:00:00Z,NMR-USD
1598198400,44.0479,46.1546,45.7721,44.6892,2297.661,2020-08-23T16:00:00Z,NMR-USD
1598202000,43.7925,45.0699,44.6892,44.8575,1459.257,2020-08-23T17:00:00Z,NMR-USD
1598205600,43.837,44.9105,44.8574,44.1865,1094.684,2020-08-23T18:00:00Z,NMR-USD
1598209200,44.1265,45,44.2268,44.9994,645.225,2020-08-23T19:00:00Z,NMR-USD
1598212800,43.9,45.3797,44.9535,44.4593,1956.2,2020-08-23T20:00:00Z,NMR-USD
1598216400,44.2036,45,44.7783,44.4828,1144.724,2020-08-23T21:00:00Z,NMR-USD
1598220000,43.5001,44.5106,44.4801,43.5959,2094.771,2020-08-23T22:00:00Z,NMR-USD
1598223600,43.1713,43.7483,43.7483,43.4912,2733.927,2020-08-23T23:00:00Z,NMR-USD
1598227200,43.3647,43.8,43.5194,43.6681,1221.964,2020-08-24T00:00:00Z,NMR-USD
1598230800,43.6659,45,43.6659,44.5683,2265.313,2020-08-24T01:00:00Z,NMR-USD
1598234400,44.4801,45.5,44.5932,45.2337,1808.534,2020-08-24T02:00:00Z,NMR-USD
1598238000,45.1169,46.79,45.2312,45.7567,3242.151,2020-08-24T03:00:00Z,NMR-USD
1598241600,45.7567,47.195,45.9865,46.5716,3494.862,2020-08-24T04:00:00Z,NMR-USD
1598245200,44.8227,47.25,46.5234,45.0982,1980.954,2020-08-24T05:00:00Z,NMR-USD
1598248800,44.8815,45.6835,45.269,44.9161,530.244,2020-08-24T06:00:00Z,NMR-USD
1598252400,44.659,45.5,44.9161,45.5,381.936,2020-08-24T07:00:00Z,NMR-USD
1598256000,44.7129,46.2714,45.5,45.2763,862.27,2020-08-24T08:00:00Z,NMR-USD
1598259600,45.0371,45.8195,45.2758,45.7585,325.599,2020-08-24T09:00:00Z,NMR-USD
1598263200,44.8079,45.82,45.7585,45.037,519.877,2020-08-24T10:00:00Z,NMR-USD
1598266800,43.7224,45.4126,45.0254,44.3216,1527.288,2020-08-24T11:00:00Z,NMR-USD
1598270400,44.1858,44.5626,44.456,44.3323,493.133,2020-08-24T12:00:00Z,NMR-USD
1598274000,44.12,44.4026,44.3997,44.12,706.785,2020-08-24T13:00:00Z,NMR-USD
1598277600,43.67,44.23,44.185,43.6997,771.026,2020-08-24T14:00:00Z,NMR-USD
1598281200,43.6701,44.83,43.6997,44.5482,1838.014,2020-08-24T15:00:00Z,NMR-USD
1598284800,43.716,44.8282,44.1953,44.3617,1338.215,2020-08-24T16:00:00Z,NMR-USD
1598288400,43.67,44.5444,44.4315,44.1005,1531.05,2020-08-24T17:00:00Z,NMR-USD
1598292000,43.45,44.1005,44.0143,43.6427,831.705,2020-08-24T18:00:00Z,NMR-USD
1598295600,43.6167,44.3069,43.901,44.3069,742.625,2020-08-24T19:00:00Z,NMR-USD
1598299200,43.8,44.3985,44.1291,44.1581,974.648,2020-08-24T20:00:00Z,NMR-USD
1598302800,44.0438,44.5,44.12,44.3036,601.569,2020-08-24T21:00:00Z,NMR-USD
1598306400,44.0099,44.3433,44.3036,44.3433,475.079,2020-08-24T22:00:00Z,NMR-USD
1598310000,44.2407,44.5898,44.2916,44.4751,766.398,2020-08-24T23:00:00Z,NMR-USD
1598313600,44.2675,44.6634,44.5732,44.2675,939.258,2020-08-25T00:00:00Z,NMR-USD
1598317200,44,44.3484,44.3484,44.0081,566.809,2020-08-25T01:00:00Z,NMR-USD
1598320800,43.45,44.068600000000004,44.0001,43.4501,1850.901,2020-08-25T02:00:00Z,NMR-USD
1598324400,43.45,44.41,43.6021,43.5822,2331.918,2020-08-25T03:00:00Z,NMR-USD
1598328000,43.4639,44.0933,43.5321,43.9589,700.889,2020-08-25T04:00:00Z,NMR-USD
1598331600,43.7709,44.2248,44.1034,43.8273,247.903,2020-08-25T05:00:00Z,NMR-USD
1598335200,43.3455,43.8188,43.778,43.3563,556.123,2020-08-25T06:00:00Z,NMR-USD
1598338800,42.6329,43.3606,43.3563,43.0278,1124.421,2020-08-25T07:00:00Z,NMR-USD
1598342400,42.5009,43.0258,43.0198,42.5009,373.489,2020-08-25T08:00:00Z,NMR-USD
1598346000,42.6093,43.3537,42.6454,43.2764,319.189,2020-08-25T09:00:00Z,NMR-USD
1598349600,42.5009,43.3582,43.2763,42.9043,1801.275,2020-08-25T10:00:00Z,NMR-USD
1598353200,42.7714,43.0111,42.9871,42.962,703.66,2020-08-25T11:00:00Z,NMR-USD
1598356800,41.99,42.9826,42.9579,42.0889,2195.042,2020-08-25T12:00:00Z,NMR-USD
1598360400,41.7707,42.3822,42.1051,41.7707,2358.836,2020-08-25T13:00:00Z,NMR-USD
1598364000,41.03,42.8987,41.8835,42.4784,2351.941,2020-08-25T14:00:00Z,NMR-USD
