unix,low,high,open,close,volume,date,pair
1607644800,0.1728,0.1843,0.1749,0.1736,5612798.135746,2020-12-11T00:00:00Z,NU-USD
1607648400,0.1675,0.176,0.1736,0.1733,7342409.99592,2020-12-11T01:00:00Z,NU-USD
1607652000,0.1704,0.1789,0.1728,0.1742,4824604.245079,2020-12-11T02:00:00Z,NU-USD
1607655600,0.1691,0.1755,0.174,0.1732,2850501.821614,2020-12-11T03:00:00Z,NU-USD
1607659200,0.171,0.1795,0.1732,0.1769,2853839.011629,2020-12-11T04:00:00Z,NU-USD
1607662800,0.177,0.1977,0.1774,0.1835,13045295.356435,2020-12-11T05:00:00Z,NU-USD
1607666400,0.1832,0.1935,0.1839,0.1885,4183749.762141,2020-12-11T06:00:00Z,NU-USD
1607670000,0.1865,0.1969,0.1886,0.1912,5061701.893383,2020-12-11T07:00:00Z,NU-USD
1607673600,0.1908,0.2139,0.1911,0.2118,10409621.735753,2020-12-11T08:00:00Z,NU-USD
1607677200,0.21,0.24,0.2116,0.2304,26745635.967271,2020-12-11T09:00:00Z,NU-USD
1607680800,0.212,0.2309,0.2304,0.2121,10623124.193191,2020-12-11T10:00:00Z,NU-USD
1607684400,0.2122,0.2379,0.2144,0.23,13435695.000164,2020-12-11T11:00:00Z,NU-USD
1607688000,0.206,0.2317,0.23,0.2128,10414908.380644,2020-12-11T12:00:00Z,NU-USD
1607691600,0.206,0.2244,0.2132,0.2243,7637093.034285,2020-12-11T13:00:00Z,NU-USD
1607695200,0.2086,0.2243,0.2243,0.2178,5974310.182542,2020-12-11T14:00:00Z,NU-USD
1607698800,0.2062,0.2194,0.2178,0.2077,8804971.914136,2020-12-11T15:00:00Z,NU-USD
1607702400,0.2072,0.2345,0.2077,0.2276,10812332.16503,2020-12-11T16:00:00Z,NU-USD
1607706000,0.2202,0.2345,0.2277,0.226,13792212.859767,2020-12-11T17:00:00Z,NU-USD
1607709600,0.2211,0.2305,0.2269,0.2245,7301888.260885,2020-12-11T18:00:00Z,NU-USD
1607713200,0.21,0.2279,0.2251,0.2186,10289743.816157,2020-12-11T19:00:00Z,NU-USD
1607716800,0.2155,0.2245,0.2183,0.2237,3568356.414945,2020-12-11T20:00:00Z,NU-USD
1607720400,0.2136,0.228,0.2237,0.2176,5420505.689495,2020-12-11T21:00:00Z,NU-USD
1607724000,0.2075,0.2181,0.218,0.2092,7531201.976783,2020-12-11T22:00:00Z,NU-USD
1607727600,0.207,0.2168,0.2097,0.2109,7175731.892461,2020-12-11T23:00:00Z,NU-USD
1607731200,0.2082,0.232,0.2105,0.2232,15596298.178679,2020-12-12T00:00:00Z,NU-USD
1607734800,0.2235,0.2488,0.2235,0.238,25607727.536894,2020-12-12T01:00:00Z,NU-USD
1607738400,0.2274,0.2455,0.2381,0.2304,13838958.251795,2020-12-12T02:00:00Z,NU-USD
1607742000,0.2304,0.2493,0.2304,0.246,14080035.66287,2020-12-12T03:00:00Z,NU-USD
1607745600,0.2417,0.2685,0.246,0.2679,15389507.3559,2020-12-12T04:00:00Z,NU-USD
1607749200,0.2478,0.2695,0.268,0.2602,20811252.049879,2020-12-12T05:00:00Z,NU-USD
1607752800,0.243,0.2679,0.2606,0.25,15254868.786115,2020-12-12T06:00:00Z,NU-USD
1607756400,0.2368,0.2547,0.25,0.2395,7857836.873928,2020-12-12T07:00:00Z,NU-USD
1607760000,0.2395,0.2588,0.2399,0.256,4861383.813047,2020-12-12T08:00:00Z,NU-USD
1607763600,0.2335,0.2561,0.2561,0.2354,4623408.276473,2020-12-12T09:00:00Z,NU-USD
1607767200,0.2354,0.2489,0.2354,0.2442,2355959.891681,2020-12-12T10:00:00Z,NU-USD
1607770800,0.2352,0.2524,0.244,0.2381,2694121.726768,2020-12-12T11:00:00Z,NU-USD
1607774400,0.2351,0.2547,0.2379,0.2515,3839540.899877,2020-12-12T12:00:00Z,NU-USD
1607778000,0.2437,0.2539,0.2515,0.2457,4247578.579737,2020-12-12T13:00:00Z,NU-USD
1607781600,0.2411,0.2489,0.2462,0.2458,3026286.462139,2020-12-12T14:00:00Z,NU-USD
1607785200,0.2373,0.2523,0.2458,0.2511,5216249.998098,2020-12-12T15:00:00Z,NU-USD
1607788800,0.2445,0.2513,0.2511,0.2479,4615430.760651,2020-12-12T16:00:00Z,NU-USD
1607792400,0.2438,0.2525,0.2479,0.245,4265145.46958,2020-12-12T17:00:00Z,NU-USD
1607796000,0.2446,0.2535,0.2446,0.2507,3155519.648924,2020-12-12T18:00:00Z,NU-USD
1607799600,0.246,0.2511,0.2507,0.2496,2913584.865104,2020-12-12T19:00:00Z,NU-USD
1607803200,0.246,0.2503,0.2496,0.2465,1923603.376236,2020-12-12T20:00:00Z,NU-USD
1607806800,0.241,0.2475,0.2466,0.242,3974006.364217,2020-12-12T21:00:00Z,NU-USD
1607810400,0.2377,0.2451,0.2429,0.2408,3234368.0328,2020-12-12T22:00:00Z,NU-USD
1607814000,0.2376,0.2434,0.2411,0.2401,2097282.234528,2020-12-12T23:00:00Z,NU-USD
1607817600,0.2244,0.2408,0.2408,0.228,11282052.126657,2020-12-13T00:00:00Z,NU-USD
1607821200,0.2155,0.2284,0.2282,0.2223,9874599.459718,2020-12-13T01:00:00Z,NU-USD
1607824800,0.2163,0.2326,0.2223,0.2302,5350666.830302,2020-12-13T02:00:00Z,NU-USD
1607828400,0.2253,0.236,0.2298,0.2266,7465436.792887,2020-12-13T03:00:00Z,NU-USD
1607832000,0.2152,0.227,0.2266,0.2195,4934143.178361,2020-12-13T04:00:00Z,NU-USD
1607835600,0.219,0.232,0.2195,0.2292,3592591.291182,2020-12-13T05:00:00Z,NU-USD
1607839200,0.2208,0.2294,0.2292,0.2239,2476187.118997,2020-12-13T06:00:00Z,NU-USD
1607842800,0.2124,0.2238,0.2235,0.2152,4941812.597818,2020-12-13T07:00:00Z,NU-USD
1607846400,0.2145,0.2285,0.21560000000000001,0.2214,4083481.788102,2020-12-13T08:00:00Z,NU-USD
1607850000,0.2146,0.223,0.2215,0.2166,2765363.378826,2020-12-13T09:00:00Z,NU-USD
1607853600,0.2165,0.2244,0.2165,0.2198,1216037.164367,2020-12-13T10:00:00Z,NU-USD
1607857200,0.218,0.222,0.2198,0.2205,1126804.299167,2020-12-13T11:00:00Z,NU-USD
1607860800,0.2133,0.2213,0.2205,0.2143,2344418.080679,2020-12-13T12:00:00Z,NU-USD
1607864400,0.211,0.219,0.2143,0.2155,3845897.870241,2020-12-13T13:00:00Z,NU-USD
