unix,low,high,open,close,volume,date,pair
1590364800,1.53,1.601,1.5398,1.5664,722237.2,2020-05-25T00:00:00Z,OMG-USD
1590368400,1.53,1.5761,1.5664,1.5561,256945.3,2020-05-25T01:00:00Z,OMG-USD
1590372000,1.5215,1.559,1.5572,1.5405,196602.8,2020-05-25T02:00:00Z,OMG-USD
1590375600,1.5309,1.59,1.5405,1.5801,251458.8,2020-05-25T03:00:00Z,OMG-USD
1590379200,1.558,1.65,1.58,1.6439,514221.1,2020-05-25T04:00:00Z,OMG-USD
1590382800,1.6032,1.797,1.6477,1.7787,1208063.3,2020-05-25T05:00:00Z,OMG-USD
1590386400,1.6888,1.858,1.7787,1.7137,1927487.5,2020-05-25T06:00:00Z,OMG-USD
1590390000,1.6601,1.7179,1.7154,1.692,410974.4,2020-05-25T07:00:00Z,OMG-USD
1590393600,1.671,1.7312,1.6913,1.6869,203858.1,2020-05-25T08:00:00Z,OMG-USD
1590397200,1.6237,1.6898,1.688,1.6249,212043.2,2020-05-25T09:00:00Z,OMG-USD
1590400800,1.6065,1.6628,1.6249,1.6174,186858.7,2020-05-25T10:00:00Z,OMG-USD
1590404400,1.6096,1.6481,1.6174,1.6351,84055.5,2020-05-25T11:00:00Z,OMG-USD
1590408000,1.637,1.7413,1.6375,1.69,330754.9,2020-05-25T12:00:00Z,OMG-USD
1590411600,1.6305,1.69,1.69,1.6847,234944.8,2020-05-25T13:00:00Z,OMG-USD
1590415200,1.6801,1.77,1.685,1.7177,859821.4,2020-05-25T14:00:00Z,OMG-USD
1590418800,1.7,1.75,1.7177,1.7107,596934.1,2020-05-25T15:00:00Z,OMG-USD
1590422400,1.6801,1.7189,1.7163,1.6842,230867.5,2020-05-25T16:00:00Z,OMG-USD
1590426000,1.6827,1.7151,1.6882,1.7005,246538.5,2020-05-25T17:00:00Z,OMG-USD
1590429600,1.696,1.76,1.6992,1.7468,585396.1,2020-05-25T18:00:00Z,OMG-USD
1590433200,1.72,1.79,1.7475,1.7438,891412,2020-05-25T19:00:00Z,OMG-USD
1590436800,1.7243,1.764,1.7477,1.7497,344808.8,2020-05-25T20:00:00Z,OMG-USD
1590440400,1.72,1.7603,1.7461,1.7404,172669.9,2020-05-25T21:00:00Z,OMG-USD
1590444000,1.7215,1.7521,1.7404,1.7216,185491.1,2020-05-25T22:00:00Z,OMG-USD
1590447600,1.7215,1.748,1.7215,1.7252,210915.5,2020-05-25T23:00:00Z,OMG-USD
1590451200,1.7215,1.7331,1.7252,1.7283,185872.2,2020-05-26T00:00:00Z,OMG-USD
1590454800,1.7233,1.748,1.7293,1.748,216718.7,2020-05-26T01:00:00Z,OMG-USD
1590458400,1.7249,1.78,1.748,1.7307,535529.1,2020-05-26T02:00:00Z,OMG-USD
1590462000,1.726,1.7444,1.7322,1.7296,145114.4,2020-05-26T03:00:00Z,OMG-USD
1590465600,1.7262,1.768,1.7286,1.7545,173733.4,2020-05-26T04:00:00Z,OMG-USD
1590469200,1.726,1.7578,1.7545,1.7382,318316.4,2020-05-26T05:00:00Z,OMG-USD
1590472800,1.6887,1.7404,1.7351,1.6887,238008.8,2020-05-26T06:00:00Z,OMG-USD
1590476400,1.6637,1.6994,1.6896,1.695,272847.1,2020-05-26T07:00:00Z,OMG-USD
1590480000,1.6756,1.709,1.6951,1.6757,128166.9,2020-05-26T08:00:00Z,OMG-USD
1590483600,1.6697,1.694,1.6757,1.68,82545.8,2020-05-26T09:00:00Z,OMG-USD
1590487200,1.6661,1.6871,1.68,1.6705,68720.3,2020-05-26T10:00:00Z,OMG-USD
1590490800,1.65,1.6795,1.6735,1.6681,160029.7,2020-05-26T11:00:00Z,OMG-USD
1590494400,1.64,1.6797,1.6692,1.6465,154311.7,2020-05-26T12:00:00Z,OMG-USD
1590498000,1.618,1.6554,1.6466,1.6235,474620.6,2020-05-26T13:00:00Z,OMG-USD
1590501600,1.6131,1.6782,1.6234,1.6419,209106.1,2020-05-26T14:00:00Z,OMG-USD
1590505200,1.6133,1.6509,1.6416,1.6182,183237.2,2020-05-26T15:00:00Z,OMG-USD
1590508800,1.617,1.6397,1.6185,1.622,174674.8,2020-05-26T16:00:00Z,OMG-USD
1590512400,1.61,1.636,1.6238,1.6144,214408.6,2020-05-26T17:00:00Z,OMG-USD
1590516000,1.6136,1.6599,1.6156,1.6369,217799.4,2020-05-26T18:00:00Z,OMG-USD
1590519600,1.6331,1.6689,1.6387,1.6653,331760.5,2020-05-26T19:00:00Z,OMG-USD
1590523200,1.6414,1.671,1.6667,1.658,194513,2020-05-26T20:00:00Z,OMG-USD
1590526800,1.6359,1.66,1.658,1.6434,88503.3,2020-05-26T21:00:00Z,OMG-USD
1590530400,1.6285,1.6478,1.6434,1.6285,119954.7,2020-05-26T22:00:00Z,OMG-USD
1590534000,1.6208,1.6599,1.6296,1.6535,148679.7,2020-05-26T23:00:00Z,OMG-USD
1590537600,1.631,1.6592,1.6545,1.643,143255.2,2020-05-27T00:00:00Z,OMG-USD
1590541200,1.633,1.6465,1.6435,1.6332,59337.6,2020-05-27T01:00:00Z,OMG-USD
1590544800,1.62,1.6388,1.6348,1.6256,142745.8,2020-05-27T02:00:00Z,OMG-USD
1590548400,1.618,1.639,1.6255,1.6334,99667.5,2020-05-27T03:00:00Z,OMG-USD
1590552000,1.63,1.645,1.6349,1.6387,147720.9,2020-05-27T04:00:00Z,OMG-USD
1590555600,1.627,1.6449,1.6409,1.6298,53627.6,2020-05-27T05:00:00Z,OMG-USD
1590559200,1.6225,1.647,1.6298,1.6343,111798.8,2020-05-27T06:00:00Z,OMG-USD
1590562800,1.6192,1.6425,1.635,1.6263,74175.1,2020-05-27T07:00:00Z,OMG-USD
1590566400,1.6222,1.6501,1.6266,1.65,58858.9,2020-05-27T08:00:00Z,OMG-USD
1590570000,1.6361,1.6564,1.6491,1.6523,77276.5,2020-05-27T09:00:00Z,OMG-USD
1590573600,1.6435,1.6799,1.6526,1.6451,120741.2,2020-05-27T10:00:00Z,OMG-USD
1590577200,1.6429,1.6789,1.6431,1.672,147122.3,2020-05-27T11:00:00Z,OMG-USD
1590580800,1.6477,1.6722,1.6706,1.6572,142562.8,2020-05-27T12:00:00Z,OMG-USD
1590584400,1.646,1.663,1.6566,1.6592,96876.1,2020-05-27T13:00:00Z,OMG-USD
1590588000,1.6576,1.6745,1.6608,1.67,139274.1,2020-05-27T14:00:00Z,OMG-USD
1590591600,1.6677,1.72,1.67,1.69,489616,2020-05-27T15:00:00Z,OMG-USD
1590595200,1.6576,1.7061,1.69,1.6678,203984.6,2020-05-27T16:00:00Z,OMG-USD
1590598800,1.6529,1.6702,1.6678,1.6567,199975.9,2020-05-27T17:00:00Z,OMG-USD
1590602400,1.648,1.6607,1.6595,1.6513,66654.2,2020-05-27T18:00:00Z,OMG-USD
1590606000,1.6426,1.655,1.6513,1.643,80364.5,2020-05-27T19:00:00Z,OMG-USD
1590609600,1.6417,1.675,1.644,1.6739,200044,2020-05-27T20:00:00Z,OMG-USD
1590613200,1.63,1.6739,1.6739,1.6307,210023.6,2020-05-27T21:00:00Z,OMG-USD
1590616800,1.63,1.6499,1.6302,1.6327,84557,2020-05-27T22:00:00Z,OMG-USD
1590620400,1.632,1.6498,1.6347,1.6419,35918.8,2020-05-27T23:00:00Z,OMG-USD
1590624000,1.635,1.6459,1.6459,1.6429,38420.2,2020-05-28T00:00:00Z,OMG-USD
1590627600,1.6393,1.668,1.6464,1.6502,118209.7,2020-05-28T01:00:00Z,OMG-USD
1590631200,1.639,1.6523,1.6502,1.6514,58451.1,2020-05-28T02:00:00Z,OMG-USD
1590634800,1.6288,1.6523,1.6494,1.6306,100862,2020-05-28T03:00:00Z,OMG-USD
1590638400,1.6079,1.6472,1.63,1.6244,327001.7,2020-05-28T04:00:00Z,OMG-USD
1590642000,1.6151,1.6396,1.6221,1.6173,99564.1,2020-05-28T05:00:00Z,OMG-USD
1590645600,1.6051,1.632,1.6164,1.6178,56091,2020-05-28T06:00:00Z,OMG-USD
1590649200,1.6103,1.6246,1.6152,1.6127,48948.4,2020-05-28T07:00:00Z,OMG-USD
1590652800,1.5756,1.6173,1.6127,1.59,164892.3,2020-05-28T08:00:00Z,OMG-USD
1590656400,1.5866,1.6186,1.5899,1.6087,76502.4,2020-05-28T09:00:00Z,OMG-USD
1590660000,1.5917,1.6168,1.6088,1.5955,31359.8,2020-05-28T10:00:00Z,OMG-USD
1590663600,1.5937,1.6181,1.5954,1.6092,50208.9,2020-05-28T11:00:00Z,OMG-USD
1590667200,1.6031,1.6387,1.6095,1.6371,123548.6,2020-05-28T12:00:00Z,OMG-USD
1590670800,1.6182,1.65,1.6387,1.6486,178819.5,2020-05-28T13:00:00Z,OMG-USD
1590674400,1.6158,1.6488,1.6487,1.6221,191943.1,2020-05-28T14:00:00Z,OMG-USD
1590678000,1.6216,1.6454,1.6216,1.6353,140422.5,2020-05-28T15:00:00Z,OMG-USD
1590681600,1.6313,1.647,1.6353,1.6439,125820.3,2020-05-28T16:00:00Z,OMG-USD
1590685200,1.6384,1.647,1.6445,1.6448,79076.7,2020-05-28T17:00:00Z,OMG-USD
1590688800,1.6335,1.645,1.6443,1.6403,44152.3,2020-05-28T18:00:00Z,OMG-USD
1590692400,1.6317,1.643,1.6407,1.6323,69040.4,2020-05-28T19:00:00Z,OMG-USD
1590696000,1.6116,1.64,1.6329,1.6344,207583.6,2020-05-28T20:00:00Z,OMG-USD
1590699600,1.6152,1.64,1.633,1.6275,137946,2020-05-28T21:00:00Z,OMG-USD
1590703200,1.602,1.6298,1.6275,1.6053,123546.4,2020-05-28T22:00:00Z,OMG-USD
1590706800,1.603,1.6138,1.6058,1.6059,152239.7,2020-05-28T23:00:00Z,OMG-USD
1590710400,1.6048,1.6242,1.6076,1.6228,149584.1,2020-05-29T00:00:00Z,OMG-USD
1590714000,1.6,1.6274,1.6229,1.6131,132569.9,2020-05-29T01:00:00Z,OMG-USD
1590717600,1.595,1.615,1.6111,1.601,101280.6,2020-05-29T02:00:00Z,OMG-USD
1590721200,1.5951,1.6054,1.601,1.6018,147550.2,2020-05-29T03:00:00Z,OMG-USD
1590724800,1.5947,1.6086,1.6013,1.5954,71482.4,2020-05-29T04:00:00Z,OMG-USD
1590728400,1.585,1.6249,1.5965,1.6232,169041.8,2020-05-29T05:00:00Z,OMG-USD
1590732000,1.6073,1.6389,1.6247,1.6142,127584.6,2020-05-29T06:00:00Z,OMG-USD
1590735600,1.6139,1.64,1.6158,1.6256,70088.7,2020-05-29T07:00:00Z,OMG-USD
1590739200,1.6177,1.6379,1.6274,1.6203,29282.9,2020-05-29T08:00:00Z,OMG-USD
1590742800,1.6076,1.6262,1.6167,1.6203,32043.2,2020-05-29T09:00:00Z,OMG-USD
1590746400,1.6,1.6212,1.62,1.6,39056.2,2020-05-29T10:00:00Z,OMG-USD
1590750000,1.6,1.6124,1.6,1.6124,41227.7,2020-05-29T11:00:00Z,OMG-USD
1590753600,1.6074,1.64,1.6124,1.6388,83382.4,2020-05-29T12:00:00Z,OMG-USD
1590757200,1.6194,1.66,1.6363,1.6369,331195.9,2020-05-29T13:00:00Z,OMG-USD
1590760800,1.605,1.637,1.6369,1.6099,153568.8,2020-05-29T14:00:00Z,OMG-USD
1590764400,1.6044,1.6251,1.6072,1.6048,115524.8,2020-05-29T15:00:00Z,OMG-USD
1590768000,1.6,1.62,1.6068,1.6108,75224.4,2020-05-29T16:00:00Z,OMG-USD
1590771600,1.603,1.635,1.6111,1.6176,126873.1,2020-05-29T17:00:00Z,OMG-USD
1590775200,1.6032,1.6186,1.6149,1.6129,44745.5,2020-05-29T18:00:00Z,OMG-USD
1590778800,1.603,1.6173,1.6153,1.6075,64668.7,2020-05-29T19:00:00Z,OMG-USD
1590782400,1.6025,1.6118,1.6075,1.6053,75036.5,2020-05-29T20:00:00Z,OMG-USD
1590786000,1.5932,1.6082,1.6057,1.5949,95323.1,2020-05-29T21:00:00Z,OMG-USD
1590789600,1.58,1.6219,1.5949,1.6215,174687.9,2020-05-29T22:00:00Z,OMG-USD
1590793200,1.6013,1.6309,1.6216,1.6022,140945.1,2020-05-29T23:00:00Z,OMG-USD
1590796800,1.5891,1.6092,1.6038,1.5939,90680.9,2020-05-30T00:00:00Z,OMG-USD
1590800400,1.588,1.6033,1.5925,1.594,66032.1,2020-05-30T01:00:00Z,OMG-USD
1590804000,1.58,1.5987,1.595,1.5881,69807.8,2020-05-30T02:00:00Z,OMG-USD
1590807600,1.5681,1.5881,1.5881,1.5681,127703.2,2020-05-30T03:00:00Z,OMG-USD
1590811200,1.568,1.5943,1.5699,1.5879,166437.9,2020-05-30T04:00:00Z,OMG-USD
1590814800,1.5641,1.5949,1.5891,1.5654,183702.8,2020-05-30T05:00:00Z,OMG-USD
1590818400,1.55,1.5879,1.5657,1.5714,177867.1,2020-05-30T06:00:00Z,OMG-USD
1590822000,1.5656,1.5796,1.5729,1.5684,59359,2020-05-30T07:00:00Z,OMG-USD
1590825600,1.5569,1.5684,1.5684,1.5578,94164.7,2020-05-30T08:00:00Z,OMG-USD
1590829200,1.5501,1.5623,1.5579,1.561,69578.6,2020-05-30T09:00:00Z,OMG-USD
1590832800,1.5593,1.5774,1.5593,1.5672,40303,2020-05-30T10:00:00Z,OMG-USD
1590836400,1.53,1.5723,1.5659,1.55,230291.3,2020-05-30T11:00:00Z,OMG-USD
1590840000,1.5309,1.551,1.5485,1.5499,133051,2020-05-30T12:00:00Z,OMG-USD
1590843600,1.543,1.5845,1.5473,1.5653,224770.1,2020-05-30T13:00:00Z,OMG-USD
1590847200,1.5498,1.5753,1.5649,1.5708,151126.1,2020-05-30T14:00:00Z,OMG-USD
1590850800,1.544,1.574,1.5708,1.562,126631.8,2020-05-30T15:00:00Z,OMG-USD
1590854400,1.5401,1.5634,1.5616,1.5456,199878.6,2020-05-30T16:00:00Z,OMG-USD
1590858000,1.54,1.5696,1.5449,1.5526,207103.1,2020-05-30T17:00:00Z,OMG-USD
1590861600,1.5444,1.5583,1.5519,1.5545,75378.2,2020-05-30T18:00:00Z,OMG-USD
1590865200,1.5416,1.5572,1.5545,1.5454,53416.6,2020-05-30T19:00:00Z,OMG-USD
1590868800,1.5401,1.5538,1.5453,1.5519,123635.3,2020-05-30T20:00:00Z,OMG-USD
1590872400,1.5471,1.5567,1.5516,1.5536,80587.3,2020-05-30T21:00:00Z,OMG-USD
1590876000,1.536,1.568,1.5536,1.5596,322351.3,2020-05-30T22:00:00Z,OMG-USD
1590879600,1.554,1.5849,1.5638,1.5796,305738.7,2020-05-30T23:00:00Z,OMG-USD
1590883200,1.5628,1.581,1.5798,1.5725,64225.3,2020-05-31T00:00:00Z,OMG-USD
1590886800,1.5652,1.5799,1.5708,1.5662,102340.2,2020-05-31T01:00:00Z,OMG-USD
1590890400,1.5605,1.5821,1.5661,1.5694,201509.4,2020-05-31T02:00:00Z,OMG-USD
1590894000,1.5627,1.5748,1.5693,1.5658,40948.2,2020-05-31T03:00:00Z,OMG-USD
1590897600,1.55,1.5676,1.563,1.5501,127492.2,2020-05-31T04:00:00Z,OMG-USD
1590901200,1.5475,1.565,1.5502,1.5475,47528.2,2020-05-31T05:00:00Z,OMG-USD
1590904800,1.5452,1.5522,1.548,1.547,8628.7,2020-05-31T06:00:00Z,OMG-USD
1590908400,1.5401,1.5511,1.545,1.5405,27290.5,2020-05-31T07:00:00Z,OMG-USD
1590912000,1.5325,1.5405,1.5405,1.538,113060.5,2020-05-31T08:00:00Z,OMG-USD
1590915600,1.4904,1.538,1.538,1.5051,283647.9,2020-05-31T09:00:00Z,OMG-USD
1590919200,1.468,1.5041,1.5036,1.4869,182998.4,2020-05-31T10:00:00Z,OMG-USD
1590922800,1.4801,1.5104,1.4879,1.5018,203116.4,2020-05-31T11:00:00Z,OMG-USD
1590926400,1.4721,1.5189,1.5017,1.4856,288198.5,2020-05-31T12:00:00Z,OMG-USD
1590930000,1.469,1.4922,1.4862,1.4767,177009.6,2020-05-31T13:00:00Z,OMG-USD
1590933600,1.468,1.4806,1.4766,1.471,123005.5,2020-05-31T14:00:00Z,OMG-USD
1590937200,1.468,1.4808,1.4711,1.4698,122113.5,2020-05-31T15:00:00Z,OMG-USD
1590940800,1.468,1.4979,1.4698,1.4869,172389.7,2020-05-31T16:00:00Z,OMG-USD
1590944400,1.4774,1.4936,1.4883,1.4858,56966,2020-05-31T17:00:00Z,OMG-USD
1590948000,1.475,1.4884,1.4883,1.475,47058.6,2020-05-31T18:00:00Z,OMG-USD
1590951600,1.4727,1.4834,1.475,1.4781,39999.2,2020-05-31T19:00:00Z,OMG-USD
1590955200,1.4751,1.487,1.4758,1.4869,42932.3,2020-05-31T20:00:00Z,OMG-USD
1590958800,1.468,1.5235,1.487,1.4966,352389.7,2020-05-31T21:00:00Z,OMG-USD
1590962400,1.499,1.5311,1.5022,1.5146,267063.5,2020-05-31T22:00:00Z,OMG-USD
1590966000,1.4976,1.5199,1.5135,1.5064,75099.1,2020-05-31T23:00:00Z,OMG-USD
1590969600,1.4836,1.51,1.51,1.4875,96301.2,2020-06-01T00:00:00Z,OMG-USD
1590973200,1.486,1.5094,1.4881,1.5003,132450.7,2020-06-01T01:00:00Z,OMG-USD
1590976800,1.4931,1.506,1.5006,1.4968,47385.5,2020-06-01T02:00:00Z,OMG-USD
1590980400,1.4903,1.53,1.4966,1.5193,113016.8,2020-06-01T03:00:00Z,OMG-USD
1590984000,1.5063,1.5392,1.5206,1.5166,135105.8,2020-06-01T04:00:00Z,OMG-USD
1590987600,1.5039,1.5308,1.5167,1.5255,87030.1,2020-06-01T05:00:00Z,OMG-USD
1590991200,1.5225,1.5697,1.5256,1.5609,329511.3,2020-06-01T06:00:00Z,OMG-USD
1590994800,1.5645,1.6574,1.5645,1.6378,938064.5,2020-06-01T07:00:00Z,OMG-USD
1590998400,1.63,1.7496,1.6365,1.6804,862352.7,2020-06-01T08:00:00Z,OMG-USD
1591002000,1.6433,1.7036,1.6793,1.6743,487837.4,2020-06-01T09:00:00Z,OMG-USD
1591005600,1.617,1.6837,1.6737,1.6287,437552,2020-06-01T10:00:00Z,OMG-USD
1591009200,1.6179,1.654,1.626,1.65,183295.7,2020-06-01T11:00:00Z,OMG-USD
1591012800,1.6236,1.674,1.6488,1.6727,291376,2020-06-01T12:00:00Z,OMG-USD
1591016400,1.67,1.7299,1.6712,1.6996,861861.8,2020-06-01T13:00:00Z,OMG-USD
1591020000,1.67,1.76,1.6999,1.73,640113.8,2020-06-01T14:00:00Z,OMG-USD
1591023600,1.7033,1.7455,1.7388,1.7323,504204,2020-06-01T15:00:00Z,OMG-USD
1591027200,1.725,1.7872,1.7287,1.7481,686006.4,2020-06-01T16:00:00Z,OMG-USD
1591030800,1.7409,1.7638,1.7449,1.747,286327.8,2020-06-01T17:00:00Z,OMG-USD
