unix,low,high,open,close,volume,date,pair
1576800000,0.6445,0.6898,0.658,0.6599,679821,2019-12-20T00:00:00Z,OXT-USD
1576803600,0.6127,0.67,0.6598,0.6388,504855,2019-12-20T01:00:00Z,OXT-USD
1576807200,0.62,0.66,0.6354,0.655,669969,2019-12-20T02:00:00Z,OXT-USD
1576810800,0.626,0.6784,0.655,0.6442,609407,2019-12-20T03:00:00Z,OXT-USD
1576814400,0.636,0.67,0.6441,0.6548,442697,2019-12-20T04:00:00Z,OXT-USD
1576818000,0.6482,0.7077,0.6548,0.6984,718258,2019-12-20T05:00:00Z,OXT-USD
1576821600,0.6837,0.7177,0.697,0.7049,841579,2019-12-20T06:00:00Z,OXT-USD
1576825200,0.693,0.7355,0.7022,0.728,462905,2019-12-20T07:00:00Z,OXT-USD
1576828800,0.7042,0.7396,0.7274,0.7236,596537,2019-12-20T08:00:00Z,OXT-USD
1576832400,0.7225,0.7499,0.7258,0.7448,538251,2019-12-20T09:00:00Z,OXT-USD
1576836000,0.6844,0.75,0.7474,0.6964,576018,2019-12-20T10:00:00Z,OXT-USD
1576839600,0.6905,0.7355,0.6938,0.7242,494669,2019-12-20T11:00:00Z,OXT-USD
1576843200,0.7137,0.7499,0.7215,0.7332,371219,2019-12-20T12:00:00Z,OXT-USD
1576846800,0.7023,0.75,0.7315,0.7072,487085,2019-12-20T13:00:00Z,OXT-USD
1576850400,0.7,0.727,0.7072,0.7171,745346,2019-12-20T14:00:00Z,OXT-USD
1576854000,0.65,0.73,0.7171,0.6834,1112700,2019-12-20T15:00:00Z,OXT-USD
1576857600,0.67,0.7042,0.6806,0.6849,375968,2019-12-20T16:00:00Z,OXT-USD
1576861200,0.6516,0.6892,0.6848,0.6755,737075,2019-12-20T17:00:00Z,OXT-USD
1576864800,0.652,0.6798,0.678,0.6699,466764,2019-12-20T18:00:00Z,OXT-USD
1576868400,0.6276,0.6842,0.6662,0.6373,794477,2019-12-20T19:00:00Z,OXT-USD
1576872000,0.6263,0.665,0.6377,0.633,579113,2019-12-20T20:00:00Z,OXT-USD
1576875600,0.63,0.657,0.6336,0.6403,559394,2019-12-20T21:00:00Z,OXT-USD
1576879200,0.6314,0.663,0.64,0.6378,585227,2019-12-20T22:00:00Z,OXT-USD
1576882800,0.5633,0.6422,0.6348,0.596,2164571,2019-12-20T23:00:00Z,OXT-USD
1576886400,0.58,0.623,0.5993,0.5913,768586,2019-12-21T00:00:00Z,OXT-USD
1576890000,0.58,0.5959,0.5938,0.5868,187342,2019-12-21T01:00:00Z,OXT-USD
1576893600,0.5408,0.5879,0.585,0.5609,668981,2019-12-21T02:00:00Z,OXT-USD
1576897200,0.5301,0.5599,0.5568,0.5361,666895,2019-12-21T03:00:00Z,OXT-USD
1576900800,0.5141,0.5743,0.5339,0.5667,788570,2019-12-21T04:00:00Z,OXT-USD
1576904400,0.5548,0.6505,0.5666,0.6133,1601510,2019-12-21T05:00:00Z,OXT-USD
1576908000,0.6127,0.659,0.6194,0.6271,1157625,2019-12-21T06:00:00Z,OXT-USD
1576911600,0.5969,0.645,0.6271,0.6021,377379,2019-12-21T07:00:00Z,OXT-USD
1576915200,0.6,0.6434,0.6019,0.6434,271562,2019-12-21T08:00:00Z,OXT-USD
1576918800,0.6088,0.6434,0.6414,0.6088,114007,2019-12-21T09:00:00Z,OXT-USD
1576922400,0.5551,0.6096,0.6088,0.5817,536609,2019-12-21T10:00:00Z,OXT-USD
1576926000,0.5583,0.6059,0.5818,0.5721,253304,2019-12-21T11:00:00Z,OXT-USD
1576929600,0.565,0.5977,0.5705,0.594,180750,2019-12-21T12:00:00Z,OXT-USD
1576933200,0.593,0.64,0.593,0.6061,611755,2019-12-21T13:00:00Z,OXT-USD
