unix,low,high,open,close,volume,date,pair
1602000000,0.255,0.3413,0.3191,0.2657,3327992.228004,2020-10-06T16:00:00Z,REN-USD
1602003600,0.2471,0.2681,0.2657,0.2514,1795208.974498,2020-10-06T17:00:00Z,REN-USD
1602007200,0.24,0.2646,0.2515,0.2425,899119.550478,2020-10-06T18:00:00Z,REN-USD
1602010800,0.2349,0.2522,0.243,0.2349,899978.33863,2020-10-06T19:00:00Z,REN-USD
1602014400,0.2326,0.2426,0.2347,0.2399,656656.917774,2020-10-06T20:00:00Z,REN-USD
1602018000,0.2255,0.2404,0.2399,0.2391,528842.905937,2020-10-06T21:00:00Z,REN-USD
1602021600,0.2291,0.2391,0.2391,0.2322,537089.301818,2020-10-06T22:00:00Z,REN-USD
1602025200,0.2322,0.2387,0.2322,0.2345,377987.904034,2020-10-06T23:00:00Z,REN-USD
1602028800,0.216,0.2348,0.2345,0.224,860235.130485,2020-10-07T00:00:00Z,REN-USD
1602032400,0.208,0.2263,0.224,0.2196,1138338.341339,2020-10-07T01:00:00Z,REN-USD
1602036000,0.2175,0.2297,0.2182,0.225,530467.486334,2020-10-07T02:00:00Z,REN-USD
1602039600,0.217,0.2264,0.224,0.2198,346897.694385,2020-10-07T03:00:00Z,REN-USD
1602043200,0.2186,0.2239,0.2237,0.2239,96205.011865,2020-10-07T04:00:00Z,REN-USD
1602046800,0.2207,0.2288,0.2232,0.2251,212740.276081,2020-10-07T05:00:00Z,REN-USD
1602050400,0.2227,0.2289,0.2251,0.2288,250918.305405,2020-10-07T06:00:00Z,REN-USD
1602054000,0.2234,0.2315,0.2288,0.2257,53509.067208,2020-10-07T07:00:00Z,REN-USD
1602057600,0.222,0.226,0.2239,0.2246,92914.657191,2020-10-07T08:00:00Z,REN-USD
1602061200,0.2194,0.2258,0.2247,0.2207,110749.651509,2020-10-07T09:00:00Z,REN-USD
1602064800,0.2148,0.2201,0.2201,0.2153,216608.668234,2020-10-07T10:00:00Z,REN-USD
1602068400,0.2153,0.22,0.2173,0.22,190257.215811,2020-10-07T11:00:00Z,REN-USD
1602072000,0.2197,0.2278,0.2198,0.221,148280.421407,2020-10-07T12:00:00Z,REN-USD
1602075600,0.2208,0.2263,0.2208,0.224,88925.19199,2020-10-07T13:00:00Z,REN-USD
1602079200,0.2218,0.225,0.224,0.2224,88153.985806,2020-10-07T14:00:00Z,REN-USD
1602082800,0.2219,0.2273,0.222,0.2239,105415.107483,2020-10-07T15:00:00Z,REN-USD
1602086400,0.215,0.2237,0.2237,0.2161,198389.192947,2020-10-07T16:00:00Z,REN-USD
1602090000,0.2086,0.2651,0.2161,0.237,2381748.123565,2020-10-07T17:00:00Z,REN-USD
1602093600,0.228,0.2457,0.2397,0.237,3206681.274846,2020-10-07T18:00:00Z,REN-USD
1602097200,0.232,0.2597,0.2369,0.2515,3815483.814582,2020-10-07T19:00:00Z,REN-USD
1602100800,0.2477,0.2663,0.2509,0.2638,4111768.127526,2020-10-07T20:00:00Z,REN-USD
1602104400,0.2519,0.2988,0.2638,0.2759,10738122.212958,2020-10-07T21:00:00Z,REN-USD
1602108000,0.2618,0.2845,0.2759,0.2656,3548017.496258,2020-10-07T22:00:00Z,REN-USD
1602111600,0.2528,0.2727,0.2656,0.2624,2175403.592916,2020-10-07T23:00:00Z,REN-USD
1602115200,0.2525,0.266,0.2624,0.2559,1305885.831665,2020-10-08T00:00:00Z,REN-USD
1602118800,0.2513,0.259,0.2559,0.2558,928855.781988,2020-10-08T01:00:00Z,REN-USD
1602122400,0.2544,0.2698,0.2572,0.2609,1321919.34954,2020-10-08T02:00:00Z,REN-USD
1602126000,0.2569,0.2716,0.2609,0.2657,1506409.381064,2020-10-08T03:00:00Z,REN-USD
1602129600,0.2594,0.269,0.2656,0.2688,991723.517647,2020-10-08T04:00:00Z,REN-USD
1602133200,0.2448,0.2688,0.2688,0.2524,1450694.896567,2020-10-08T05:00:00Z,REN-USD
1602136800,0.2459,0.2586,0.2524,0.2516,870653.424171,2020-10-08T06:00:00Z,REN-USD
1602140400,0.2387,0.2519,0.2516,0.2498,1019982.754757,2020-10-08T07:00:00Z,REN-USD
1602144000,0.2405,0.2498,0.2498,0.2408,317498.237003,2020-10-08T08:00:00Z,REN-USD
1602147600,0.2398,0.2518,0.2407,0.2499,439661.788589,2020-10-08T09:00:00Z,REN-USD
1602151200,0.2482,0.2598,0.249,0.2561,517306.667294,2020-10-08T10:00:00Z,REN-USD
1602154800,0.2507,0.2655,0.252,0.2556,970136.513539,2020-10-08T11:00:00Z,REN-USD
1602158400,0.2518,0.2594,0.2554,0.2552,670124.783897,2020-10-08T12:00:00Z,REN-USD
1602162000,0.2513,0.2609,0.255,0.2572,1421492.848198,2020-10-08T13:00:00Z,REN-USD
1602165600,0.2538,0.2633,0.257,0.2602,1024641.533889,2020-10-08T14:00:00Z,REN-USD
1602169200,0.2528,0.263,0.2603,0.2584,1314695.318643,2020-10-08T15:00:00Z,REN-USD
1602172800,0.2555,0.2808,0.2572,0.2706,2003496.631867,2020-10-08T16:00:00Z,REN-USD
1602176400,0.2699,0.2812,0.27,0.275,1878879.802938,2020-10-08T17:00:00Z,REN-USD
1602180000,0.2735,0.3,0.2762,0.292,2540161.586303,2020-10-08T18:00:00Z,REN-USD
1602183600,0.2788,0.2946,0.292,0.279,2142236.223861,2020-10-08T19:00:00Z,REN-USD
1602187200,0.275,0.2882,0.2805,0.2791,1565935.655253,2020-10-08T20:00:00Z,REN-USD
1602190800,0.2671,0.2808,0.2793,0.2689,1560929.454535,2020-10-08T21:00:00Z,REN-USD
1602194400,0.2658,0.2783,0.2693,0.2758,837519.517267,2020-10-08T22:00:00Z,REN-USD
