unix,low,high,open,close,volume,date,pair
1555891200,20.96,21.18,20.98,21.03,1052.733791,2019-04-22T00:00:00Z,REP-USD
1555894800,20.95,21.74,21.03,21.71,1169.578841,2019-04-22T01:00:00Z,REP-USD
1555898400,21.63,23.91,21.68,23.79,13250.164016,2019-04-22T02:00:00Z,REP-USD
1555902000,21.71,25,23.75,21.9,19744.427151,2019-04-22T03:00:00Z,REP-USD
1555905600,21.84,22.31,21.91,22.31,1719.218181,2019-04-22T04:00:00Z,REP-USD
1555909200,22.32,23,22.32,22.59,2293.389501,2019-04-22T05:00:00Z,REP-USD
1555912800,21.92,22.56,22.54,21.96,2588.027277,2019-04-22T06:00:00Z,REP-USD
1555916400,21.97,22.7,22.07,22.7,717.487984,2019-04-22T07:00:00Z,REP-USD
1555920000,22.2,22.84,22.7,22.58,1250.653761,2019-04-22T08:00:00Z,REP-USD
1555923600,22.38,22.67,22.48,22.62,610.433162,2019-04-22T09:00:00Z,REP-USD
1555927200,22.12,22.69,22.6,22.42,670.737653,2019-04-22T10:00:00Z,REP-USD
1555930800,22.3,22.54,22.42,22.37,1004.94436,2019-04-22T11:00:00Z,REP-USD
1555934400,22.25,22.53,22.34,22.3,1430.104759,2019-04-22T12:00:00Z,REP-USD
1555938000,22.29,22.8,22.29,22.74,2103.734761,2019-04-22T13:00:00Z,REP-USD
1555941600,22.59,23.67,22.68,23.36,3486.52845,2019-04-22T14:00:00Z,REP-USD
1555945200,22.79,23.77,23.48,22.8,5575.730801,2019-04-22T15:00:00Z,REP-USD
1555948800,22.14,23,22.8,22.97,3401.591767,2019-04-22T16:00:00Z,REP-USD
1555952400,22.68,23,22.97,22.94,3308.914093,2019-04-22T17:00:00Z,REP-USD
1555956000,22.78,23,22.94,22.93,2458.13555,2019-04-22T18:00:00Z,REP-USD
1555959600,22.24,22.92,22.79,22.53,3681.452486,2019-04-22T19:00:00Z,REP-USD
1555963200,22.1,22.55,22.52,22.24,1171.175699,2019-04-22T20:00:00Z,REP-USD
1555966800,22.1,22.92,22.19,22.33,2604.224385,2019-04-22T21:00:00Z,REP-USD
1555970400,21.26,22.91,22.4,22.91,4615.608593,2019-04-22T22:00:00Z,REP-USD
1555974000,22.56,22.92,22.89,22.87,5758.246305,2019-04-22T23:00:00Z,REP-USD
1555977600,22.35,22.92,22.92,22.64,2044.43582,2019-04-23T00:00:00Z,REP-USD
1555981200,22.41,22.73,22.63,22.52,588.237258,2019-04-23T01:00:00Z,REP-USD
1555984800,22.06,22.55,22.53,22.27,1508.926385,2019-04-23T02:00:00Z,REP-USD
1555988400,21.81,22.49,22.31,21.95,1526.299212,2019-04-23T03:00:00Z,REP-USD
1555992000,21.79,22.3,21.9,22.09,2017.60932,2019-04-23T04:00:00Z,REP-USD
1555995600,22.04,22.29,22.04,22.07,821.30568,2019-04-23T05:00:00Z,REP-USD
1555999200,22.03,22.37,22.12,22.26,2629.779989,2019-04-23T06:00:00Z,REP-USD
1556002800,22.08,22.43,22.23,22.23,1522.167251,2019-04-23T07:00:00Z,REP-USD
1556006400,22.22,22.5,22.23,22.37,458.796154,2019-04-23T08:00:00Z,REP-USD
1556010000,22.2,22.42,22.37,22.25,309.582111,2019-04-23T09:00:00Z,REP-USD
1556013600,22.08,22.35,22.25,22.23,446.459349,2019-04-23T10:00:00Z,REP-USD
1556017200,22.02,22.21,22.21,22.16,1050.518163,2019-04-23T11:00:00Z,REP-USD
1556020800,22.02,22.25,22.25,22.07,508.945316,2019-04-23T12:00:00Z,REP-USD
1556024400,21.89,22.25,22.06,22.1,2583.880015,2019-04-23T13:00:00Z,REP-USD
1556028000,22.02,22.28,22.1,22.21,801.074625,2019-04-23T14:00:00Z,REP-USD
