unix,low,high,open,close,volume,date,pair
1608508800,5.8636,6.0906,5.9457,6.0679,20643.87,2020-12-21T00:00:00Z,SNX-USD
1608512400,6.056,6.2523,6.0679,6.2297,44607.493,2020-12-21T01:00:00Z,SNX-USD
1608516000,6.1534,6.2522,6.2158,6.1792,14335.002,2020-12-21T02:00:00Z,SNX-USD
1608519600,6.1296,6.2836,6.1792,6.2041,14830.176,2020-12-21T03:00:00Z,SNX-USD
1608523200,6.1943,6.4315,6.2087,6.3642,56523.521,2020-12-21T04:00:00Z,SNX-USD
1608526800,6.2619,6.4027,6.3642,6.2619,24123.993,2020-12-21T05:00:00Z,SNX-USD
1608530400,6.171,6.286,6.2619,6.2281,22837.122,2020-12-21T06:00:00Z,SNX-USD
1608534000,6.1676,6.35,6.2286,6.35,16777.757,2020-12-21T07:00:00Z,SNX-USD
1608537600,6.0534,6.3805,6.35,6.0943,9920.567,2020-12-21T08:00:00Z,SNX-USD
1608541200,5.8627,6.1501,6.0867000000000004,5.9137,29971.597,2020-12-21T09:00:00Z,SNX-USD
1608544800,5.65,5.9624,5.9137,5.7004,64063.977,2020-12-21T10:00:00Z,SNX-USD
1608548400,5.7026,5.8169,5.7026,5.7658,33278.055,2020-12-21T11:00:00Z,SNX-USD
1608552000,5.6426,5.7972,5.7658,5.7385,10627.857,2020-12-21T12:00:00Z,SNX-USD
1608555600,5.6757,5.8476,5.7044,5.8239,18074.454,2020-12-21T13:00:00Z,SNX-USD
1608559200,5.7855,5.941,5.8239,5.9403,18901.925,2020-12-21T14:00:00Z,SNX-USD
1608562800,5.866,5.9504,5.9403,5.8935,8051.018,2020-12-21T15:00:00Z,SNX-USD
1608566400,5.8326,5.9619,5.8794,5.8951,15259,2020-12-21T16:00:00Z,SNX-USD
1608570000,5.76,5.9029,5.8853,5.7876,13037.276,2020-12-21T17:00:00Z,SNX-USD
1608573600,5.6922,5.9202,5.7776,5.9053,31890.602,2020-12-21T18:00:00Z,SNX-USD
1608577200,5.9091,6.0899,5.9117,6.0579,47038.312,2020-12-21T19:00:00Z,SNX-USD
1608580800,6.01,6.1907,6.055,6.145,33636.747,2020-12-21T20:00:00Z,SNX-USD
1608584400,6.0881,6.2566,6.1298,6.214,39818.164,2020-12-21T21:00:00Z,SNX-USD
1608588000,6.1235,6.2819,6.2029,6.2294,31833.415,2020-12-21T22:00:00Z,SNX-USD
