unix,low,high,open,close,volume,date,pair
1599580800,16.696,20,17.005,16.932,42224.613,2020-09-08T16:00:00Z,UMA-USD
1599584400,16.222,16.998,16.931,16.595,21433.639,2020-09-08T17:00:00Z,UMA-USD
1599588000,16,16.784,16.55,16.212,16434.491,2020-09-08T18:00:00Z,UMA-USD
1599591600,16,16.604,16.212,16.001,10641.793,2020-09-08T19:00:00Z,UMA-USD
1599595200,15.66,16.1,16.001,15.899,4862.608,2020-09-08T20:00:00Z,UMA-USD
1599598800,15.801,16.275,15.83,16.05,4721.368,2020-09-08T21:00:00Z,UMA-USD
1599602400,15.66,16.487,16.104,15.999,3833.239,2020-09-08T22:00:00Z,UMA-USD
1599606000,15.65,16,15.78,15.75,1703.74,2020-09-08T23:00:00Z,UMA-USD
1599609600,15.249,15.758,15.751,15.75,4132.593,2020-09-09T00:00:00Z,UMA-USD
1599613200,15.522,16.47,15.625,15.86,4332.644,2020-09-09T01:00:00Z,UMA-USD
1599616800,15.694,16.12,15.818,15.84,6475.576,2020-09-09T02:00:00Z,UMA-USD
1599620400,15.291,15.861,15.84,15.414,4896.496,2020-09-09T03:00:00Z,UMA-USD
1599624000,15.171,16.121,15.3,15.701,6528.827,2020-09-09T04:00:00Z,UMA-USD
1599627600,15.113,16.99,15.701,16.989,5533.94,2020-09-09T05:00:00Z,UMA-USD
1599631200,16.456,17.1,16.769,16.974,6962.118,2020-09-09T06:00:00Z,UMA-USD
1599634800,16.75,17.179,16.944,16.75,4701.76,2020-09-09T07:00:00Z,UMA-USD
1599638400,16.625,17.25,16.75,16.964,2855.318,2020-09-09T08:00:00Z,UMA-USD
1599642000,15.801,16.964,16.964,16.307,3818.977,2020-09-09T09:00:00Z,UMA-USD
1599645600,15.551,16.27,16,15.872,4094.548,2020-09-09T10:00:00Z,UMA-USD
1599649200,15.562,16.281,15.903,15.88,8510.034,2020-09-09T11:00:00Z,UMA-USD
1599652800,15.322,15.965,15.891,15.65,6273.923,2020-09-09T12:00:00Z,UMA-USD
1599656400,15.288,16.372,15.589,16.166,10442.142,2020-09-09T13:00:00Z,UMA-USD
1599660000,15.751,16.376,16.211,15.98,5743.806,2020-09-09T14:00:00Z,UMA-USD
1599663600,15.68,16.13,15.979,15.72,2533.617,2020-09-09T15:00:00Z,UMA-USD
1599667200,15.721,16,15.849,15.83,2136.09,2020-09-09T16:00:00Z,UMA-USD
1599670800,15.83,16.12,15.83,16.003,2330.946,2020-09-09T17:00:00Z,UMA-USD
1599674400,15.927,16.49,15.981,16.371,5525.94,2020-09-09T18:00:00Z,UMA-USD
1599678000,16.1,16.979,16.381,16.119,16548.001,2020-09-09T19:00:00Z,UMA-USD
1599681600,16,16.36,16.187,16.156,3357.544,2020-09-09T20:00:00Z,UMA-USD
1599685200,16.1,16.405,16.1,16.282,4523.782,2020-09-09T21:00:00Z,UMA-USD
1599688800,16.125,16.403,16.32,16.361,956.35,2020-09-09T22:00:00Z,UMA-USD
1599692400,16.044,16.361,16.361,16.239,2888.853,2020-09-09T23:00:00Z,UMA-USD
1599696000,15.933,16.4,16.229,16.211,6488.765,2020-09-10T00:00:00Z,UMA-USD
1599699600,16.195,16.49,16.217,16.49,4275.051,2020-09-10T01:00:00Z,UMA-USD
1599703200,16.239,16.94,16.487,16.75,3810.267,2020-09-10T02:00:00Z,UMA-USD
1599706800,16.5,16.957,16.933,16.805,6541.576,2020-09-10T03:00:00Z,UMA-USD
1599710400,16.582,16.99,16.805,16.99,3052.599,2020-09-10T04:00:00Z,UMA-USD
1599714000,16.596,16.99,16.899,16.883,2573.165,2020-09-10T05:00:00Z,UMA-USD
1599717600,16.623,16.99,16.883,16.794,1572.446,2020-09-10T06:00:00Z,UMA-USD
1599721200,16.333,16.79,16.78,16.459,2163.006,2020-09-10T07:00:00Z,UMA-USD
1599724800,16.3,16.599,16.4,16.483,845.875,2020-09-10T08:00:00Z,UMA-USD
1599728400,16.258,16.599,16.469,16.527,629.164,2020-09-10T09:00:00Z,UMA-USD
1599732000,16.52,16.879,16.527,16.677,182.309,2020-09-10T10:00:00Z,UMA-USD
1599735600,16.42,16.949,16.676,16.616,921.67,2020-09-10T11:00:00Z,UMA-USD
1599739200,16.31,17.297,16.616,16.771,4481.724,2020-09-10T12:00:00Z,UMA-USD
1599742800,16.701,17.265,16.912,17.245,4772.768,2020-09-10T13:00:00Z,UMA-USD
1599746400,16.55,17.233,17.011,16.627,4753.002,2020-09-10T14:00:00Z,UMA-USD
1599750000,16.552,17.199,16.556,17.01,5952.747,2020-09-10T15:00:00Z,UMA-USD
1599753600,16.65,17.031,17.01,16.702,9889.912,2020-09-10T16:00:00Z,UMA-USD
1599757200,16.532,17.282,16.702,16.991,24311.09,2020-09-10T17:00:00Z,UMA-USD
1599760800,16.4,17.327,16.991,17.057,80253.708,2020-09-10T18:00:00Z,UMA-USD
1599764400,16.787,17.25,17.057,16.835,46483.852,2020-09-10T19:00:00Z,UMA-USD
1599768000,16.835,17.46,16.999,17.099,43083.785,2020-09-10T20:00:00Z,UMA-USD
1599771600,16.956,17.49,17.099,17.263,34431.602,2020-09-10T21:00:00Z,UMA-USD
1599775200,16.824,17.29,17.262,17.065,21823.359,2020-09-10T22:00:00Z,UMA-USD
1599778800,16.565,17.15,16.898,16.971,22873.953,2020-09-10T23:00:00Z,UMA-USD
1599782400,16.755,17.15,16.97,17.15,12948.497,2020-09-11T00:00:00Z,UMA-USD
1599786000,16.805,17.284,17.149,17.2,21964.201,2020-09-11T01:00:00Z,UMA-USD
