unix,low,high,open,close,volume,date,pair
1600369200,3.3795,3.99,3.86,3.4959,330681.279158,2020-09-17T19:00:00Z,UNI-USD
1600372800,3.4717,3.8845,3.4903,3.7,303149.732598,2020-09-17T20:00:00Z,UNI-USD
1600376400,3.5211,3.7848,3.7,3.6103,131068.275432,2020-09-17T21:00:00Z,UNI-USD
1600380000,3.15,3.6873,3.6063,3.19,241260.146214,2020-09-17T22:00:00Z,UNI-USD
1600383600,3.1899,4.31,3.1899,4.2101,905493.931618,2020-09-17T23:00:00Z,UNI-USD
1600387200,3.5,4.55,4.26,3.5,1116620.633256,2020-09-18T00:00:00Z,UNI-USD
1600390800,3.2935,3.6361,3.5,3.4228,623232.104996,2020-09-18T01:00:00Z,UNI-USD
1600394400,3.3474,3.88,3.4216,3.87,555115.327657,2020-09-18T02:00:00Z,UNI-USD
1600398000,3.7276,4.5246,3.87,4.2497,1392163.783646,2020-09-18T03:00:00Z,UNI-USD
1600401600,4.141,5.3,4.2496,4.52,1961654.516378,2020-09-18T04:00:00Z,UNI-USD
1600405200,4.2,4.84,4.5001,4.6477,1010624.378905,2020-09-18T05:00:00Z,UNI-USD
1600408800,4.47,5.43,4.6349,5.25,1395152.442528,2020-09-18T06:00:00Z,UNI-USD
1600412400,5.0188,6.5,5.2424,5.9999,1783033.050394,2020-09-18T07:00:00Z,UNI-USD
1600416000,4.8028,6.0499,5.9999,5.1811,1100649.134622,2020-09-18T08:00:00Z,UNI-USD
1600419600,4.8688,5.79,5.1811,5.2297,569636.674444,2020-09-18T09:00:00Z,UNI-USD
1600423200,4.959,5.42,5.2297,5.2024,481656.128223,2020-09-18T10:00:00Z,UNI-USD
1600426800,4.77,5.33,5.2025,4.8341,461171.778801,2020-09-18T11:00:00Z,UNI-USD
1600430400,4.77,5.2624,4.8046,5.1686,481951.481705,2020-09-18T12:00:00Z,UNI-USD
1600434000,5.1374,5.85,5.1382,5.5153,848204.780894,2020-09-18T13:00:00Z,UNI-USD
1600437600,5.37,5.99,5.5148,5.886,939601.454696,2020-09-18T14:00:00Z,UNI-USD
1600441200,5.777,6.9,5.886,6.4507,2583797.202752,2020-09-18T15:00:00Z,UNI-USD
1600444800,6.1538,7.23,6.488,7.1389,1584878.385955,2020-09-18T16:00:00Z,UNI-USD
1600448400,6.79,8.2667,7.065,7.7,2985608.551583,2020-09-18T17:00:00Z,UNI-USD
1600452000,6.3,8.6698,7.7418,6.6136,3954514.844459,2020-09-18T18:00:00Z,UNI-USD
1600455600,6.21,7.1527,6.6136,6.4499,1482821.363124,2020-09-18T19:00:00Z,UNI-USD
1600459200,5.9204,6.99,6.4499,6.8119,1974790.337628,2020-09-18T20:00:00Z,UNI-USD
1600462800,6.52,7.5,6.8132,7.4898,1400343.91212,2020-09-18T21:00:00Z,UNI-USD
1600466400,7.12,7.8429,7.4697,7.8428,1115717.198943,2020-09-18T22:00:00Z,UNI-USD
1600470000,6.6413,7.8428,7.8428,6.9695,1407111.685091,2020-09-18T23:00:00Z,UNI-USD
1600473600,6.9358,7.47,6.9695,7.1409,619137.820836,2020-09-19T00:00:00Z,UNI-USD
1600477200,6.31,7.38,7.1077,6.6,812863.992992,2020-09-19T01:00:00Z,UNI-USD
1600480800,6.3,6.7999,6.5747,6.4703,486058.835513,2020-09-19T02:00:00Z,UNI-USD
1600484400,6.1005,6.61,6.4703,6.1898,496537.782215,2020-09-19T03:00:00Z,UNI-USD
1600488000,6.134,6.7805,6.1566,6.6379,439919.100675,2020-09-19T04:00:00Z,UNI-USD
1600491600,6.56,7.1031,6.6201,6.8252,433497.300751,2020-09-19T05:00:00Z,UNI-USD
1600495200,6.3543,6.8657,6.8252,6.5604,318691.610828,2020-09-19T06:00:00Z,UNI-USD
1600498800,6.22,6.6597,6.5612,6.3293,224111.758457,2020-09-19T07:00:00Z,UNI-USD
1600502400,6.2526,6.6239,6.3019,6.5527,173026.873574,2020-09-19T08:00:00Z,UNI-USD
1600506000,6.5095,6.999,6.5527,6.7893,253189.052627,2020-09-19T09:00:00Z,UNI-USD
1600509600,6.4534,6.8553,6.7892,6.6582,173041.316135,2020-09-19T10:00:00Z,UNI-USD
1600513200,6.45,7.34,6.65,7.27,524046.477683,2020-09-19T11:00:00Z,UNI-USD
1600516800,6.8,7.2749,7.2697,7.1527,353215.621032,2020-09-19T12:00:00Z,UNI-USD
1600520400,7.15,7.4855,7.1527,7.2466,427655.422269,2020-09-19T13:00:00Z,UNI-USD
1600524000,6.8,7.2536,7.2263,6.85,428518.076732,2020-09-19T14:00:00Z,UNI-USD
1600527600,6.6,6.9374,6.8401,6.7038,337272.988129,2020-09-19T15:00:00Z,UNI-USD
1600531200,6.428,6.9239,6.7039,6.4461,368708.837132,2020-09-19T16:00:00Z,UNI-USD
1600534800,6.002,6.5914,6.4462,6.0664,757848.134175,2020-09-19T17:00:00Z,UNI-USD
1600538400,5.5269,6.19,6.0665,6.1323,1466845.562691,2020-09-19T18:00:00Z,UNI-USD
1600542000,5.7704,6.29,6.1552,5.8581,792760.337405,2020-09-19T19:00:00Z,UNI-USD
1600545600,5.7734,6.2457,5.8581,5.9819,434625.949838,2020-09-19T20:00:00Z,UNI-USD
1600549200,5.4784,5.9991,5.9991,5.6777,733193.759564,2020-09-19T21:00:00Z,UNI-USD
1600552800,5.237,5.7176,5.6963,5.6021,936175.241669,2020-09-19T22:00:00Z,UNI-USD
1600556400,5.5133,5.84,5.6015,5.7302,416927.754867,2020-09-19T23:00:00Z,UNI-USD
1600560000,5.4541,5.8056,5.715,5.633,320916.006999,2020-09-20T00:00:00Z,UNI-USD
1600563600,5.1899,5.6421,5.633,5.5249,438393.324853,2020-09-20T01:00:00Z,UNI-USD
1600567200,5.435,5.7619,5.4969,5.4991,562071.613659,2020-09-20T02:00:00Z,UNI-USD
1600570800,5.44,6.0924,5.5289,5.9499,533604.046033,2020-09-20T03:00:00Z,UNI-USD
1600574400,5.7525,5.9999,5.9499,5.97,199184.745726,2020-09-20T04:00:00Z,UNI-USD
1600578000,5.7376,5.97,5.97,5.8065,107262.625681,2020-09-20T05:00:00Z,UNI-USD
1600581600,5.551,5.8198,5.8198,5.5551,167841.727489,2020-09-20T06:00:00Z,UNI-USD
1600585200,5.555,5.778,5.5551,5.6246,176285.610872,2020-09-20T07:00:00Z,UNI-USD
1600588800,5.4653,5.6651,5.6314,5.5007,132844.222164,2020-09-20T08:00:00Z,UNI-USD
1600592400,5.4711,5.75,5.4955,5.6807,86540.504334,2020-09-20T09:00:00Z,UNI-USD
1600596000,5.5931,5.84,5.6722,5.7488,137925.651223,2020-09-20T10:00:00Z,UNI-USD
1600599600,5.58,5.7854,5.7663,5.6375,83161.608334,2020-09-20T11:00:00Z,UNI-USD
1600603200,5.3002,5.6599,5.6595,5.3701,215429.137439,2020-09-20T12:00:00Z,UNI-USD
1600606800,4.9751,5.3833,5.3801,5.2082,513469.998313,2020-09-20T13:00:00Z,UNI-USD
1600610400,4.85,5.231,5.1889,4.9577,608284.341537,2020-09-20T14:00:00Z,UNI-USD
1600614000,4.8957,5.2057,4.9577,4.9777,398375.233831,2020-09-20T15:00:00Z,UNI-USD
1600617600,4.65,5.0645,4.9837,5.0645,651509.963638,2020-09-20T16:00:00Z,UNI-USD
