unix,low,high,open,close,volume,date,pair
1603209600,11950,12001,12001,11976,5.72774791,2020-10-20T16:00:00Z,WBTC-USD
1603213200,11976,12055.52,11984.85,12021.08,1.73236405,2020-10-20T17:00:00Z,WBTC-USD
1603216800,11938.97,12007.4,12007.4,11946.45,3.34829014,2020-10-20T18:00:00Z,WBTC-USD
1603220400,11946.45,11966,11966,11951,0.58433395,2020-10-20T19:00:00Z,WBTC-USD
1603227600,11890.24,11950,11946.45,11890.24,0.09858634,2020-10-20T21:00:00Z,WBTC-USD
1603231200,11890.24,11960.86,11900,11960.86,0.84824083,2020-10-20T22:00:00Z,WBTC-USD
1603234800,11920,11961,11961,11920,1.27564549,2020-10-20T23:00:00Z,WBTC-USD
1603238400,11920,12020.64,11920,12020.64,0.260346,2020-10-21T00:00:00Z,WBTC-USD
1603242000,11986.99,12058.18,12020.21,12002.96,0.25798384,2020-10-21T01:00:00Z,WBTC-USD
1603245600,11997.4,12184.87,11997.4,12184.87,8.86286569,2020-10-21T02:00:00Z,WBTC-USD
1603249200,12186.98,12250,12200,12220.42,1.72817718,2020-10-21T03:00:00Z,WBTC-USD
1603252800,12230,12321.92,12230,12263.89,1.25541762,2020-10-21T04:00:00Z,WBTC-USD
1603256400,12226.32,12273,12236.45,12273,1.34873461,2020-10-21T05:00:00Z,WBTC-USD
1603260000,12250,12301.6,12297.62,12250,0.05858165,2020-10-21T06:00:00Z,WBTC-USD
1603263600,12196.69,12225.51,12225.51,12197.46,0.05028053,2020-10-21T07:00:00Z,WBTC-USD
1603267200,12173.07,12206.55,12200,12206.55,0.00752614,2020-10-21T08:00:00Z,WBTC-USD
1603274400,12230.23,12259.13,12230.23,12242.59,6.3666e-4,2020-10-21T10:00:00Z,WBTC-USD
1603278000,12210.44,12378.95,12210.44,12315.01,0.0419559,2020-10-21T11:00:00Z,WBTC-USD
1603281600,12307,12419.89,12315.01,12419.89,0.12179407,2020-10-21T12:00:00Z,WBTC-USD
1603285200,12394.47,12492.01,12441,12492.01,0.11068697,2020-10-21T13:00:00Z,WBTC-USD
1603288800,12516.44,13707.07,12516.44,12728,33.80140861,2020-10-21T14:00:00Z,WBTC-USD
1603292400,12693.66,12765.42,12698.13,12765.42,0.32994009,2020-10-21T15:00:00Z,WBTC-USD
1603296000,12758.91,12910,12758.91,12829,0.88372264,2020-10-21T16:00:00Z,WBTC-USD
1603299600,12790.57,12877.4,12829,12816.15,6.9743676,2020-10-21T17:00:00Z,WBTC-USD
1603303200,12747.07,12850.81,12785.87,12820.48,27.01102504,2020-10-21T18:00:00Z,WBTC-USD
1603306800,12677.82,12852.42,12820.48,12745.89,8.76452312,2020-10-21T19:00:00Z,WBTC-USD
1603310400,12690.58,12998.99,12745.89,12895.67,9.74962437,2020-10-21T20:00:00Z,WBTC-USD
1603314000,12819.63,13039.32,12895.67,12973.58,16.04786202,2020-10-21T21:00:00Z,WBTC-USD
1603317600,12930,13300,12973.58,13264.54,24.52569169,2020-10-21T22:00:00Z,WBTC-USD
1603321200,12532.32,13398.99,13264.37,12844.53,15.04581861,2020-10-21T23:00:00Z,WBTC-USD
1603324800,12839.81,12998.88,12869.61,12966.75,5.32481278,2020-10-22T00:00:00Z,WBTC-USD
1603328400,12878.02,12958.83,12952.13,12903.27,3.8486584,2020-10-22T01:00:00Z,WBTC-USD
1603332000,12742.8,12919.15,12886,12840.52,4.77112896,2020-10-22T02:00:00Z,WBTC-USD
1603335600,12743.96,12957.67,12837.17,12743.96,4.60826396,2020-10-22T03:00:00Z,WBTC-USD
1603339200,12707.04,12824.66,12765.49,12798.53,4.96067741,2020-10-22T04:00:00Z,WBTC-USD
1603342800,12722.63,12833.72,12784.7,12802.87,1.09613548,2020-10-22T05:00:00Z,WBTC-USD
1603346400,12778.07,12865.63,12802.86,12854.66,2.21370527,2020-10-22T06:00:00Z,WBTC-USD
1603350000,12742.94,12847.93,12844.55,12793.81,2.63433087,2020-10-22T07:00:00Z,WBTC-USD
1603353600,12775.17,12962.19,12793.8,12854.21,2.52380973,2020-10-22T08:00:00Z,WBTC-USD
