unix,low,high,open,close,volume,date,pair
1552579200,0.1074,0.122699,0.122699,0.107498,61154,2019-03-14T16:00:00Z,XLM-USD
1552582800,0.106,0.107499,0.107498,0.10655,262974,2019-03-14T17:00:00Z,XLM-USD
1552586400,0.1062,0.106573,0.106573,0.106298,61718,2019-03-14T18:00:00Z,XLM-USD
1552590000,0.106298,0.1084,0.106298,0.10677,745624,2019-03-14T19:00:00Z,XLM-USD
1552593600,0.106599,0.1074,0.107065,0.106599,295527,2019-03-14T20:00:00Z,XLM-USD
1552597200,0.1063,0.106983,0.106599,0.106983,289846,2019-03-14T21:00:00Z,XLM-USD
1552600800,0.106501,0.107083,0.106981,0.106501,207454,2019-03-14T22:00:00Z,XLM-USD
1552604400,0.1062,0.106501,0.106501,0.1062,403313,2019-03-14T23:00:00Z,XLM-USD
1552608000,0.106184,0.107,0.106453,0.106185,147125,2019-03-15T00:00:00Z,XLM-USD
1552611600,0.106184,0.106464,0.106184,0.106184,159161,2019-03-15T01:00:00Z,XLM-USD
1552615200,0.105005,0.1063,0.106184,0.105811,367114,2019-03-15T02:00:00Z,XLM-USD
1552618800,0.105599,0.105826,0.105699,0.105601,79232,2019-03-15T03:00:00Z,XLM-USD
1552622400,0.1056,0.1058,0.105601,0.105661,313493,2019-03-15T04:00:00Z,XLM-USD
1552626000,0.1032,0.105661,0.105661,0.103452,413815,2019-03-15T05:00:00Z,XLM-USD
1552629600,0.102878,0.105277,0.1032,0.102878,418603,2019-03-15T06:00:00Z,XLM-USD
1552633200,0.103131,0.103885,0.103131,0.103747,31116,2019-03-15T07:00:00Z,XLM-USD
1552636800,0.103797,0.104395,0.103797,0.104084,47593,2019-03-15T08:00:00Z,XLM-USD
1552640400,0.10395,0.104395,0.104031,0.104395,30941,2019-03-15T09:00:00Z,XLM-USD
1552644000,0.104395,0.105589,0.104395,0.105589,115668,2019-03-15T10:00:00Z,XLM-USD
1552647600,0.105,0.1065,0.105589,0.105214,198817,2019-03-15T11:00:00Z,XLM-USD
1552651200,0.1045,0.105784,0.105145,0.104613,430853,2019-03-15T12:00:00Z,XLM-USD
1552654800,0.1048,0.10514,0.104807,0.105001,89539,2019-03-15T13:00:00Z,XLM-USD
1552658400,0.105138,0.10623,0.105139,0.1062,225102,2019-03-15T14:00:00Z,XLM-USD
1552662000,0.10613,0.10723,0.10621,0.107026,513685,2019-03-15T15:00:00Z,XLM-USD
1552665600,0.10566,0.107104,0.106911,0.105825,210011,2019-03-15T16:00:00Z,XLM-USD
1552669200,0.105707,0.10632,0.1058,0.105913,51024,2019-03-15T17:00:00Z,XLM-USD
1552672800,0.10551,0.10604,0.105963,0.105595,140039,2019-03-15T18:00:00Z,XLM-USD
1552676400,0.105594,0.106418,0.105594,0.106418,41376,2019-03-15T19:00:00Z,XLM-USD
1552680000,0.105851,0.106416,0.106247,0.105852,81122,2019-03-15T20:00:00Z,XLM-USD
1552683600,0.105791,0.10603,0.105799,0.105791,21754,2019-03-15T21:00:00Z,XLM-USD
1552687200,0.10575,0.106077,0.105815,0.10575,39572,2019-03-15T22:00:00Z,XLM-USD
1552690800,0.10575,0.105997,0.105753,0.105989,41087,2019-03-15T23:00:00Z,XLM-USD
1552694400,0.10575,0.10605,0.105968,0.10605,24299,2019-03-16T00:00:00Z,XLM-USD
1552698000,0.105867,0.10723,0.10603,0.10722,301883,2019-03-16T01:00:00Z,XLM-USD
1552701600,0.1065,0.107269,0.10723,0.10715,334144,2019-03-16T02:00:00Z,XLM-USD
1552705200,0.106558,0.107269,0.10715,0.106713,552453,2019-03-16T03:00:00Z,XLM-USD
1552708800,0.106995,0.108399,0.106995,0.1082,327946,2019-03-16T04:00:00Z,XLM-USD
