unix,low,high,open,close,volume,date,pair
1565107200,1.4103,1.88,1.4103,1.7838,574014.92,2019-08-06T16:00:00Z,XTZ-USD
1565110800,1.5125,1.7858,1.7846,1.5322,980934.3,2019-08-06T17:00:00Z,XTZ-USD
1565114400,1.501,1.5391,1.5322,1.533,324297.31,2019-08-06T18:00:00Z,XTZ-USD
1565118000,1.48,1.5469,1.533,1.4823,175698.33,2019-08-06T19:00:00Z,XTZ-USD
1565121600,1.4063,1.4867,1.485,1.416,183151.8,2019-08-06T20:00:00Z,XTZ-USD
1565125200,1.4099,1.55,1.416,1.5329,315799.66,2019-08-06T21:00:00Z,XTZ-USD
1565128800,1.47,1.5296,1.5051,1.48,182760.05,2019-08-06T22:00:00Z,XTZ-USD
1565132400,1.4604,1.494,1.4831,1.4913,80666.25,2019-08-06T23:00:00Z,XTZ-USD
1565136000,1.455,1.4996,1.4909,1.4721,45059.11,2019-08-07T00:00:00Z,XTZ-USD
1565139600,1.452,1.4752,1.4725,1.4675,19655.74,2019-08-07T01:00:00Z,XTZ-USD
1565143200,1.45,1.4759,1.4673,1.463,16719.24,2019-08-07T02:00:00Z,XTZ-USD
1565146800,1.45,1.4701,1.4677,1.4542,20629.94,2019-08-07T03:00:00Z,XTZ-USD
1565150400,1.4542,1.479,1.4615,1.479,41749.73,2019-08-07T04:00:00Z,XTZ-USD
1565154000,1.47,1.492,1.479,1.4702,25637.78,2019-08-07T05:00:00Z,XTZ-USD
1565157600,1.47,1.4828,1.4759,1.47,11664.7,2019-08-07T06:00:00Z,XTZ-USD
1565161200,1.4561,1.4701,1.47,1.4577,9484.53,2019-08-07T07:00:00Z,XTZ-USD
1565164800,1.454,1.4625,1.458,1.454,2319.77,2019-08-07T08:00:00Z,XTZ-USD
1565168400,1.44,1.4563,1.454,1.4563,11199.09,2019-08-07T09:00:00Z,XTZ-USD
1565172000,1.4514,1.456,1.4515,1.4514,297.15,2019-08-07T10:00:00Z,XTZ-USD
1565175600,1.42,1.451,1.451,1.4255,29859.66,2019-08-07T11:00:00Z,XTZ-USD
