unix,low,high,open,close,volume,date,pair
1600387200,32044.91,33464.07,33291.53,32759.99,14.814862,2020-09-18T00:00:00Z,YFI-USD
1600390800,32064,33968.21,32759.99,32309.51,13.69321,2020-09-18T01:00:00Z,YFI-USD
1600394400,32237.92,34420,32309.51,33623.01,12.697781,2020-09-18T02:00:00Z,YFI-USD
1600398000,32500,33635.58,33473.4,32773.99,10.782779,2020-09-18T03:00:00Z,YFI-USD
1600401600,31800.01,32859.06,32614.2,32281.96,12.016294,2020-09-18T04:00:00Z,YFI-USD
1600405200,32235.05,33296.55,32491.26,33017.1,8.965481,2020-09-18T05:00:00Z,YFI-USD
1600408800,32000,33123.28,33007.9,32591.98,9.711872,2020-09-18T06:00:00Z,YFI-USD
1600412400,31600.82,33400,32419.48,31792.49,20.957916,2020-09-18T07:00:00Z,YFI-USD
1600416000,31096.83,32379.9,31868.78,32379.9,12.694291,2020-09-18T08:00:00Z,YFI-USD
1600419600,31965.97,33221.12,32379.9,32963.01,7.955851,2020-09-18T09:00:00Z,YFI-USD
1600423200,32755.6,33637.7,32755.6,33115.95,13.128364,2020-09-18T10:00:00Z,YFI-USD
1600426800,32705.42,34580,33012.62,33943.54,6.280782,2020-09-18T11:00:00Z,YFI-USD
1600430400,33176.22,34740,33919.09,33573.74,9.190107,2020-09-18T12:00:00Z,YFI-USD
1600434000,32500.04,34846.7,33573.72,32982.78,9.849914,2020-09-18T13:00:00Z,YFI-USD
1600437600,32921.12,34075.54,32974.74,32969.65,13.014439,2020-09-18T14:00:00Z,YFI-USD
1600441200,32000,34000,32969.65,32549.44,15.923701,2020-09-18T15:00:00Z,YFI-USD
1600444800,32001,32964.79,32549.48,32298.58,7.445304,2020-09-18T16:00:00Z,YFI-USD
1600448400,31269.46,32746.63,32255.62,31569.87,16.740505,2020-09-18T17:00:00Z,YFI-USD
1600452000,31274.25,35000,31555,34350.66,37.196792,2020-09-18T18:00:00Z,YFI-USD
1600455600,33176.86,35000,34350.66,34217.09,23.973254,2020-09-18T19:00:00Z,YFI-USD
1600459200,32931.14,34364.08,34233.45,33399.99,16.005991,2020-09-18T20:00:00Z,YFI-USD
1600462800,33288.91,34000,33399.99,33750.34,7.363716,2020-09-18T21:00:00Z,YFI-USD
1600466400,33390.47,34900,33710.52,33708.52,12.516725,2020-09-18T22:00:00Z,YFI-USD
1600470000,32795.3,34197.03,33600.79,32950.02,8.19588,2020-09-18T23:00:00Z,YFI-USD
1600473600,32035.58,33531.55,33053.96,32350.04,13.761331,2020-09-19T00:00:00Z,YFI-USD
1600477200,32000.01,34616,32340.89,33040.46,8.33914,2020-09-19T01:00:00Z,YFI-USD
1600480800,32141.36,33044.41,33040.46,32408.35,4.087493,2020-09-19T02:00:00Z,YFI-USD
1600484400,32100.46,33345.68,32408.2,32660.84,5.212508,2020-09-19T03:00:00Z,YFI-USD
1600488000,32107.19,32734.23,32526.36,32311.99,2.050242,2020-09-19T04:00:00Z,YFI-USD
1600491600,32108,32650.6,32431.75,32342.66,2.785218,2020-09-19T05:00:00Z,YFI-USD
1600495200,32143.57,32795.94,32472.09,32485.14,2.839609,2020-09-19T06:00:00Z,YFI-USD
1600498800,32108,32744.67,32429.94,32291.31,3.080304,2020-09-19T07:00:00Z,YFI-USD
1600502400,32108,32723.66,32324.5,32406.42,2.430915,2020-09-19T08:00:00Z,YFI-USD
1600506000,32108,32911.85,32202.1,32184.69,5.24193,2020-09-19T09:00:00Z,YFI-USD
1600509600,30956.96,32346.79,32184.69,31704.29,7.081625,2020-09-19T10:00:00Z,YFI-USD
1600513200,30906.02,32031.5,31786.01,31811.27,8.194281,2020-09-19T11:00:00Z,YFI-USD
1600516800,31016.2,32052.93,31982.92,31440.99,8.051768,2020-09-19T12:00:00Z,YFI-USD
1600520400,31256.79,32526.18,31256.79,31718.58,8.99767,2020-09-19T13:00:00Z,YFI-USD
1600524000,31116.01,31979.05,31952.58,31330.42,4.316183,2020-09-19T14:00:00Z,YFI-USD
1600527600,30018.79,31275.92,31228.29,30689.5,13.897357,2020-09-19T15:00:00Z,YFI-USD
1600531200,30050,31483.75,30579.01,30671.44,11.997083,2020-09-19T16:00:00Z,YFI-USD
1600534800,29000,30878.52,30671.43,29393.36,21.691151,2020-09-19T17:00:00Z,YFI-USD
1600538400,28101,30500,29071.17,29294.15,31.975514,2020-09-19T18:00:00Z,YFI-USD
1600542000,28500,29998.93,29332.87,28612.14,14.911293,2020-09-19T19:00:00Z,YFI-USD
1600545600,28500,29590.09,28612.14,29140.01,14.39282,2020-09-19T20:00:00Z,YFI-USD
1600549200,28917.89,30000,29132.09,29363.92,12.136892,2020-09-19T21:00:00Z,YFI-USD
1600552800,28692.92,30200,29322.08,29915.33,12.146136,2020-09-19T22:00:00Z,YFI-USD
1600556400,29460.01,31256.85,29766.07,31000,12.964007,2020-09-19T23:00:00Z,YFI-USD
1600560000,29463.42,32708,31210.61,30265.63,16.503024,2020-09-20T00:00:00Z,YFI-USD
1600563600,28719.88,31000,30254.46,31000,14.762237,2020-09-20T01:00:00Z,YFI-USD
