unix,low,high,open,close,volume,date,pair
1607644800,64.24,66.2,66.08,64.27,1028.70371897,2020-12-11T00:00:00Z,ZEC-USD
1607648400,63.91,64.92,64.24,64.5,616.49480551,2020-12-11T01:00:00Z,ZEC-USD
1607652000,63.92,64.72,64.4,64.11,622.46151351,2020-12-11T02:00:00Z,ZEC-USD
1607655600,63.64,64.44,64.11,64.36,306.10304399,2020-12-11T03:00:00Z,ZEC-USD
1607659200,64.12,64.7,64.28,64.33,411.75473287,2020-12-11T04:00:00Z,ZEC-USD
1607662800,64.02,64.57,64.3,64.09,508.26165251,2020-12-11T05:00:00Z,ZEC-USD
1607666400,63.87,64.45,64.1,64.22,364.0561634,2020-12-11T06:00:00Z,ZEC-USD
1607670000,63.29,64.24,64.08,64.14,513.65185938,2020-12-11T07:00:00Z,ZEC-USD
1607673600,63.79,64.71,64.15,64.15,290.24277,2020-12-11T08:00:00Z,ZEC-USD
1607677200,63.42,64.06,64.06,63.68,758.17748953,2020-12-11T09:00:00Z,ZEC-USD
1607680800,63.05,63.8,63.69,63.3,207.05174937,2020-12-11T10:00:00Z,ZEC-USD
1607684400,62.5,63.3,63.28,62.95,598.90058,2020-12-11T11:00:00Z,ZEC-USD
1607688000,62.74,64.05,62.96,63.78,395.64775233,2020-12-11T12:00:00Z,ZEC-USD
1607691600,63.7,64.72,63.74,64.51,179.97762,2020-12-11T13:00:00Z,ZEC-USD
1607695200,64.17,65.13,64.5,64.89,1398.39728561,2020-12-11T14:00:00Z,ZEC-USD
1607698800,64.48,65.11,64.96,64.83,326.16762603,2020-12-11T15:00:00Z,ZEC-USD
1607702400,63.91,64.85,64.48,64.07,692.39372745,2020-12-11T16:00:00Z,ZEC-USD
1607706000,63.49,64.25,64.14,63.68,498.18391,2020-12-11T17:00:00Z,ZEC-USD
1607709600,63.46,63.91,63.68,63.75,186.35795356,2020-12-11T18:00:00Z,ZEC-USD
1607713200,63.61,64.38,63.77,63.74,729.49897574,2020-12-11T19:00:00Z,ZEC-USD
1607716800,63.42,64.13,63.75,63.96,811.58521291,2020-12-11T20:00:00Z,ZEC-USD
1607720400,63.79,64.39,63.84,64.39,455.66673622,2020-12-11T21:00:00Z,ZEC-USD
1607724000,64.07,64.59,64.31,64.42,231.7830498,2020-12-11T22:00:00Z,ZEC-USD
1607727600,63.57,67.8,64.41,63.57,2932.48128906,2020-12-11T23:00:00Z,ZEC-USD
1607731200,63.54,65.41,63.57,65.3,1633.45243703,2020-12-12T00:00:00Z,ZEC-USD
1607734800,64.87,65.69,65.21,65.21,1163.88378264,2020-12-12T01:00:00Z,ZEC-USD
1607738400,65.03,65.81,65.1,65.62,338.26872,2020-12-12T02:00:00Z,ZEC-USD
1607742000,65.39,65.99,65.67,65.79,229.84318151,2020-12-12T03:00:00Z,ZEC-USD
1607745600,65.56,66,65.8,66,625.44053413,2020-12-12T04:00:00Z,ZEC-USD
1607749200,65.53,66.09,65.97,65.53,157.21138285,2020-12-12T05:00:00Z,ZEC-USD
1607752800,65.44,65.99,65.55,65.66,502.72618707,2020-12-12T06:00:00Z,ZEC-USD
1607756400,65.49,65.86,65.6,65.86,119.54814,2020-12-12T07:00:00Z,ZEC-USD
1607760000,65.22,66,65.91,65.32,288.89819088,2020-12-12T08:00:00Z,ZEC-USD
1607763600,65.14,65.68,65.39,65.3,184.38662,2020-12-12T09:00:00Z,ZEC-USD
1607767200,65.05,65.4,65.36,65.09,384.21522398,2020-12-12T10:00:00Z,ZEC-USD
1607770800,65.11,66,65.11,65.87,1457.40488328,2020-12-12T11:00:00Z,ZEC-USD
1607774400,65.63,66,65.88,65.73,1505.98935461,2020-12-12T12:00:00Z,ZEC-USD
1607778000,65.2,65.72,65.72,65.2,211.08744,2020-12-12T13:00:00Z,ZEC-USD
1607781600,64.64,65.5,65.2,64.94,669.04241546,2020-12-12T14:00:00Z,ZEC-USD
1607785200,64.55,65.25,64.84,65.12,508.04500485,2020-12-12T15:00:00Z,ZEC-USD
1607788800,64.88,65.35,65.12,65.13,214.14282494,2020-12-12T16:00:00Z,ZEC-USD
1607792400,64.8,65.45,65.11,65.36,276.06255049,2020-12-12T17:00:00Z,ZEC-USD
1607796000,65.24,66.21,65.27,66.08,272.45631,2020-12-12T18:00:00Z,ZEC-USD
1607799600,66.02,66.42,66.18,66.4,597.60208949,2020-12-12T19:00:00Z,ZEC-USD
1607803200,66.14,66.63,66.4,66.49,231.36201933,2020-12-12T20:00:00Z,ZEC-USD
1607806800,66.45,66.82,66.46,66.56,102.80406131,2020-12-12T21:00:00Z,ZEC-USD
1607810400,66.33,66.73,66.71,66.34,200.84165058,2020-12-12T22:00:00Z,ZEC-USD
1607814000,65.87,66.34,66.34,66,127.83077,2020-12-12T23:00:00Z,ZEC-USD
1607817600,65.48,66.39,66.01,65.57,296.79254554,2020-12-13T00:00:00Z,ZEC-USD
1607821200,65.49,65.94,65.6,65.63,255.78444335,2020-12-13T01:00:00Z,ZEC-USD
1607824800,65.3,65.81,65.66,65.71,180.96671535,2020-12-13T02:00:00Z,ZEC-USD
1607828400,65.42,65.85,65.67,65.69,482.24198273,2020-12-13T03:00:00Z,ZEC-USD
1607832000,65.41,65.86,65.56,65.8,71.24746684,2020-12-13T04:00:00Z,ZEC-USD
1607835600,65.69,66.02,65.8,65.92,132.49668,2020-12-13T05:00:00Z,ZEC-USD
