unix,low,high,open,close,volume,date,pair
1539352800,0.77,0.85,0.78,0.85,235824.19592,2018-10-12T14:00:00Z,ZRX-USD
1539356400,0.77,0.92,0.85,0.8,281864.35217,2018-10-12T15:00:00Z,ZRX-USD
1539360000,0.77,0.8,0.79,0.77,75752.69794,2018-10-12T16:00:00Z,ZRX-USD
1539363600,0.77,0.79,0.78,0.78,78081.70055,2018-10-12T17:00:00Z,ZRX-USD
1539367200,0.75,0.78,0.78,0.77,55960.57319,2018-10-12T18:00:00Z,ZRX-USD
1539370800,0.74,0.77,0.77,0.77,21795.31524,2018-10-12T19:00:00Z,ZRX-USD
1539374400,0.75,0.77,0.76,0.76,24467.86279,2018-10-12T20:00:00Z,ZRX-USD
1539378000,0.75,0.78,0.76,0.76,32500.98784,2018-10-12T21:00:00Z,ZRX-USD
1539381600,0.74,0.76,0.76,0.75,40245.27827,2018-10-12T22:00:00Z,ZRX-USD
1539385200,0.72,0.75,0.75,0.74,34397.74813,2018-10-12T23:00:00Z,ZRX-USD
1539388800,0.73,0.76,0.74,0.75,66301.89972,2018-10-13T00:00:00Z,ZRX-USD
1539392400,0.73,0.75,0.75,0.73,38665.19202,2018-10-13T01:00:00Z,ZRX-USD
1539396000,0.73,0.76,0.74,0.74,32538.17704,2018-10-13T02:00:00Z,ZRX-USD
1539399600,0.75,0.76,0.75,0.76,13368.89398,2018-10-13T03:00:00Z,ZRX-USD
1539403200,0.74,0.76,0.76,0.74,22607.31892,2018-10-13T04:00:00Z,ZRX-USD
1539406800,0.74,0.76,0.76,0.75,15037.68391,2018-10-13T05:00:00Z,ZRX-USD
1539410400,0.75,0.76,0.75,0.76,632.00172,2018-10-13T06:00:00Z,ZRX-USD
1539414000,0.75,0.76,0.76,0.75,3032.56139,2018-10-13T07:00:00Z,ZRX-USD
1539417600,0.75,0.75,0.75,0.75,959.80057,2018-10-13T08:00:00Z,ZRX-USD
1539421200,0.74,0.75,0.75,0.75,10670.8435,2018-10-13T09:00:00Z,ZRX-USD
1539424800,0.73,0.75,0.75,0.73,68397.96735,2018-10-13T10:00:00Z,ZRX-USD
1539428400,0.73,0.74,0.74,0.73,12286.51003,2018-10-13T11:00:00Z,ZRX-USD
1539432000,0.73,0.74,0.74,0.74,1447.28925,2018-10-13T12:00:00Z,ZRX-USD
1539435600,0.72,0.74,0.74,0.73,24612.8079,2018-10-13T13:00:00Z,ZRX-USD
1539439200,0.72,0.73,0.73,0.73,19080.31511,2018-10-13T14:00:00Z,ZRX-USD
1539442800,0.7,0.73,0.73,0.73,25242.61611,2018-10-13T15:00:00Z,ZRX-USD
1539446400,0.71,0.73,0.72,0.73,29542.74522,2018-10-13T16:00:00Z,ZRX-USD
1539450000,0.72,0.74,0.73,0.73,41658.65602,2018-10-13T17:00:00Z,ZRX-USD
1539453600,0.71,0.73,0.73,0.71,68413.77435,2018-10-13T18:00:00Z,ZRX-USD
1539457200,0.72,0.73,0.72,0.73,7105.01499,2018-10-13T19:00:00Z,ZRX-USD
1539460800,0.72,0.73,0.72,0.72,8255.58118,2018-10-13T20:00:00Z,ZRX-USD
1539464400,0.72,0.73,0.72,0.73,3230.49515,2018-10-13T21:00:00Z,ZRX-USD
1539468000,0.72,0.73,0.73,0.73,1157.78415,2018-10-13T22:00:00Z,ZRX-USD
1539471600,0.72,0.73,0.73,0.73,4268.39035,2018-10-13T23:00:00Z,ZRX-USD
1539475200,0.72,0.73,0.72,0.73,1219.5567,2018-10-14T00:00:00Z,ZRX-USD
1539478800,0.72,0.73,0.72,0.73,18520.45337,2018-10-14T01:00:00Z,ZRX-USD
1539482400,0.72,0.73,0.73,0.72,6537.65455,2018-10-14T02:00:00Z,ZRX-USD
1539486000,0.72,0.73,0.73,0.73,15488.64943,2018-10-14T03:00:00Z,ZRX-USD
1539489600,0.73,0.75,0.73,0.75,28921.65752,2018-10-14T04:00:00Z,ZRX-USD
1539493200,0.74,0.75,0.75,0.74,13019.09301,2018-10-14T05:00:00Z,ZRX-USD
1539496800,0.74,0.75,0.75,0.75,3332.65202,2018-10-14T06:00:00Z,ZRX-USD
1539500400,0.74,0.76,0.75,0.76,8087.02801,2018-10-14T07:00:00Z,ZRX-USD
1539504000,0.75,0.76,0.76,0.75,2595.74129,2018-10-14T08:00:00Z,ZRX-USD
1539507600,0.75,0.76,0.76,0.75,3070.79808,2018-10-14T09:00:00Z,ZRX-USD
